Year,Site,Purple_Count,Purple_per_10m,Purple_relative_population,Orange_Count,Orange_per_10m,Orange_relative_population,Mussel_Abundance,Acorn_Barnacle_Abundance,Period
2008,Almar Avenue,45.5,1.82,1.04,22.5,0.9,1.42,19.3,18.2,Pre-SSWD
2009,Almar Avenue,65.2,2.61,1.49,22.4,0.9,1.42,16.67,18.39,Pre-SSWD
2010,Almar Avenue,NA,NA,NA,NA,NA,NA,17.4,15,Pre-SSWD
2011,Almar Avenue,29,1.16,0.66,7.25,0.29,0.46,18.24,13.8,Pre-SSWD
2012,Almar Avenue,32.4,1.3,0.74,10.8,0.43,0.68,13.03,12.44,Pre-SSWD
2013,Almar Avenue,5.4,0.22,0.12,0.2,0.01,0.01,13.11,17.24,Post-SSWD
2014,Almar Avenue,4.33,0.17,0.1,0.33,0.01,0.02,17.73,17.44,Post-SSWD
2015,Almar Avenue,13,0.52,0.3,3,0.12,0.19,20.88,16.7,Post-SSWD
2016,Almar Avenue,NA,NA,NA,NA,NA,NA,17.3,18.15,Post-SSWD
2017,Almar Avenue,4,0.16,0.09,1.5,0.06,0.1,16.8,13.96,Post-SSWD
2018,Almar Avenue,8,0.32,0.18,2,0.08,0.13,NA,NA,Post-SSWD
2019,Almar Avenue,12.67,0.51,0.29,3.67,0.15,0.23,NA,NA,Post-SSWD
2020,Almar Avenue,7,0.28,0.16,1,0.04,0.06,NA,NA,Post-SSWD
2021,Almar Avenue,6,0.24,0.14,1,0.04,0.06,NA,NA,Post-SSWD
2012,Asilomar State Park,2,0.17,1,2,0.17,1,5.78,2,Pre-SSWD
2013,Asilomar State Park,2.2,0.18,1.07,1,0.08,0.49,6.63,9.46,Post-SSWD
2014,Asilomar State Park,0.38,0.03,0.18,0,0,0,8.68,NA,Post-SSWD
2015,Asilomar State Park,0.5,0.04,0.23,0,0,0,5.63,NA,Post-SSWD
2016,Asilomar State Park,NA,NA,NA,NA,NA,NA,8.82,NA,Post-SSWD
2017,Asilomar State Park,2,0.17,1,0,0,0,9.29,NA,Post-SSWD
2018,Asilomar State Park,2,0.17,1,0,0,0,10.13,NA,Post-SSWD
2019,Asilomar State Park,5.25,0.44,2.6,1.75,0.15,0.87,11.31,NA,Post-SSWD
2020,Asilomar State Park,7,0.59,3.47,0,0,0,NA,NA,Post-SSWD
2021,Asilomar State Park,5.33,0.45,2.63,0.33,0.03,0.16,10.85,NA,Post-SSWD
2011,Carmel Point,3,0.46,1,7,1.08,1,6.83,4.03,Pre-SSWD
2012,Carmel Point,NA,NA,NA,NA,NA,NA,NA,NA,Pre-SSWD
2013,Carmel Point,1.25,0.19,0.41,0.5,0.08,0.07,5.42,7.32,Post-SSWD
2014,Carmel Point,NA,NA,NA,NA,NA,NA,9.04,9.43,Post-SSWD
2015,Carmel Point,NA,NA,NA,NA,NA,NA,8.31,NA,Post-SSWD
2016,Carmel Point,NA,NA,NA,NA,NA,NA,11.4,NA,Post-SSWD
2017,Carmel Point,0,0,0,0,0,0,11.8,NA,Post-SSWD
2018,Carmel Point,NA,NA,NA,NA,NA,NA,NA,NA,Post-SSWD
2019,Carmel Point,0.5,0.07,0.16,0.5,0.08,0.07,NA,NA,Post-SSWD
2020,Carmel Point,0.5,0.07,0.16,0,0,0,NA,NA,Post-SSWD
2012,Coal Oil Point,44.33,0.44,1,18.67,0.19,1,0.55,1.25,Pre-SSWD
2013,Coal Oil Point,33.5,0.34,0.76,8,0.08,0.43,NA,NA,Post-SSWD
2014,Coal Oil Point,NA,NA,NA,NA,NA,NA,NA,NA,Post-SSWD
2015,Coal Oil Point,NA,NA,NA,NA,NA,NA,19,20,Post-SSWD
2016,Coal Oil Point,1,0.01,0.02,0,0,0,NA,NA,Post-SSWD
2017,Coal Oil Point,NA,NA,NA,NA,NA,NA,NA,NA,Post-SSWD
2018,Coal Oil Point,0,0,0,0,0,0,NA,NA,Post-SSWD
2008,Davenport Landing,29,2.9,1.6,11,1.1,1.81,13.5,4.31,Pre-SSWD
2009,Davenport Landing,20.33,2.03,1.12,7.67,0.77,1.26,4.95,9.1,Pre-SSWD
2010,Davenport Landing,21,2.1,1.16,8.5,0.85,1.4,NA,NA,Pre-SSWD
2011,Davenport Landing,15,1.5,0.83,2,0.2,0.33,6.44,9.8,Pre-SSWD
2012,Davenport Landing,9.33,0.93,0.52,1,0.1,0.16,11.29,12.12,Pre-SSWD
