"Site","Purple_Count","Purple_per_10m","Purple_relative_population","Orange_Count","Orange_per_10m","Orange_relative_population","Date","Period"
"Asilomar State Park",2,0.17,1,2,0.17,1,"05-02-2013","Pre-SSWD"
"Asilomar State Park",6,0.5,2.94,2,0.17,1,"10-18-2013","Post-SSWD"
"Asilomar State Park",3,0.25,1.47,1,0.08,0.47,"11-14-2013","Post-SSWD"
"Asilomar State Park",1,0.08,0.47,2,0.17,1,"11-15-2013","Post-SSWD"
"Asilomar State Park",0,0,0,0,0,0,"01-25-2014","Post-SSWD"
"Asilomar State Park",1,0.08,0.47,0,0,0,"07-15-2014","Post-SSWD"
"Asilomar State Park",3,0.25,1.47,0,0,0,"11-07-2014","Post-SSWD"
"Asilomar State Park",0,0,0,0,0,0,"01-02-2015","Post-SSWD"
"Asilomar State Park",0,0,0,0,0,0,"01-31-2015","Post-SSWD"
"Asilomar State Park",0,0,0,0,0,0,"02-15-2015","Post-SSWD"
"Asilomar State Park",0,0,0,0,0,0,"03-01-2015","Post-SSWD"
"Asilomar State Park",0,0,0,0,0,0,"03-18-2015","Post-SSWD"
"Asilomar State Park",0,0,0,0,0,0,"04-15-2015","Post-SSWD"
"Asilomar State Park",0,0,0,0,0,0,"04-22-2015","Post-SSWD"
"Asilomar State Park",0,0,0,0,0,0,"01-21-2016","Post-SSWD"
"Asilomar State Park",1,0.08,0.47,0,0,0,"02-19-2016","Post-SSWD"
"Asilomar State Park",2,0.17,1,0,0,0,"11-03-2017","Post-SSWD"
"Asilomar State Park",2,0.17,1,0,0,0,"02-18-2019","Post-SSWD"
"Asilomar State Park",3,0.25,1.47,2,0.17,1,"10-28-2019","Post-SSWD"
"Asilomar State Park",4,0.34,2,1,0.08,0.47,"01-11-2020","Post-SSWD"
"Asilomar State Park",5,0.42,2.47,2,0.17,1,"04-28-2020","Post-SSWD"
"Asilomar State Park",9,0.76,4.47,2,0.17,1,"08-06-2020","Post-SSWD"
"Asilomar State Park",10,0.84,4.94,0,0,0,"01-26-2021","Post-SSWD"
"Asilomar State Park",4,0.34,2,0,0,0,"03-31-2021","Post-SSWD"
"Asilomar State Park",6,0.5,2.94,1,0.08,0.47,"11-16-2021","Post-SSWD"
"Asilomar State Park",5,0.42,2.47,0,0,0,"05-03-2022","Post-SSWD"
"Asilomar State Park",5,0.42,2.47,0,0,0,"05-11-2022","Post-SSWD"
