"Site","Acorn_Barnacle_Abundance","Mussel_Abundance","Date"
"Asilomar State Park",3,5,2013-02-05
"Asilomar State Park",1,6.56,2013-05-02
"Asilomar State Park",4,8,2013-11-04
"Asilomar State Park",11.62,7.5,2013-11-14
"Asilomar State Park",4.78,4.89,2013-11-15
"Asilomar State Park",13.33,6,2014-01-08
"Asilomar State Park",1.86,7.14,2014-01-25
"Asilomar State Park",8.57,8.43,2014-01-30
"Asilomar State Park",9.25,5.25,2014-02-07
"Asilomar State Park",8.71,2.86,2014-03-27
"Asilomar State Park",19.75,8.75,2014-06-11
"Asilomar State Park",12.78,7.44,2014-07-15
"Asilomar State Park",14.75,8.38,2014-11-05
"Asilomar State Park",15.86,6.43,2014-11-06
"Asilomar State Park",14.33,7.11,2014-11-07
"Asilomar State Park",16,13,2015-02-16
"Asilomar State Park",11.2,8.8,2015-03-16
"Asilomar State Park",10.5,15,2015-03-26
"Asilomar State Park",17.29,10.14,2015-04-15
"Asilomar State Park",0.73,1.47,2015-04-22
"Asilomar State Park",9.88,9.44,2015-05-09
"Asilomar State Park",7.06,6.06,2015-05-11
"Asilomar State Park",12.5,9.25,2015-06-18
"Asilomar State Park",NA,9.12,2015-07-21
"Asilomar State Park",NA,1.33,2016-01-21
"Asilomar State Park",NA,8.5,2016-02-05
"Asilomar State Park",NA,1.33,2016-02-19
"Asilomar State Park",NA,9.93,2016-03-16
"Asilomar State Park",NA,6,2016-03-17
"Asilomar State Park",NA,6.19,2016-05-10
"Asilomar State Park",NA,6.11,2016-07-05
"Asilomar State Park",NA,5.4,2016-12-13
"Asilomar State Park",NA,9.64,2017-02-22
"Asilomar State Park",NA,10.5,2017-02-24
"Asilomar State Park",NA,5.58,2017-03-10
"Asilomar State Park",NA,6.56,2017-03-11
"Asilomar State Park",NA,12.5,2017-04-03
"Asilomar State Park",NA,8.5,2017-04-05
"Asilomar State Park",NA,9.83,2017-05-13
"Asilomar State Park",NA,9.71,2017-05-16
"Asilomar State Park",NA,10,2017-06-27
"Asilomar State Park",NA,8.75,2017-07-12
"Asilomar State Park",NA,8.9,2017-11-03
"Asilomar State Park",NA,9,2017-12-02
"Asilomar State Park",NA,8.93,2017-12-15
"Asilomar State Park",NA,7.8,2018-01-12
"Asilomar State Park",NA,9,2018-02-01
"Asilomar State Park",NA,11.5,2018-02-15
"Asilomar State Park",NA,10.83,2018-02-16
"Asilomar State Park",NA,7.62,2018-02-26
"Asilomar State Park",NA,12.8,2018-04-19
"Asilomar State Park",NA,7.67,2018-04-23
"Asilomar State Park",NA,8.11,2018-05-19
"Asilomar State Park",NA,5.33,2018-11-05
"Asilomar State Park",NA,12.67,2019-01-30
"Asilomar State Park",NA,9.89,2019-02-18
"Asilomar State Park",NA,12,2019-02-19
"Asilomar State Park",NA,10.38,2019-05-18
"Asilomar State Park",NA,10.5,2019-05-21
"Asilomar State Park",NA,12.62,2019-10-28
"Asilomar State Park",NA,11.9,2020-01-11
"Asilomar State Park",NA,9.4,2020-01-20
"Asilomar State Park",NA,12.33,2021-11-16
"Asilomar State Park",NA,4.25,2022-02-12
"Asilomar State Park",NA,12,2022-03-22
"Asilomar State Park",NA,12.67,2022-03-23
"Asilomar State Park",NA,12.67,2022-05-04
"Asilomar State Park",NA,11.17,2022-05-11
"Asilomar State Park",NA,13.42,2023-02-16
"Asilomar State Park",NA,10.71,2024-11-13
"Asilomar State Park",NA,13.33,2024-11-15
