"Site","Purple_Count","Purple_per_10m","Purple_relative_population","Orange_Count","Orange_per_10m","Orange_relative_population","Date","Period"
"Carmel Point",4,0.62,1.33,10,1.54,1.43,"05-10-2012","Pre-SSWD"
"Carmel Point",2,0.31,0.67,4,0.62,0.57,"05-11-2012","Pre-SSWD"
"Carmel Point",4,0.62,1.33,2,0.31,0.29,"12-02-2013","Post-SSWD"
"Carmel Point",0,0,0,0,0,0,"02-12-2014","Post-SSWD"
"Carmel Point",1,0.15,0.32,0,0,0,"04-04-2014","Post-SSWD"
"Carmel Point",0,0,0,0,0,0,"07-14-2014","Post-SSWD"
"Carmel Point",0,0,0,0,0,0,"09-06-2017","Post-SSWD"
"Carmel Point",0,0,0,2,0.31,0.29,"01-09-2020","Post-SSWD"
"Carmel Point",0,0,0,0,0,0,"01-09-2020","Post-SSWD"
"Carmel Point",1,0.15,0.32,0,0,0,"08-04-2020","Post-SSWD"
"Carmel Point",1,0.15,0.32,0,0,0,"08-04-2020","Post-SSWD"
"Carmel Point",1,0.15,0.32,0,0,0,"03-26-2021","Post-SSWD"
"Carmel Point",0,0,0,0,0,0,"03-26-2021","Post-SSWD"
