"Site","Acorn_Barnacle_Abundance","Mussel_Abundance","Date"
"Carmel Point",5.88,10.07,2011-05-19
"Carmel Point",0,6,2012-01-18
"Carmel Point",3.44,7.67,2012-05-10
"Carmel Point",4.78,7,2012-05-11
"Carmel Point",7.91,6.64,2012-06-07
"Carmel Point",6.75,7.25,2013-12-02
"Carmel Point",4,3.21,2014-02-11
"Carmel Point",8.44,6.11,2014-02-12
"Carmel Point",9.75,6.75,2014-02-13
"Carmel Point",7.2,2,2014-03-08
"Carmel Point",6.2,3,2014-03-23
"Carmel Point",3.2,6.8,2014-04-04
"Carmel Point",10,8,2014-05-03
"Carmel Point",10.38,5.62,2014-07-14
"Carmel Point",9.67,9.67,2014-10-08
"Carmel Point",9.2,8.4,2015-02-18
"Carmel Point",NA,9.2,2016-04-12
"Carmel Point",NA,7.43,2016-07-06
"Carmel Point",NA,11.4,2017-06-28
"Carmel Point",NA,11.8,2018-02-13
