"Site","Purple_Count","Purple_per_10m","Purple_relative_population","Orange_Count","Orange_per_10m","Orange_relative_population","Date","Period"
"Davenport Landing",29,2.9,1.6,11,1.1,1.81,"06-26-2009","Pre-SSWD"
"Davenport Landing",11,1.1,0.61,3,0.3,0.49,"07-27-2010","Pre-SSWD"
"Davenport Landing",21,2.1,1.16,6,0.6,0.99,"08-03-2010","Pre-SSWD"
"Davenport Landing",29,2.9,1.6,14,1.4,2.3,"08-11-2010","Pre-SSWD"
"Davenport Landing",21,2.1,1.16,6,0.6,0.99,"09-10-2010","Pre-SSWD"
"Davenport Landing",19,1.9,1.05,11,1.1,1.81,"10-07-2010","Pre-SSWD"
"Davenport Landing",21,2.1,1.16,8,0.8,1.32,"10-30-2010","Pre-SSWD"
"Davenport Landing",23,2.3,1.27,9,0.9,1.48,"12-03-2010","Pre-SSWD"
"Davenport Landing",15,1.5,0.83,2,0.2,0.33,"12-22-2011","Pre-SSWD"
"Davenport Landing",11,1.1,0.61,0,0,0,"10-15-2012","Pre-SSWD"
"Davenport Landing",7,0.7,0.39,2,0.2,0.33,"12-14-2012","Pre-SSWD"
"Davenport Landing",10,1,0.55,1,0.1,0.16,"08-07-2013","Pre-SSWD"
"Davenport Landing",0,0,0,0,0,0,"10-20-2013","Post-SSWD"
"Davenport Landing",0,0,0,0,0,0,"01-27-2014","Post-SSWD"
"Davenport Landing",0,0,0,0,0,0,"01-27-2014","Post-SSWD"
"Davenport Landing",0,0,0,0,0,0,"01-04-2015","Post-SSWD"
"Davenport Landing",6,0.6,0.33,0,0,0,"10-26-2015","Post-SSWD"
"Davenport Landing",8,0.8,0.44,0,0,0,"04-29-2016","Post-SSWD"
"Davenport Landing",19,1.9,1.05,5,0.5,0.82,"11-26-2016","Post-SSWD"
"Davenport Landing",25,2.5,1.38,7,0.7,1.15,"12-28-2016","Post-SSWD"
"Davenport Landing",22,2.2,1.22,8,0.8,1.32,"05-04-2018","Post-SSWD"
"Davenport Landing",36,3.6,1.99,11,1.1,1.81,"05-10-2019","Post-SSWD"
"Davenport Landing",12,1.2,0.66,3,0.3,0.49,"05-11-2019","Post-SSWD"
"Davenport Landing",32,3.2,1.77,10,1,1.64,"11-12-2019","Post-SSWD"
"Davenport Landing",53,5.3,2.93,23,2.3,3.78,"01-10-2020","Post-SSWD"
"Davenport Landing",42,4.2,2.32,11,1.1,1.81,"02-20-2020","Post-SSWD"
"Davenport Landing",54,5.4,2.99,13,1.3,2.14,"02-09-2021","Post-SSWD"
"Davenport Landing",19,1.9,1.05,5,0.5,0.82,"05-07-2022","Post-SSWD"
"Davenport Landing",26,2.6,1.44,5,0.5,0.82,"03-18-2023","Post-SSWD"
"Davenport Landing",8,0.8,0.44,3,0.3,0.49,"05-12-2023","Post-SSWD"
