"Site","Acorn_Barnacle_Abundance","Mussel_Abundance","Date"
"Davenport Landing",12.1,4.35,"05-08-1974"
"Davenport Landing",16.46,8.63,"05-14-1975"
"Davenport Landing",8.9,4.93,"11-05-1976"
"Davenport Landing",23,21,"11-05-1976"
"Davenport Landing",10.11,3.22,"10-31-1978"
"Davenport Landing",19,17,"10-31-1978"
"Davenport Landing",7.23,2.95,"05-16-1983"
"Davenport Landing",18.88,19.42,"05-16-1983"
"Davenport Landing",5.03,7.13,"05-10-1986"
"Davenport Landing",13.54,20.45,"05-03-1991"
"Davenport Landing",10.27,3.5,"05-12-1994"
"Davenport Landing",0,15.66,"05-12-1994"
"Davenport Landing",14,4.21,"05-21-1996"
"Davenport Landing",6,7.04,"05-10-1997"
"Davenport Landing",9.25,7,"01-20-2008"
"Davenport Landing",24,13.33,"04-13-2008"
"Davenport Landing",0,9.8,"04-27-2008"
"Davenport Landing",3.67,9,"05-25-2008"
"Davenport Landing",2.6,15,"01-01-2009"
"Davenport Landing",10.33,10.5,"07-10-2009"
"Davenport Landing",0,15,"08-24-2009"
"Davenport Landing",4.17,3,"10-03-2009"
"Davenport Landing",4.4,4.25,"11-14-2009"
"Davenport Landing",11,7.25,"12-02-2009"
"Davenport Landing",10.4,8.1,"12-03-2009"
"Davenport Landing",9.6,6.6,"01-28-2010"
"Davenport Landing",15,0.5,"02-08-2010"
"Davenport Landing",3.5,10.5,"12-22-2011"
"Davenport Landing",7,2,"01-07-2012"
"Davenport Landing",9.33,0.8,"04-22-2012"
"Davenport Landing",4.5,4.33,"05-22-2012"
"Davenport Landing",20,7.2,"05-26-2012"
"Davenport Landing",16,5.33,"07-22-2012"
"Davenport Landing",8.8,7,"08-04-2012"
"Davenport Landing",9.25,14.33,"08-26-2012"
"Davenport Landing",2,19.8,"10-15-2012"
"Davenport Landing",2,9.8,"10-16-2012"
"Davenport Landing",18,13.67,"10-29-2012"
"Davenport Landing",21.64,9.17,"10-30-2012"
"Davenport Landing",22.83,11.5,"11-13-2012"
"Davenport Landing",4.5,0.67,"11-26-2012"
"Davenport Landing",11.33,7.5,"12-01-2012"
"Davenport Landing",8,22.75,"12-14-2012"
"Davenport Landing",6.8,14.8,"12-30-2012"
"Davenport Landing",8.33,12.4,"12-31-2012"
"Davenport Landing",9.5,5.75,"02-17-2013"
"Davenport Landing",2.33,0,"04-07-2013"
"Davenport Landing",21.5,4.33,"05-21-2013"
"Davenport Landing",24.5,8.33,"07-27-2013"
"Davenport Landing",24.25,20.86,"08-07-2013"
"Davenport Landing",6.33,19.33,"08-07-2013"
"Davenport Landing",22.5,2.5,"10-05-2013"
"Davenport Landing",17,1,"11-04-2013"
"Davenport Landing",8.9,6.75,"12-14-2013"
"Davenport Landing",0,9.2,"12-31-2013"
"Davenport Landing",12,9,"08-30-2015"
"Davenport Landing",23.5,20.5,"10-26-2015"
"Davenport Landing",24,1.33,"10-26-2015"
"Davenport Landing",8,25,"11-11-2015"
"Davenport Landing",NA,24.75,"01-09-2016"
"Davenport Landing",NA,17,"02-07-2016"
"Davenport Landing",NA,6.67,"02-07-2016"
"Davenport Landing",NA,25,"04-03-2016"
"Davenport Landing",NA,24.14,"04-29-2016"
"Davenport Landing",NA,9.4,"04-29-2016"
"Davenport Landing",NA,0,"05-10-2016"
"Davenport Landing",NA,16,"05-14-2016"
"Davenport Landing",NA,25,"06-03-2016"
"Davenport Landing",NA,24,"08-20-2016"
"Davenport Landing",NA,24,"08-20-2016"
"Davenport Landing",NA,24.5,"09-18-2016"
"Davenport Landing",NA,24.5,"09-18-2016"
"Davenport Landing",NA,24.5,"10-18-2016"
"Davenport Landing",NA,24.5,"11-12-2016"
"Davenport Landing",NA,23.5,"11-26-2016"
"Davenport Landing",NA,16.5,"12-11-2016"
"Davenport Landing",NA,25,"01-13-2017"
"Davenport Landing",NA,22.5,"01-29-2017"
"Davenport Landing",NA,21.5,"02-12-2017"
"Davenport Landing",NA,24,"02-27-2017"
"Davenport Landing",NA,23.5,"03-03-2017"
"Davenport Landing",NA,24.5,"03-20-2017"
"Davenport Landing",NA,19,"04-10-2017"
"Davenport Landing",NA,11.5,"04-29-2017"
"Davenport Landing",NA,24.5,"05-13-2017"
"Davenport Landing",NA,24.5,"05-29-2017"
"Davenport Landing",NA,25,"06-26-2017"
"Davenport Landing",NA,17.5,"07-13-2017"
"Davenport Landing",NA,24.5,"08-10-2017"
"Davenport Landing",NA,25,"09-08-2017"
"Davenport Landing",NA,25,"09-22-2017"
"Davenport Landing",NA,20,"10-06-2017"
"Davenport Landing",NA,25,"10-17-2017"
"Davenport Landing",NA,25,"11-05-2017"
"Davenport Landing",NA,23.5,"11-19-2017"
"Davenport Landing",NA,24.5,"12-03-2017"
"Davenport Landing",NA,24,"12-18-2017"
"Davenport Landing",NA,21,"01-15-2018"
"Davenport Landing",NA,25,"01-31-2018"
"Davenport Landing",NA,23,"03-12-2018"
"Davenport Landing",NA,25,"03-27-2018"
"Davenport Landing",NA,8.46,"05-04-2018"
"Davenport Landing",NA,22.57,"05-10-2019"
"Davenport Landing",NA,22,"05-10-2019"
