"Site","Purple_Count","Purple_per_10m","Purple_relative_population","Orange_Count","Orange_per_10m","Orange_relative_population","Date","Period"
"Fitzgerald Marine Reserve",4,0.27,1.26,0,0,0,"11-01-2006","Pre-SSWD"
"Fitzgerald Marine Reserve",5,0.33,1.54,3,0.2,3.5,"01-30-2007","Pre-SSWD"
"Fitzgerald Marine Reserve",4,0.27,1.26,1,0.07,1.22,"02-23-2007","Pre-SSWD"
"Fitzgerald Marine Reserve",2,0.13,0.61,1,0.07,1.22,"02-26-2007","Pre-SSWD"
"Fitzgerald Marine Reserve",4,0.27,1.26,2,0.13,2.27,"02-28-2007","Pre-SSWD"
"Fitzgerald Marine Reserve",5,0.33,1.54,2,0.13,2.27,"02-28-2007","Pre-SSWD"
"Fitzgerald Marine Reserve",1,0.07,0.33,0,0,0,"03-23-2007","Pre-SSWD"
"Fitzgerald Marine Reserve",2,0.13,0.61,0,0,0,"03-28-2007","Pre-SSWD"
"Fitzgerald Marine Reserve",2,0.13,0.61,0,0,0,"05-09-2007","Pre-SSWD"
"Fitzgerald Marine Reserve",2,0.13,0.61,1,0.07,1.22,"06-07-2007","Pre-SSWD"
"Fitzgerald Marine Reserve",2,0.13,0.61,1,0.07,1.22,"06-07-2007","Pre-SSWD"
"Fitzgerald Marine Reserve",3,0.2,0.94,1,0.07,1.22,"06-07-2007","Pre-SSWD"
"Fitzgerald Marine Reserve",2,0.13,0.61,1,0.07,1.22,"07-03-2007","Pre-SSWD"
"Fitzgerald Marine Reserve",8,0.53,2.48,0,0,0,"12-08-2007","Pre-SSWD"
"Fitzgerald Marine Reserve",5,0.33,1.54,0,0,0,"01-18-2008","Pre-SSWD"
"Fitzgerald Marine Reserve",6,0.4,1.87,1,0.07,1.22,"02-04-2008","Pre-SSWD"
"Fitzgerald Marine Reserve",5,0.33,1.54,0,0,0,"02-04-2008","Pre-SSWD"
"Fitzgerald Marine Reserve",4,0.27,1.26,1,0.07,1.22,"02-13-2008","Pre-SSWD"
"Fitzgerald Marine Reserve",3,0.2,0.94,1,0.07,1.22,"02-13-2008","Pre-SSWD"
"Fitzgerald Marine Reserve",3,0.2,0.94,1,0.07,1.22,"02-14-2008","Pre-SSWD"
"Fitzgerald Marine Reserve",3,0.2,0.94,1,0.07,1.22,"02-14-2008","Pre-SSWD"
"Fitzgerald Marine Reserve",3,0.2,0.94,1,0.07,1.22,"02-15-2008","Pre-SSWD"
"Fitzgerald Marine Reserve",5,0.33,1.54,1,0.07,1.22,"03-02-2008","Pre-SSWD"
"Fitzgerald Marine Reserve",5,0.33,1.54,0,0,0,"05-08-2008","Pre-SSWD"
"Fitzgerald Marine Reserve",9,0.6,2.81,1,0.07,1.22,"05-09-2008","Pre-SSWD"
"Fitzgerald Marine Reserve",7,0.47,2.2,1,0.07,1.22,"10-28-2008","Pre-SSWD"
"Fitzgerald Marine Reserve",6,0.4,1.87,0,0,0,"01-21-2009","Pre-SSWD"
"Fitzgerald Marine Reserve",9,0.6,2.81,4,0.27,4.72,"02-04-2009","Pre-SSWD"
"Fitzgerald Marine Reserve",3,0.2,0.94,1,0.07,1.22,"02-05-2009","Pre-SSWD"
"Fitzgerald Marine Reserve",2,0.13,0.61,0,0,0,"05-27-2009","Pre-SSWD"
"Fitzgerald Marine Reserve",8,0.53,2.48,1,0.07,1.22,"07-10-2009","Pre-SSWD"
"Fitzgerald Marine Reserve",1,0.07,0.33,2,0.13,2.27,"11-04-2009","Pre-SSWD"
"Fitzgerald Marine Reserve",1,0.07,0.33,2,0.13,2.27,"11-04-2009","Pre-SSWD"
"Fitzgerald Marine Reserve",8,0.53,2.48,1,0.07,1.22,"11-05-2009","Pre-SSWD"
"Fitzgerald Marine Reserve",3,0.2,0.94,1,0.07,1.22,"11-14-2009","Pre-SSWD"
"Fitzgerald Marine Reserve",3,0.2,0.94,2,0.13,2.27,"11-16-2009","Pre-SSWD"
"Fitzgerald Marine Reserve",2,0.13,0.61,2,0.13,2.27,"11-16-2009","Pre-SSWD"
"Fitzgerald Marine Reserve",3,0.2,0.94,1,0.07,1.22,"12-02-2009","Pre-SSWD"
"Fitzgerald Marine Reserve",1,0.07,0.33,0,0,0,"02-08-2010","Pre-SSWD"
"Fitzgerald Marine Reserve",2,0.13,0.61,0,0,0,"03-22-2010","Pre-SSWD"
"Fitzgerald Marine Reserve",2,0.13,0.61,0,0,0,"03-22-2010","Pre-SSWD"
"Fitzgerald Marine Reserve",2,0.13,0.61,0,0,0,"03-23-2010","Pre-SSWD"
"Fitzgerald Marine Reserve",2,0.13,0.61,0,0,0,"04-20-2010","Pre-SSWD"
"Fitzgerald Marine Reserve",3,0.2,0.94,0,0,0,"04-21-2010","Pre-SSWD"
"Fitzgerald Marine Reserve",1,0.07,0.33,1,0.07,1.22,"05-15-2010","Pre-SSWD"
"Fitzgerald Marine Reserve",1,0.07,0.33,1,0.07,1.22,"05-19-2010","Pre-SSWD"
"Fitzgerald Marine Reserve",2,0.13,0.61,0,0,0,"06-29-2010","Pre-SSWD"
"Fitzgerald Marine Reserve",2,0.13,0.61,0,0,0,"06-29-2010","Pre-SSWD"
"Fitzgerald Marine Reserve",4,0.27,1.26,2,0.13,2.27,"08-12-2010","Pre-SSWD"
"Fitzgerald Marine Reserve",3,0.2,0.94,0,0,0,"11-06-2010","Pre-SSWD"
"Fitzgerald Marine Reserve",4,0.27,1.26,0,0,0,"11-06-2010","Pre-SSWD"
"Fitzgerald Marine Reserve",5,0.33,1.54,0,0,0,"12-01-2010","Pre-SSWD"
"Fitzgerald Marine Reserve",6,0.4,1.87,0,0,0,"12-06-2010","Pre-SSWD"
"Fitzgerald Marine Reserve",5,0.33,1.54,0,0,0,"01-19-2011","Pre-SSWD"
"Fitzgerald Marine Reserve",3,0.2,0.94,0,0,0,"01-29-2011","Pre-SSWD"
"Fitzgerald Marine Reserve",2,0.13,0.61,2,0.13,2.27,"02-15-2011","Pre-SSWD"
"Fitzgerald Marine Reserve",2,0.13,0.61,2,0.13,2.27,"03-30-2011","Pre-SSWD"
"Fitzgerald Marine Reserve",1,0.07,0.33,1,0.07,1.22,"04-07-2011","Pre-SSWD"
"Fitzgerald Marine Reserve",1,0.07,0.33,1,0.07,1.22,"04-07-2011","Pre-SSWD"
"Fitzgerald Marine Reserve",1,0.07,0.33,1,0.07,1.22,"04-07-2011","Pre-SSWD"
"Fitzgerald Marine Reserve",2,0.13,0.61,3,0.2,3.5,"04-21-2011","Pre-SSWD"
"Fitzgerald Marine Reserve",1,0.07,0.33,4,0.27,4.72,"04-21-2011","Pre-SSWD"
"Fitzgerald Marine Reserve",4,0.27,1.26,2,0.13,2.27,"08-31-2011","Pre-SSWD"
"Fitzgerald Marine Reserve",4,0.27,1.26,0,0,0,"10-25-2011","Pre-SSWD"
"Fitzgerald Marine Reserve",2,0.13,0.61,0,0,0,"11-21-2011","Pre-SSWD"
"Fitzgerald Marine Reserve",6,0.4,1.87,0,0,0,"11-22-2011","Pre-SSWD"
"Fitzgerald Marine Reserve",0,0,0,0,0,0,"03-14-2012","Pre-SSWD"
"Fitzgerald Marine Reserve",0,0,0,0,0,0,"05-08-2012","Pre-SSWD"
"Fitzgerald Marine Reserve",0,0,0,0,0,0,"05-23-2012","Pre-SSWD"
"Fitzgerald Marine Reserve",0,0,0,0,0,0,"05-23-2012","Pre-SSWD"
"Fitzgerald Marine Reserve",1,0.07,0.33,1,0.07,1.22,"02-05-2013","Pre-SSWD"
"Fitzgerald Marine Reserve",0,0,0,0,0,0,"01-15-2014","Post-SSWD"
"Fitzgerald Marine Reserve",0,0,0,0,0,0,"05-20-2015","Post-SSWD"
"Fitzgerald Marine Reserve",5,0.33,1.54,0,0,0,"11-23-2015","Post-SSWD"
"Fitzgerald Marine Reserve",5,0.33,1.54,0,0,0,"10-16-2020","Post-SSWD"
"Fitzgerald Marine Reserve",1,0.07,0.33,0,0,0,"04-26-2022","Post-SSWD"
"Fitzgerald Marine Reserve",1,0.07,0.33,0,0,0,"04-24-2023","Post-SSWD"
"Fitzgerald Marine Reserve",1,0.1,0.47,0,0,0,"04-24-2023","Post-SSWD"
"Fitzgerald Marine Reserve",0,0,0,0,0,0,"01-08-2024","Post-SSWD"
"Fitzgerald Marine Reserve",9,0.9,4.21,2,0.2,3.5,"01-08-2024","Post-SSWD"
