"Site","Acorn_Barnacle_Abundance","Mussel_Abundance","Date"
"Fitzgerald Marine Reserve",8.4,1.6,"11-01-2006"
"Fitzgerald Marine Reserve",16.5,1.88,"11-02-2006"
"Fitzgerald Marine Reserve",1.86,1.43,"01-30-2007"
"Fitzgerald Marine Reserve",11.27,3.64,"03-23-2007"
"Fitzgerald Marine Reserve",12.25,3,"03-28-2007"
"Fitzgerald Marine Reserve",0.38,0,"05-09-2007"
"Fitzgerald Marine Reserve",9.1,2.6,"06-06-2007"
"Fitzgerald Marine Reserve",16.1,1.95,"06-07-2007"
"Fitzgerald Marine Reserve",16.13,3.27,"07-03-2007"
"Fitzgerald Marine Reserve",4.73,1.45,"01-18-2008"
"Fitzgerald Marine Reserve",11.86,2.79,"02-04-2008"
"Fitzgerald Marine Reserve",18.82,2.64,"02-13-2008"
"Fitzgerald Marine Reserve",7,1.5,"02-14-2008"
"Fitzgerald Marine Reserve",6.58,1.67,"04-24-2008"
"Fitzgerald Marine Reserve",2.33,0.92,"05-08-2008"
"Fitzgerald Marine Reserve",4.81,2.31,"05-28-2008"
"Fitzgerald Marine Reserve",6,1,"06-05-2008"
"Fitzgerald Marine Reserve",4.42,0.58,"01-21-2009"
"Fitzgerald Marine Reserve",5.57,0.71,"02-04-2009"
"Fitzgerald Marine Reserve",1,0,"02-06-2009"
"Fitzgerald Marine Reserve",4.82,0.45,"02-18-2009"
"Fitzgerald Marine Reserve",7.08,0.85,"03-04-2009"
"Fitzgerald Marine Reserve",0.2,0,"03-05-2009"
"Fitzgerald Marine Reserve",1.38,1,"03-18-2009"
"Fitzgerald Marine Reserve",0.57,2,"04-28-2009"
"Fitzgerald Marine Reserve",0.74,0.17,"04-29-2009"
"Fitzgerald Marine Reserve",0.09,0.09,"05-01-2009"
"Fitzgerald Marine Reserve",0,0,"11-14-2009"
"Fitzgerald Marine Reserve",6.75,0.75,"01-13-2010"
"Fitzgerald Marine Reserve",6.5,0.13,"02-08-2010"
"Fitzgerald Marine Reserve",6.17,0.17,"03-22-2010"
"Fitzgerald Marine Reserve",3,1.5,"03-23-2010"
"Fitzgerald Marine Reserve",5.85,0.62,"04-20-2010"
"Fitzgerald Marine Reserve",1.85,0.54,"04-21-2010"
"Fitzgerald Marine Reserve",0.33,0,"05-18-2010"
"Fitzgerald Marine Reserve",2,0.93,"05-19-2010"
"Fitzgerald Marine Reserve",0,1.5,"05-19-2010"
"Fitzgerald Marine Reserve",2.25,0.33,"06-02-2010"
"Fitzgerald Marine Reserve",7.59,0.47,"08-12-2010"
"Fitzgerald Marine Reserve",5.63,0.88,"11-03-2010"
"Fitzgerald Marine Reserve",3.42,1.67,"11-06-2010"
"Fitzgerald Marine Reserve",1.63,0,"12-06-2010"
"Fitzgerald Marine Reserve",13.83,0.42,"01-19-2011"
"Fitzgerald Marine Reserve",0.78,0.11,"01-20-2011"
"Fitzgerald Marine Reserve",6.16,0.53,"04-07-2011"
"Fitzgerald Marine Reserve",4.7,0.61,"04-12-2011"
"Fitzgerald Marine Reserve",4.76,2.56,"04-21-2011"
"Fitzgerald Marine Reserve",10.1,1.15,"05-07-2011"
"Fitzgerald Marine Reserve",3.38,2,"06-07-2011"
"Fitzgerald Marine Reserve",4.67,0.89,"08-31-2011"
"Fitzgerald Marine Reserve",7.05,0.79,"11-06-2011"
"Fitzgerald Marine Reserve",0.88,2.25,"03-14-2012"
"Fitzgerald Marine Reserve",6.5,0.88,"04-11-2012"
"Fitzgerald Marine Reserve",1.83,0.58,"05-10-2012"
"Fitzgerald Marine Reserve",0.56,0.11,"05-23-2012"
"Fitzgerald Marine Reserve",2.05,3.55,"05-23-2012"
"Fitzgerald Marine Reserve",0,0.89,"11-13-2012"
"Fitzgerald Marine Reserve",6.86,0.14,"12-09-2012"
"Fitzgerald Marine Reserve",10.42,1.33,"02-07-2013"
"Fitzgerald Marine Reserve",8,2.5,"02-09-2013"
"Fitzgerald Marine Reserve",1.58,0.17,"04-30-2013"
"Fitzgerald Marine Reserve",4.5,0.58,"05-01-2013"
"Fitzgerald Marine Reserve",0,0,"05-02-2013"
"Fitzgerald Marine Reserve",1.33,3.17,"12-02-2013"
"Fitzgerald Marine Reserve",8.2,0.5,"12-02-2013"
"Fitzgerald Marine Reserve",5.5,0.5,"03-01-2014"
"Fitzgerald Marine Reserve",1.9,0.3,"03-26-2014"
"Fitzgerald Marine Reserve",0,0.38,"03-27-2014"
"Fitzgerald Marine Reserve",5.83,0.33,"04-22-2014"
"Fitzgerald Marine Reserve",9.5,1,"04-23-2014"
"Fitzgerald Marine Reserve",4,0.5,"05-20-2014"
"Fitzgerald Marine Reserve",9,0.5,"11-05-2014"
"Fitzgerald Marine Reserve",14.46,0.62,"01-30-2015"
"Fitzgerald Marine Reserve",12,1.25,"01-31-2015"
"Fitzgerald Marine Reserve",9,1.86,"04-14-2015"
"Fitzgerald Marine Reserve",1.08,0.83,"04-24-2015"
"Fitzgerald Marine Reserve",4.41,3.09,"05-11-2015"
"Fitzgerald Marine Reserve",2.67,0.67,"05-12-2015"
"Fitzgerald Marine Reserve",2.76,1.76,"05-20-2015"
"Fitzgerald Marine Reserve",0.8,0.4,"01-20-2016"
"Fitzgerald Marine Reserve",0.18,0.64,"03-15-2016"
"Fitzgerald Marine Reserve",1.62,0.7,"04-14-2016"
"Fitzgerald Marine Reserve",0,0,"04-14-2016"
"Fitzgerald Marine Reserve",3.9,0.4,"04-28-2016"
"Fitzgerald Marine Reserve",NA,1.25,"11-15-2016"
"Fitzgerald Marine Reserve",NA,1.14,"02-06-2017"
"Fitzgerald Marine Reserve",NA,2.5,"03-07-2017"
"Fitzgerald Marine Reserve",NA,0.8,"03-09-2017"
"Fitzgerald Marine Reserve",NA,8,"03-09-2017"
"Fitzgerald Marine Reserve",NA,1.5,"05-02-2017"
"Fitzgerald Marine Reserve",NA,0.63,"05-15-2017"
"Fitzgerald Marine Reserve",NA,0.33,"11-16-2017"
"Fitzgerald Marine Reserve",NA,1.5,"03-26-2018"
"Fitzgerald Marine Reserve",NA,1.69,"03-27-2018"
"Fitzgerald Marine Reserve",NA,1.18,"05-03-2018"
"Fitzgerald Marine Reserve",NA,0,"05-03-2018"
"Fitzgerald Marine Reserve",NA,2.88,"03-02-2019"
"Fitzgerald Marine Reserve",NA,0,"04-11-2019"
"Fitzgerald Marine Reserve",NA,0.5,"04-12-2019"
