"Site","Purple_Count","Purple_per_10m","Purple_relative_population","Orange_Count","Orange_per_10m","Orange_relative_population","Date","Period"
"Natural Bridges",45,0.83,0.59,20,0.37,0.75,"03-24-2007","Pre-SSWD"
"Natural Bridges",34,0.63,0.45,18,0.33,0.67,"03-24-2007","Pre-SSWD"
"Natural Bridges",36,0.67,0.48,6,0.11,0.22,"03-24-2007","Pre-SSWD"
"Natural Bridges",47,0.87,0.62,12,0.22,0.45,"03-24-2007","Pre-SSWD"
"Natural Bridges",41,0.76,0.54,8,0.15,0.3,"03-07-2009","Pre-SSWD"
"Natural Bridges",22,0.41,0.29,5,0.09,0.18,"03-07-2009","Pre-SSWD"
"Natural Bridges",30,0.56,0.4,34,0.63,1.28,"03-07-2009","Pre-SSWD"
"Natural Bridges",43,0.8,0.57,19,0.35,0.71,"03-07-2009","Pre-SSWD"
"Natural Bridges",122,2.26,1.62,62,1.15,2.34,"04-04-2009","Pre-SSWD"
"Natural Bridges",269,4.98,3.57,89,1.65,3.35,"12-02-2009","Pre-SSWD"
"Natural Bridges",218,4.04,2.9,55,1.02,2.07,"12-05-2009","Pre-SSWD"
"Natural Bridges",96,1.78,1.28,30,0.56,1.14,"03-20-2010","Pre-SSWD"
"Natural Bridges",105,1.94,1.39,29,0.54,1.1,"04-23-2010","Pre-SSWD"
"Natural Bridges",28,0.52,0.37,18,0.33,0.67,"08-03-2011","Pre-SSWD"
"Natural Bridges",47,0.87,0.62,11,0.2,0.41,"08-03-2011","Pre-SSWD"
"Natural Bridges",45,0.83,0.59,13,0.24,0.49,"08-03-2011","Pre-SSWD"
"Natural Bridges",43,0.8,0.57,27,0.5,1.02,"10-26-2011","Pre-SSWD"
"Natural Bridges",60,1.11,0.8,30,0.56,1.14,"10-26-2011","Pre-SSWD"
"Natural Bridges",100,1.85,1.33,19,0.35,0.71,"08-06-2013","Pre-SSWD"
"Natural Bridges",3,0.06,0.04,1,0.02,0.04,"10-18-2013","Post-SSWD"
"Natural Bridges",4,0.07,0.05,2,0.04,0.08,"10-18-2013","Post-SSWD"
"Natural Bridges",0,0,0,1,0.02,0.04,"04-22-2014","Post-SSWD"
"Natural Bridges",0,0,0,0,0,0,"05-20-2014","Post-SSWD"
"Natural Bridges",0,0,0,0,0,0,"05-21-2014","Post-SSWD"
"Natural Bridges",44,0.81,0.58,11,0.2,0.41,"06-01-2014","Post-SSWD"
"Natural Bridges",14,0.26,0.19,6,0.11,0.22,"11-22-2014","Post-SSWD"
"Natural Bridges",0,0,0,5,0.09,0.18,"12-04-2014","Post-SSWD"
"Natural Bridges",1,0.02,0.01,6,0.11,0.22,"02-27-2015","Post-SSWD"
"Natural Bridges",8,0.15,0.11,3,0.06,0.12,"03-16-2015","Post-SSWD"
"Natural Bridges",7,0.13,0.09,2,0.04,0.08,"03-24-2015","Post-SSWD"
"Natural Bridges",26,0.48,0.34,5,0.09,0.18,"05-09-2015","Post-SSWD"
"Natural Bridges",17,0.31,0.22,3,0.06,0.12,"12-24-2015","Post-SSWD"
"Natural Bridges",1,0.02,0.01,2,0.04,0.08,"02-18-2016","Post-SSWD"
"Natural Bridges",1,0.02,0.01,2,0.04,0.08,"02-19-2016","Post-SSWD"
"Natural Bridges",7,0.13,0.09,5,0.09,0.18,"04-16-2016","Post-SSWD"
"Natural Bridges",4,0.07,0.05,5,0.09,0.18,"04-16-2016","Post-SSWD"
"Natural Bridges",7,0.13,0.09,6,0.11,0.22,"02-06-2017","Post-SSWD"
"Natural Bridges",6,0.11,0.08,5,0.09,0.18,"02-06-2017","Post-SSWD"
"Natural Bridges",16,0.3,0.22,6,0.11,0.22,"03-07-2017","Post-SSWD"
"Natural Bridges",10,0.19,0.14,2,0.04,0.08,"03-12-2017","Post-SSWD"
"Natural Bridges",33,0.61,0.44,9,0.17,0.35,"04-15-2017","Post-SSWD"
"Natural Bridges",76,1.41,1.01,16,0.3,0.61,"05-27-2017","Post-SSWD"
"Natural Bridges",7,0.13,0.09,4,0.07,0.14,"03-26-2018","Post-SSWD"
"Natural Bridges",8,0.15,0.11,2,0.04,0.08,"04-11-2018","Post-SSWD"
"Natural Bridges",10,0.19,0.14,8,0.15,0.3,"05-05-2018","Post-SSWD"
"Natural Bridges",3,0.06,0.04,5,0.09,0.18,"05-22-2018","Post-SSWD"
"Natural Bridges",36,0.67,0.48,18,0.33,0.67,"01-23-2020","Post-SSWD"
"Natural Bridges",52,0.96,0.69,20,0.37,0.75,"03-06-2020","Post-SSWD"
"Natural Bridges",16,0.3,0.22,8,0.15,0.3,"08-20-2020","Post-SSWD"
"Natural Bridges",28,0.52,0.37,10,0.19,0.39,"02-08-2021","Post-SSWD"
"Natural Bridges",19,0.35,0.25,1,0.02,0.04,"03-25-2022","Post-SSWD"
