"Site","Acorn_Barnacle_Abundance","Mussel_Abundance","Date"
"Natural Bridges",2.86,5.73,"04-20-1973"
"Natural Bridges",19.5,20.09,"04-20-1973"
"Natural Bridges",6.75,5,"04-09-1974"
"Natural Bridges",21.73,18.73,"04-09-1974"
"Natural Bridges",9.71,7.14,"04-10-1974"
"Natural Bridges",8.25,9.54,"04-15-1975"
"Natural Bridges",22.04,20.54,"04-15-1975"
"Natural Bridges",19,20,"05-01-1976"
"Natural Bridges",8,8,"05-01-1976"
"Natural Bridges",19,19,"11-01-1978"
"Natural Bridges",13,8,"11-01-1978"
"Natural Bridges",14,11,"05-01-1980"
"Natural Bridges",15,10,"05-01-1980"
"Natural Bridges",3,4,"05-01-1983"
"Natural Bridges",8,9,"05-01-1983"
"Natural Bridges",20,16,"05-01-1986"
"Natural Bridges",16,4,"05-01-1990"
"Natural Bridges",18,15,"05-01-1990"
"Natural Bridges",14.94,8.5,"05-10-1993"
"Natural Bridges",14,13,"05-10-1993"
"Natural Bridges",14,9,"05-01-1996"
"Natural Bridges",22,15,"05-01-1996"
"Natural Bridges",15.31,8.5,"05-07-1997"
"Natural Bridges",18,17,"05-07-1997"
"Natural Bridges",20.83,15,"05-01-2000"
"Natural Bridges",14.6,21,"05-01-2000"
"Natural Bridges",22.38,11,"05-01-2001"
"Natural Bridges",20.33,22,"05-01-2001"
"Natural Bridges",16,21.33,"05-29-2006"
"Natural Bridges",12,11.6,"12-02-2009"
"Natural Bridges",10.67,18.63,"12-02-2009"
"Natural Bridges",17.8,15.29,"01-01-2010"
"Natural Bridges",16.2,9,"01-01-2010"
"Natural Bridges",13.33,20.5,"02-26-2011"
"Natural Bridges",24.5,10.5,"03-02-2012"
"Natural Bridges",7.8,16.47,"02-08-2013"
"Natural Bridges",8,12.2,"03-08-2013"
"Natural Bridges",16,9.25,"03-08-2013"
"Natural Bridges",25,23.14,"08-06-2013"
"Natural Bridges",9,12.6,"04-22-2014"
"Natural Bridges",11,6.75,"05-20-2014"
"Natural Bridges",0,20.33,"05-21-2014"
"Natural Bridges",17.82,25,"06-01-2014"
"Natural Bridges",3.57,11,"06-01-2014"
"Natural Bridges",4.33,16,"12-04-2014"
"Natural Bridges",13.7,0,"12-04-2014"
"Natural Bridges",11.9,17.09,"02-27-2015"
"Natural Bridges",14.24,10.86,"03-16-2015"
"Natural Bridges",9.71,4.67,"03-24-2015"
"Natural Bridges",19.5,16.2,"03-24-2015"
"Natural Bridges",16.25,9.86,"04-10-2015"
"Natural Bridges",22.5,18.14,"04-10-2015"
"Natural Bridges",12,11.43,"04-24-2015"
"Natural Bridges",4,8.25,"04-24-2015"
"Natural Bridges",11.21,14.25,"05-09-2015"
"Natural Bridges",12.37,23,"05-09-2015"
"Natural Bridges",17.67,12.8,"01-20-2016"
"Natural Bridges",13,10,"02-18-2016"
"Natural Bridges",NA,9.43,"02-19-2016"
"Natural Bridges",NA,12.95,"04-01-2016"
"Natural Bridges",NA,16.67,"04-16-2016"
"Natural Bridges",NA,15.5,"04-16-2016"
"Natural Bridges",NA,12.38,"02-06-2017"
"Natural Bridges",NA,12.67,"03-12-2017"
"Natural Bridges",NA,22.75,"03-12-2017"
"Natural Bridges",NA,12.21,"03-24-2017"
"Natural Bridges",NA,22,"03-24-2017"
"Natural Bridges",NA,9.5,"04-14-2017"
"Natural Bridges",NA,10,"05-05-2017"
"Natural Bridges",NA,12.53,"03-12-2018"
"Natural Bridges",NA,12.08,"03-26-2018"
"Natural Bridges",NA,10.5,"03-26-2018"
"Natural Bridges",NA,14.47,"03-27-2018"
"Natural Bridges",NA,16.43,"03-27-2018"
"Natural Bridges",NA,8.29,"04-23-2018"
"Natural Bridges",NA,10.4,"04-24-2018"
"Natural Bridges",NA,13,"05-05-2018"
"Natural Bridges",NA,14.5,"05-22-2018"
"Natural Bridges",NA,6.93,"03-25-2019"
"Natural Bridges",NA,14.06,"03-26-2019"
"Natural Bridges",NA,11.9,"04-14-2023"
