"Site","Purple_Count","Purple_per_10m","Purple_relative_population","Orange_Count","Orange_per_10m","Orange_relative_population","Date","Period"
"Pigeon Point",5,0.3,0.19,0,0,0,"06-11-2005","Pre-SSWD"
"Pigeon Point",73,4.4,2.74,10,0.6,1.71,"01-29-2007","Pre-SSWD"
"Pigeon Point",25,1.51,0.94,10,0.6,1.71,"03-17-2007","Pre-SSWD"
"Pigeon Point",23,1.39,0.87,6,0.36,1.03,"05-24-2007","Pre-SSWD"
"Pigeon Point",54,3.25,2.02,8,0.48,1.37,"07-04-2007","Pre-SSWD"
"Pigeon Point",43,2.59,1.61,9,0.54,1.54,"12-10-2007","Pre-SSWD"
"Pigeon Point",27,1.63,1.01,9,0.54,1.54,"01-22-2008","Pre-SSWD"
"Pigeon Point",21,1.27,0.79,10,0.6,1.71,"03-13-2008","Pre-SSWD"
"Pigeon Point",21,1.27,0.79,7,0.42,1.2,"01-22-2009","Pre-SSWD"
"Pigeon Point",33,1.99,1.24,4,0.24,0.68,"03-06-2009","Pre-SSWD"
"Pigeon Point",45,2.71,1.69,9,0.54,1.54,"01-28-2010","Pre-SSWD"
"Pigeon Point",25,1.51,0.94,7,0.42,1.2,"03-25-2010","Pre-SSWD"
"Pigeon Point",18,1.08,0.67,1,0.06,0.17,"05-21-2010","Pre-SSWD"
"Pigeon Point",15,0.9,0.56,2,0.12,0.34,"06-12-2010","Pre-SSWD"
"Pigeon Point",7,0.42,0.26,3,0.18,0.51,"02-28-2011","Pre-SSWD"
"Pigeon Point",22,1.33,0.83,3,0.18,0.51,"05-11-2011","Pre-SSWD"
"Pigeon Point",15,0.9,0.56,6,0.36,1.03,"05-21-2011","Pre-SSWD"
"Pigeon Point",29,1.75,1.09,5,0.3,0.85,"06-20-2011","Pre-SSWD"
"Pigeon Point",20,1.2,0.75,5,0.3,0.85,"05-12-2012","Pre-SSWD"
"Pigeon Point",12,0.72,0.45,3,0.18,0.51,"05-12-2012","Pre-SSWD"
"Pigeon Point",0,0,0,0,0,0,"02-24-2014","Post-SSWD"
"Pigeon Point",0,0,0,0,0,0,"02-24-2014","Post-SSWD"
"Pigeon Point",0,0,0,0,0,0,"05-21-2014","Post-SSWD"
"Pigeon Point",2,0.12,0.07,2,0.12,0.34,"02-17-2015","Post-SSWD"
"Pigeon Point",2,0.12,0.07,1,0.06,0.17,"03-16-2015","Post-SSWD"
"Pigeon Point",1,0.06,0.04,1,0.06,0.17,"03-25-2015","Post-SSWD"
"Pigeon Point",2,0.12,0.07,1,0.06,0.17,"04-11-2016","Post-SSWD"
"Pigeon Point",12,0.72,0.45,4,0.24,0.68,"12-12-2016","Post-SSWD"
"Pigeon Point",13,0.78,0.49,1,0.06,0.17,"05-01-2017","Post-SSWD"
"Pigeon Point",8,0.48,0.3,1,0.06,0.17,"05-31-2017","Post-SSWD"
"Pigeon Point",20,1.2,0.75,5,0.3,0.85,"04-20-2018","Post-SSWD"
"Pigeon Point",11,0.66,0.41,12,0.72,2.05,"04-25-2019","Post-SSWD"
"Pigeon Point",19,1.14,0.71,9,0.54,1.54,"11-13-2019","Post-SSWD"
"Pigeon Point",36,2.17,1.35,16,0.96,2.74,"02-07-2020","Post-SSWD"
"Pigeon Point",32,1.93,1.2,12,0.72,2.05,"02-20-2020","Post-SSWD"
"Pigeon Point",40,2.41,1.5,13,0.78,2.22,"06-25-2020","Post-SSWD"
"Pigeon Point",21,1.27,0.79,3,0.18,0.51,"11-13-2020","Post-SSWD"
"Pigeon Point",26,1.57,0.98,10,0.6,1.71,"02-25-2021","Post-SSWD"
"Pigeon Point",35,2.11,1.31,14,0.84,2.39,"03-26-2021","Post-SSWD"
"Pigeon Point",33,1.99,1.24,11,0.66,1.88,"07-12-2021","Post-SSWD"
"Pigeon Point",41,2.47,1.54,15,0.9,2.56,"11-03-2021","Post-SSWD"
"Pigeon Point",41,2.47,1.54,14,0.84,2.39,"12-05-2022","Post-SSWD"
"Pigeon Point",29,1.75,1.09,18,1.08,3.08,"04-13-2023","Post-SSWD"
