"Site","Acorn_Barnacle_Abundance","Mussel_Abundance","Date"
"Pigeon Point",1.56,0,"05-04-2006"
"Pigeon Point",5.8,0,"11-16-2006"
"Pigeon Point",8.38,0,"01-29-2007"
"Pigeon Point",7.55,0,"03-25-2007"
"Pigeon Point",2.1,0.05,"05-24-2007"
"Pigeon Point",7.75,0.67,"07-04-2007"
"Pigeon Point",9.81,0.88,"01-22-2008"
"Pigeon Point",12.43,0.14,"03-13-2008"
"Pigeon Point",5.67,0.06,"01-22-2009"
"Pigeon Point",0,0,"03-06-2009"
"Pigeon Point",12,0.07,"01-28-2010"
"Pigeon Point",4.76,0.18,"02-24-2010"
"Pigeon Point",6,0,"03-25-2010"
"Pigeon Point",0.58,0,"05-21-2010"
"Pigeon Point",2.38,0,"02-28-2011"
"Pigeon Point",4.65,0.08,"03-01-2011"
"Pigeon Point",6.94,0.06,"03-02-2011"
"Pigeon Point",3.5,1.3,"05-11-2011"
"Pigeon Point",2.64,0,"05-21-2011"
"Pigeon Point",0,0.2,"03-15-2012"
"Pigeon Point",1.14,0.07,"05-12-2012"
"Pigeon Point",0,0.14,"04-04-2013"
"Pigeon Point",1.92,0.25,"02-25-2014"
"Pigeon Point",0,0.38,"05-21-2014"
"Pigeon Point",0.83,0.33,"06-02-2014"
"Pigeon Point",5.2,0,"12-02-2014"
"Pigeon Point",1.61,0.22,"02-17-2015"
"Pigeon Point",4.43,0,"03-16-2015"
"Pigeon Point",7.5,0.08,"03-25-2015"
"Pigeon Point",2.85,0.23,"04-15-2015"
"Pigeon Point",12.3,0,"01-21-2016"
"Pigeon Point",5.19,0.16,"03-16-2016"
"Pigeon Point",5.1,0.34,"04-11-2016"
"Pigeon Point",0.95,0.1,"05-25-2016"
"Pigeon Point",1.95,0.62,"05-26-2016"
"Pigeon Point",NA,3.5,"11-14-2016"
"Pigeon Point",NA,2.14,"05-01-2017"
"Pigeon Point",NA,0.36,"05-30-2017"
"Pigeon Point",NA,3.78,"05-31-2017"
"Pigeon Point",NA,1.12,"01-29-2018"
"Pigeon Point",NA,0.53,"04-20-2018"
"Pigeon Point",NA,0.75,"05-21-2018"
"Pigeon Point",NA,0.13,"05-22-2018"
"Pigeon Point",NA,0.63,"03-01-2019"
"Pigeon Point",NA,0.17,"05-24-2019"
"Pigeon Point",NA,0,"06-25-2020"
"Pigeon Point",NA,0,"11-12-2023"
