"Site","Purple_Count","Purple_per_10m","Purple_relative_population","Orange_Count","Orange_per_10m","Orange_relative_population","Date","Period"
"Pillar Point",48,3.66,1.15,9,0.69,0.7,"12-09-2008","Pre-SSWD"
"Pillar Point",19,1.45,0.46,7,0.53,0.54,"05-26-2009","Pre-SSWD"
"Pillar Point",66,5.04,1.59,21,1.6,1.62,"01-27-2010","Pre-SSWD"
"Pillar Point",37,2.82,0.89,10,0.76,0.77,"05-20-2010","Pre-SSWD"
"Pillar Point",49,3.74,1.18,7,0.53,0.54,"08-11-2010","Pre-SSWD"
"Pillar Point",65,4.96,1.56,17,1.3,1.32,"11-04-2010","Pre-SSWD"
"Pillar Point",46,3.51,1.11,14,1.07,1.08,"12-04-2010","Pre-SSWD"
"Pillar Point",57,4.35,1.37,14,1.07,1.08,"12-04-2010","Pre-SSWD"
"Pillar Point",51,3.89,1.23,20,1.53,1.55,"01-15-2011","Pre-SSWD"
"Pillar Point",68,5.19,1.64,17,1.3,1.32,"01-28-2011","Pre-SSWD"
"Pillar Point",25,1.91,0.6,9,0.69,0.7,"05-23-2011","Pre-SSWD"
"Pillar Point",16,1.22,0.38,3,0.23,0.23,"06-08-2011","Pre-SSWD"
"Pillar Point",38,2.9,0.91,8,0.61,0.62,"08-30-2011","Pre-SSWD"
"Pillar Point",50,3.82,1.2,10,0.76,0.77,"10-26-2011","Pre-SSWD"
"Pillar Point",46,3.51,1.11,11,0.84,0.85,"11-09-2011","Pre-SSWD"
"Pillar Point",67,5.11,1.61,22,1.68,1.7,"01-19-2012","Pre-SSWD"
"Pillar Point",20,1.53,0.48,9,0.69,0.7,"02-16-2012","Pre-SSWD"
"Pillar Point",25,1.91,0.6,10,0.76,0.77,"05-11-2012","Pre-SSWD"
"Pillar Point",16,1.22,0.38,7,0.53,0.54,"05-11-2012","Pre-SSWD"
"Pillar Point",15,1.15,0.36,6,0.46,0.47,"05-11-2012","Pre-SSWD"
"Pillar Point",30,2.29,0.72,4,0.31,0.31,"10-15-2012","Pre-SSWD"
"Pillar Point",53,4.05,1.28,19,1.45,1.47,"12-10-2012","Pre-SSWD"
"Pillar Point",30,2.29,0.72,15,1.15,1.17,"12-10-2012","Pre-SSWD"
"Pillar Point",48,3.66,1.15,36,2.75,2.79,"12-11-2012","Pre-SSWD"
"Pillar Point",57,4.35,1.37,23,1.76,1.78,"12-11-2012","Pre-SSWD"
"Pillar Point",39,2.98,0.94,8,0.61,0.62,"04-01-2013","Pre-SSWD"
"Pillar Point",3,0.23,0.07,0,0,0,"10-17-2013","Post-SSWD"
"Pillar Point",2,0.15,0.05,2,0.15,0.15,"11-02-2013","Post-SSWD"
"Pillar Point",5,0.38,0.12,0,0,0,"02-27-2014","Post-SSWD"
"Pillar Point",5,0.38,0.12,0,0,0,"02-27-2014","Post-SSWD"
"Pillar Point",6,0.46,0.14,2,0.15,0.15,"07-13-2014","Post-SSWD"
"Pillar Point",2,0.15,0.05,1,0.08,0.08,"03-17-2015","Post-SSWD"
"Pillar Point",4,0.31,0.1,0,0,0,"04-23-2015","Post-SSWD"
"Pillar Point",2,0.15,0.05,1,0.08,0.08,"05-08-2015","Post-SSWD"
"Pillar Point",2,0.15,0.05,1,0.08,0.08,"05-08-2015","Post-SSWD"
"Pillar Point",11,0.84,0.26,2,0.15,0.15,"05-11-2016","Post-SSWD"
"Pillar Point",10,0.76,0.24,2,0.15,0.15,"04-19-2018","Post-SSWD"
"Pillar Point",20,1.53,0.48,2,0.15,0.15,"04-23-2018","Post-SSWD"
"Pillar Point",15,1.15,0.36,6,0.46,0.47,"05-17-2018","Post-SSWD"
"Pillar Point",10,0.76,0.24,3,0.23,0.23,"05-18-2018","Post-SSWD"
"Pillar Point",5,0.38,0.12,0,0,0,"03-16-2019","Post-SSWD"
"Pillar Point",17,1.3,0.41,3,0.23,0.23,"03-16-2019","Post-SSWD"
"Pillar Point",14,1.07,0.34,4,0.31,0.31,"04-14-2019","Post-SSWD"
"Pillar Point",3,0.23,0.07,1,0.08,0.08,"05-10-2019","Post-SSWD"
"Pillar Point",25,1.91,0.6,12,0.92,0.93,"10-30-2019","Post-SSWD"
"Pillar Point",22,1.68,0.53,3,0.23,0.23,"02-06-2020","Post-SSWD"
"Pillar Point",32,2.44,0.77,12,0.92,0.93,"03-05-2020","Post-SSWD"
"Pillar Point",10,0.76,0.24,4,0.31,0.31,"08-20-2020","Post-SSWD"
"Pillar Point",8,0.61,0.19,3,0.23,0.23,"10-17-2020","Post-SSWD"
"Pillar Point",20,1.53,0.48,4,0.31,0.31,"02-09-2021","Post-SSWD"
"Pillar Point",7,0.53,0.17,4,0.31,0.31,"04-07-2021","Post-SSWD"
"Pillar Point",14,1.07,0.34,9,0.69,0.7,"07-26-2021","Post-SSWD"
"Pillar Point",3,0.23,0.07,5,0.38,0.39,"07-26-2021","Post-SSWD"
"Pillar Point",47,3.59,1.13,7,0.53,0.54,"11-17-2021","Post-SSWD"
"Pillar Point",32,2.44,0.77,6,0.46,0.47,"11-21-2022","Post-SSWD"
"Pillar Point",13,0.99,0.31,4,0.31,0.31,"03-16-2023","Post-SSWD"
"Pillar Point",24,1.83,0.58,10,0.76,0.77,"03-27-2023","Post-SSWD"
"Pillar Point",33,2.52,0.79,15,1.15,1.17,"12-12-2023","Post-SSWD"
