"Site","Acorn_Barnacle_Abundance","Mussel_Abundance","Date"
"Pillar Point",20.43,18.57,"08-11-2010"
"Pillar Point",24.13,22.88,"08-13-2010"
"Pillar Point",13.88,17.39,"11-04-2010"
"Pillar Point",21.25,22,"01-15-2011"
"Pillar Point",17,13.75,"01-28-2011"
"Pillar Point",24,22.31,"01-28-2011"
"Pillar Point",21.06,18.29,"05-23-2011"
"Pillar Point",13.83,15.83,"10-26-2011"
"Pillar Point",18,19.67,"11-09-2011"
"Pillar Point",18.17,18.17,"01-19-2012"
"Pillar Point",9.13,9.25,"10-15-2012"
"Pillar Point",5.8,6.4,"12-10-2012"
"Pillar Point",10.14,18.29,"12-11-2012"
"Pillar Point",12,22.5,"12-12-2012"
"Pillar Point",11.88,16.38,"04-03-2013"
"Pillar Point",15.31,19.06,"11-04-2013"
"Pillar Point",5,8.5,"12-03-2013"
"Pillar Point",15.2,20.5,"11-04-2014"
"Pillar Point",14.56,18.33,"03-17-2015"
"Pillar Point",14.3,15.6,"04-23-2015"
"Pillar Point",22.27,23,"02-05-2016"
"Pillar Point",21.69,21.46,"05-11-2016"
"Pillar Point",NA,9.2,"11-28-2016"
"Pillar Point",NA,15.5,"04-28-2017"
"Pillar Point",NA,19.2,"04-19-2018"
"Pillar Point",NA,18,"05-18-2018"
"Pillar Point",NA,25,"03-16-2019"
"Pillar Point",NA,20.91,"05-10-2019"
"Pillar Point",NA,20.5,"02-06-2020"
"Pillar Point",NA,24,"04-07-2021"
"Pillar Point",NA,15.13,"03-23-2022"
"Pillar Point",NA,22.65,"03-24-2022"
"Pillar Point",NA,5.58,"02-03-2023"
"Pillar Point",NA,18.69,"03-15-2023"
"Pillar Point",NA,25,"03-27-2023"
"Pillar Point",NA,18.76,"04-01-2024"
"Pillar Point",NA,20.67,"04-02-2024"
