"Site","Purple_Count","Purple_per_10m","Purple_relative_population","Orange_Count","Orange_per_10m","Orange_relative_population","Date","Period"
"Point Pinos",25,2.27,3.69,7,0.64,0.95,"02-17-2007","Pre-SSWD"
"Point Pinos",22,2,3.25,14,1.27,1.88,"02-26-2007","Pre-SSWD"
"Point Pinos",5,0.45,0.73,5,0.45,0.67,"04-24-2011","Pre-SSWD"
"Point Pinos",5,0.45,0.73,6,0.55,0.82,"04-24-2011","Pre-SSWD"
"Point Pinos",2,0.18,0.29,2,0.18,0.27,"04-24-2011","Pre-SSWD"
"Point Pinos",8,0.73,1.19,4,0.36,0.53,"05-10-2011","Pre-SSWD"
"Point Pinos",15,1.36,2.21,13,1.18,1.75,"05-11-2011","Pre-SSWD"
"Point Pinos",1,0.09,0.15,2,0.18,0.27,"01-21-2012","Pre-SSWD"
"Point Pinos",1,0.09,0.15,2,0.18,0.27,"03-07-2012","Pre-SSWD"
"Point Pinos",2,0.18,0.29,15,1.36,2.02,"03-07-2012","Pre-SSWD"
"Point Pinos",1,0.09,0.15,4,0.36,0.53,"03-09-2012","Pre-SSWD"
"Point Pinos",2,0.18,0.29,8,0.73,1.08,"04-11-2012","Pre-SSWD"
"Point Pinos",3,0.27,0.44,19,1.73,2.57,"05-10-2012","Pre-SSWD"
"Point Pinos",3,0.27,0.44,3,0.27,0.4,"02-09-2013","Pre-SSWD"
"Point Pinos",2,0.18,0.29,1,0.09,0.13,"11-02-2013","Post-SSWD"
"Point Pinos",0,0,0,0,0,0,"01-11-2014","Post-SSWD"
"Point Pinos",0,0,0,0,0,0,"05-19-2014","Post-SSWD"
"Point Pinos",0,0,0,0,0,0,"07-16-2014","Post-SSWD"
"Point Pinos",0,0,0,0,0,0,"03-29-2015","Post-SSWD"
"Point Pinos",1,0.09,0.15,1,0.09,0.13,"03-25-2018","Post-SSWD"
"Point Pinos",1,0.09,0.15,0,0,0,"01-20-2020","Post-SSWD"
"Point Pinos",1,0.09,0.15,0,0,0,"03-10-2020","Post-SSWD"
"Point Pinos",5,0.45,0.73,0,0,0,"08-05-2020","Post-SSWD"
"Point Pinos",5,0.45,0.73,0,0,0,"11-16-2020","Post-SSWD"
"Point Pinos",6,0.55,0.89,1,0.09,0.13,"02-10-2021","Post-SSWD"
