"Site","Purple_Count","Purple_per_10m","Purple_relative_population","Orange_Count","Orange_per_10m","Orange_relative_population","Date","Period"
"San Simeon",8,1.4,0.89,4,0.7,1.33,"02-28-2003","Pre-SSWD"
"San Simeon",10,1.75,1.11,2,0.35,0.67,"02-25-2013","Pre-SSWD"
"San Simeon",4,0.7,0.44,1,0.18,0.34,"12-02-2013","Post-SSWD"
"San Simeon",1,0.18,0.11,1,0.18,0.34,"12-14-2013","Post-SSWD"
"San Simeon",0,0,0,0,0,0,"03-24-2014","Post-SSWD"
"San Simeon",0,0,0,0,0,0,"07-15-2014","Post-SSWD"
"San Simeon",0,0,0,0,0,0,"11-22-2014","Post-SSWD"
"San Simeon",0,0,0,0,0,0,"12-04-2014","Post-SSWD"
"San Simeon",0,0,0,0,0,0,"02-18-2015","Post-SSWD"
"San Simeon",0,0,0,0,0,0,"08-04-2015","Post-SSWD"
"San Simeon",0,0,0,0,0,0,"10-26-2015","Post-SSWD"
"San Simeon",0,0,0,0,0,0,"04-28-2016","Post-SSWD"
"San Simeon",0,0,0,0,0,0,"07-22-2016","Post-SSWD"
"San Simeon",2,0.35,0.22,0,0,0,"06-28-2017","Post-SSWD"
"San Simeon",2,0.35,0.22,1,0.18,0.34,"11-04-2017","Post-SSWD"
"San Simeon",2,0.35,0.22,1,0.18,0.34,"12-18-2017","Post-SSWD"
"San Simeon",0,0,0,0,0,0,"03-27-2018","Post-SSWD"
"San Simeon",0,0,0,0,0,0,"08-15-2018","Post-SSWD"
"San Simeon",0,0,0,0,0,0,"04-24-2019","Post-SSWD"
"San Simeon",0,0,0,0,0,0,"07-08-2019","Post-SSWD"
