"Site","Acorn_Barnacle_Abundance","Mussel_Abundance","Date"
"San Simeon",13.6,1.2,2012-03-17
"San Simeon",22.75,6.75,2013-02-25
"San Simeon",5.33,1.33,2013-12-02
"San Simeon",6.36,1.68,2013-12-14
"San Simeon",5,2.83,2014-03-24
"San Simeon",6.82,3.18,2014-07-15
"San Simeon",6.42,3.33,2014-11-22
"San Simeon",4,4.42,2014-12-04
"San Simeon",6.92,3.83,2015-02-18
"San Simeon",3.92,4.5,2015-08-04
"San Simeon",5.27,6.64,2015-10-26
"San Simeon",NA,5.5,2016-04-28
"San Simeon",NA,3.92,2016-07-22
"San Simeon",NA,7.12,2016-11-12
"San Simeon",NA,11,2017-03-26
"San Simeon",NA,9.67,2017-06-28
"San Simeon",NA,10.27,2017-11-04
"San Simeon",NA,9.92,2017-12-18
"San Simeon",NA,10.42,2018-03-27
"San Simeon",NA,8.75,2018-08-15
"San Simeon",NA,12.65,2018-10-23
"San Simeon",NA,10.5,2019-04-24
"San Simeon",NA,11.92,2019-07-08
"San Simeon",NA,11.92,2019-09-29
