"Year","Site","Purple_Count","Purple_per_10m","Purple_relative_population","Orange_Count","Orange_per_10m","Orange_relative_population","Mussel_Abundance","Acorn_Barnacle_Abundance","Period"
2012,"Asilomar State Park",2,0.17,1,2,0.17,1,5.78,2,"Pre-SSWD"
2013,"Asilomar State Park",2.2,0.18,1.07,1,0.08,0.49,6.63,9.46,"Post-SSWD"
2014,"Asilomar State Park",0.38,0.03,0.18,0,0,0,8.68,NA,"Post-SSWD"
2015,"Asilomar State Park",0.5,0.04,0.23,0,0,0,5.63,NA,"Post-SSWD"
2016,"Asilomar State Park",NA,NA,NA,NA,NA,NA,8.82,NA,"Post-SSWD"
2017,"Asilomar State Park",2,0.17,1,0,0,0,9.29,NA,"Post-SSWD"
2018,"Asilomar State Park",2,0.17,1,0,0,0,10.13,NA,"Post-SSWD"
2019,"Asilomar State Park",5.25,0.44,2.6,1.75,0.15,0.87,11.31,NA,"Post-SSWD"
2020,"Asilomar State Park",7,0.59,3.47,0,0,0,NA,NA,"Post-SSWD"
2021,"Asilomar State Park",5.33,0.45,2.63,0.33,0.03,0.16,10.85,NA,"Post-SSWD"
