"Year","Site","Purple_Count","Purple_per_10m","Purple_relative_population","Orange_Count","Orange_per_10m","Orange_relative_population","Mussel_Abundance","Acorn_Barnacle_Abundance","Period"
2011,"Carmel Point",3,0.46,1,7,1.08,1,6.83,4.03,"Pre-SSWD"
2012,"Carmel Point",NA,NA,NA,NA,NA,NA,NA,NA,"Pre-SSWD"
2013,"Carmel Point",1.25,0.19,0.41,0.5,0.08,0.07,5.42,7.32,"Post-SSWD"
2014,"Carmel Point",NA,NA,NA,NA,NA,NA,9.04,9.43,"Post-SSWD"
2015,"Carmel Point",NA,NA,NA,NA,NA,NA,8.31,NA,"Post-SSWD"
2016,"Carmel Point",NA,NA,NA,NA,NA,NA,11.4,NA,"Post-SSWD"
2017,"Carmel Point",0,0,0,0,0,0,11.8,NA,"Post-SSWD"
2018,"Carmel Point",NA,NA,NA,NA,NA,NA,NA,NA,"Post-SSWD"
2019,"Carmel Point",0.5,0.07,0.16,0.5,0.08,0.07,NA,NA,"Post-SSWD"
2020,"Carmel Point",0.5,0.07,0.16,0,0,0,NA,NA,"Post-SSWD"
