"Year","Site","Purple_Count","Purple_per_10m","Purple_relative_population","Orange_Count","Orange_per_10m","Orange_relative_population","Mussel_Abundance","Acorn_Barnacle_Abundance","Period"
2008,"Davenport Landing",29,2.9,1.6,11,1.1,1.81,13.5,4.31,"Pre-SSWD"
2009,"Davenport Landing",20.33,2.03,1.12,7.67,0.77,1.26,4.95,9.1,"Pre-SSWD"
2010,"Davenport Landing",21,2.1,1.16,8.5,0.85,1.4,NA,NA,"Pre-SSWD"
2011,"Davenport Landing",15,1.5,0.83,2,0.2,0.33,6.44,9.8,"Pre-SSWD"
2012,"Davenport Landing",9.33,0.93,0.52,1,0.1,0.16,11.29,12.12,"Pre-SSWD"
2013,"Davenport Landing",0,0,0,0,0,0,4.86,12.1,"Post-SSWD"
2014,"Davenport Landing",0,0,0,0,0,0,9,12,"Post-SSWD"
2015,"Davenport Landing",7,0.7,0.38,0,0,0,17.34,NA,"Post-SSWD"
2016,"Davenport Landing",22,2.2,1.21,6,0.6,0.98,22.39,NA,"Post-SSWD"
2017,"Davenport Landing",22,2.2,1.22,8,0.8,1.32,22.65,NA,"Post-SSWD"
2018,"Davenport Landing",24,2.4,1.32,7,0.7,1.15,22.28,NA,"Post-SSWD"
2019,"Davenport Landing",42.33,4.23,2.34,14.67,1.47,2.41,NA,NA,"Post-SSWD"
2020,"Davenport Landing",54,5.4,2.99,13,1.3,2.14,NA,NA,"Post-SSWD"
2021,"Davenport Landing",19,1.9,1.05,5,0.5,0.82,NA,NA,"Post-SSWD"
2022,"Davenport Landing",17,1.7,0.94,4,0.4,0.66,NA,NA,"Post-SSWD"
