"Year","Site","Purple_Count","Purple_per_10m","Purple_relative_population","Orange_Count","Orange_per_10m","Orange_relative_population","Mussel_Abundance","Acorn_Barnacle_Abundance","Period"
2006,"Fitzgerald Marine Reserve",2.92,0.19,0.91,1,0.07,1.18,2.15,10.22,"Pre-SSWD"
2007,"Fitzgerald Marine Reserve",4.92,0.33,1.53,0.67,0.05,0.81,1.78,7.77,"Pre-SSWD"
2008,"Fitzgerald Marine Reserve",5.83,0.39,1.82,1.17,0.08,1.4,0.58,2.59,"Pre-SSWD"
2009,"Fitzgerald Marine Reserve",2.39,0.16,0.75,0.83,0.06,0.97,0.58,3.52,"Pre-SSWD"
2010,"Fitzgerald Marine Reserve",2.86,0.19,0.89,1.14,0.08,1.33,0.98,5.37,"Pre-SSWD"
2011,"Fitzgerald Marine Reserve",1.71,0.11,0.53,0,0,0,1.36,3.14,"Pre-SSWD"
2012,"Fitzgerald Marine Reserve",1,0.07,0.33,1,0.07,1.22,0.8,4.48,"Pre-SSWD"
2013,"Fitzgerald Marine Reserve",0,0,0,0,0,0,0.84,4.53,"Post-SSWD"
2014,"Fitzgerald Marine Reserve",0,0,0,0,0,0,1.32,6.92,"Post-SSWD"
2015,"Fitzgerald Marine Reserve",5,0.33,1.54,0,0,0,0.43,1.3,"Post-SSWD"
2016,"Fitzgerald Marine Reserve",NA,NA,NA,NA,NA,NA,2.26,NA,"Post-SSWD"
2017,"Fitzgerald Marine Reserve",NA,NA,NA,NA,NA,NA,0.94,NA,"Post-SSWD"
2018,"Fitzgerald Marine Reserve",NA,NA,NA,NA,NA,NA,0.97,NA,"Post-SSWD"
2019,"Fitzgerald Marine Reserve",NA,NA,NA,NA,NA,NA,NA,NA,"Post-SSWD"
2020,"Fitzgerald Marine Reserve",5,0.33,1.54,0,0,0,0.12,NA,"Post-SSWD"
2021,"Fitzgerald Marine Reserve",1,0.07,0.33,0,0,0,2.72,NA,"Post-SSWD"
2022,"Fitzgerald Marine Reserve",1,0.09,0.4,0,0,0,6.2,NA,"Post-SSWD"
2023,"Fitzgerald Marine Reserve",4.5,0.45,2.1,1,0.1,1.75,1.41,NA,"Post-SSWD"
