"Year","Site","Purple_Count","Purple_per_10m","Purple_relative_population","Orange_Count","Orange_per_10m","Orange_relative_population","Mussel_Abundance","Acorn_Barnacle_Abundance","Period"
2006,"Natural Bridges",40.5,0.75,0.54,14,0.26,0.52,NA,NA,"Pre-SSWD"
2007,"Natural Bridges",NA,NA,NA,NA,NA,NA,NA,NA,"Pre-SSWD"
2008,"Natural Bridges",51.6,0.96,0.68,25.6,0.47,0.96,NA,NA,"Pre-SSWD"
2009,"Natural Bridges",172,3.18,2.29,50.75,0.94,1.92,13.63,14.17,"Pre-SSWD"
2010,"Natural Bridges",40,0.74,0.53,14,0.26,0.52,20.5,13.33,"Pre-SSWD"
2011,"Natural Bridges",51.5,0.96,0.69,28.5,0.53,1.08,10.5,24.5,"Pre-SSWD"
2012,"Natural Bridges",100,1.85,1.33,19,0.35,0.71,15.27,14.2,"Pre-SSWD"
2013,"Natural Bridges",8.5,0.16,0.11,2.5,0.05,0.1,15.14,8.28,"Post-SSWD"
2014,"Natural Bridges",9.33,0.17,0.12,4.5,0.08,0.17,12.48,12.64,"Post-SSWD"
2015,"Natural Bridges",6,0.11,0.08,3.4,0.06,0.13,12.89,NA,"Post-SSWD"
2016,"Natural Bridges",24.67,0.46,0.33,7.33,0.14,0.28,14.5,NA,"Post-SSWD"
2017,"Natural Bridges",7,0.13,0.1,4.75,0.09,0.17,12.47,NA,"Post-SSWD"
2018,"Natural Bridges",NA,NA,NA,NA,NA,NA,10.5,NA,"Post-SSWD"
2019,"Natural Bridges",34.67,0.64,0.46,15.33,0.28,0.57,NA,NA,"Post-SSWD"
2020,"Natural Bridges",28,0.52,0.37,10,0.19,0.39,NA,NA,"Post-SSWD"
2021,"Natural Bridges",19,0.35,0.25,1,0.02,0.04,NA,NA,"Post-SSWD"
