"Year","Site","Purple_Count","Purple_per_10m","Purple_relative_population","Orange_Count","Orange_per_10m","Orange_relative_population","Mussel_Abundance","Acorn_Barnacle_Abundance","Period"
2004,"Pigeon Point",5,0.3,0.19,0,0,0,NA,NA,"Pre-SSWD"
2005,"Pigeon Point",NA,NA,NA,NA,NA,NA,0,1.56,"Pre-SSWD"
2006,"Pigeon Point",43.75,2.64,1.64,8.5,0.51,1.46,0.14,6.32,"Pre-SSWD"
2007,"Pigeon Point",30.33,1.83,1.14,9.33,0.56,1.6,0.51,11.12,"Pre-SSWD"
2008,"Pigeon Point",27,1.63,1.02,5.5,0.33,0.94,0.03,2.84,"Pre-SSWD"
2009,"Pigeon Point",25.75,1.55,0.96,4.75,0.29,0.81,0.06,5.84,"Pre-SSWD"
2010,"Pigeon Point",18.25,1.1,0.69,4.25,0.26,0.72,0.29,4.02,"Pre-SSWD"
2011,"Pigeon Point",16,0.96,0.6,4,0.24,0.68,0.14,0.57,"Pre-SSWD"
2012,"Pigeon Point",NA,NA,NA,NA,NA,NA,0.14,0,"Pre-SSWD"
2013,"Pigeon Point",0,0,0,0,0,0,0.32,0.92,"Post-SSWD"
2014,"Pigeon Point",1.67,0.1,0.06,1.33,0.08,0.23,0.11,4.32,"Post-SSWD"
2015,"Pigeon Point",2,0.12,0.07,1,0.06,0.17,0.24,5.1,"Post-SSWD"
2016,"Pigeon Point",11,0.66,0.41,2,0.12,0.34,2.44,NA,"Post-SSWD"
2017,"Pigeon Point",20,1.2,0.75,5,0.3,0.85,0.63,NA,"Post-SSWD"
2018,"Pigeon Point",11,0.66,0.41,12,0.72,2.05,0.4,NA,"Post-SSWD"
2019,"Pigeon Point",31.75,1.91,1.19,12.5,0.75,2.14,0,NA,"Post-SSWD"
2020,"Pigeon Point",28.75,1.73,1.08,9.5,0.57,1.62,NA,NA,"Post-SSWD"
2021,"Pigeon Point",41,2.47,1.54,15,0.9,2.56,NA,NA,"Post-SSWD"
2022,"Pigeon Point",35,2.11,1.31,16,0.96,2.74,NA,NA,"Post-SSWD"
