"Year","Site","Purple_Count","Purple_per_10m","Purple_relative_population","Orange_Count","Orange_per_10m","Orange_relative_population","Mussel_Abundance","Acorn_Barnacle_Abundance","Period"
2008,"Pillar Point",33.5,2.56,0.8,8,0.61,0.62,NA,NA,"Pre-SSWD"
2009,"Pillar Point",50.67,3.87,1.22,12.67,0.96,0.98,20.73,22.28,"Pre-SSWD"
2010,"Pillar Point",45.75,3.49,1.1,12.75,0.98,0.99,18.75,19.44,"Pre-SSWD"
2011,"Pillar Point",34.14,2.61,0.82,10.71,0.82,0.83,17.89,16.67,"Pre-SSWD"
2012,"Pillar Point",42.83,3.27,1.03,17.5,1.34,1.36,14.56,9.79,"Pre-SSWD"
2013,"Pillar Point",4.2,0.32,0.1,0.8,0.06,0.06,13.78,10.16,"Post-SSWD"
2014,"Pillar Point",2.5,0.19,0.06,0.75,0.06,0.06,18.14,14.69,"Post-SSWD"
2015,"Pillar Point",11,0.84,0.26,2,0.15,0.15,22.23,21.98,"Post-SSWD"
2016,"Pillar Point",NA,NA,NA,NA,NA,NA,12.35,NA,"Post-SSWD"
2017,"Pillar Point",13.75,1.05,0.33,3.25,0.25,0.25,18.6,NA,"Post-SSWD"
2018,"Pillar Point",9.75,0.74,0.23,2,0.16,0.16,22.95,NA,"Post-SSWD"
2019,"Pillar Point",22.25,1.7,0.54,7.75,0.6,0.6,20.5,NA,"Post-SSWD"
2020,"Pillar Point",10.4,0.79,0.25,5,0.38,0.39,24,NA,"Post-SSWD"
2021,"Pillar Point",47,3.59,1.13,7,0.53,0.54,18.89,NA,"Post-SSWD"
2022,"Pillar Point",23,1.75,0.55,6.67,0.51,0.52,16.42,NA,"Post-SSWD"
2023,"Pillar Point",33,2.52,0.79,15,1.15,1.17,19.72,NA,"Post-SSWD"
