"Year","Site","Purple_Count","Purple_per_10m","Purple_relative_population","Orange_Count","Orange_per_10m","Orange_relative_population","Mussel_Abundance","Acorn_Barnacle_Abundance","Period"
2006,"Point Pinos",23.5,2.13,3.47,10.5,0.96,1.42,NA,NA,"Pre-SSWD"
2007,"Point Pinos",NA,NA,NA,NA,NA,NA,NA,NA,"Pre-SSWD"
2008,"Point Pinos",NA,NA,NA,NA,NA,NA,NA,NA,"Pre-SSWD"
2009,"Point Pinos",NA,NA,NA,NA,NA,NA,NA,NA,"Pre-SSWD"
2010,"Point Pinos",7,0.63,1.03,6,0.54,0.81,14.6,6.59,"Pre-SSWD"
2011,"Point Pinos",1.67,0.15,0.24,8.33,0.76,1.12,13.24,9.66,"Pre-SSWD"
2012,"Point Pinos",3,0.27,0.44,3,0.27,0.4,13.61,8.08,"Pre-SSWD"
2013,"Point Pinos",0.5,0.04,0.07,0.25,0.02,0.03,13.01,7.54,"Post-SSWD"
2014,"Point Pinos",0,0,0,0,0,0,13.62,NA,"Post-SSWD"
2015,"Point Pinos",NA,NA,NA,NA,NA,NA,15.41,NA,"Post-SSWD"
2016,"Point Pinos",NA,NA,NA,NA,NA,NA,16.46,NA,"Post-SSWD"
2017,"Point Pinos",1,0.09,0.15,1,0.09,0.13,15.16,NA,"Post-SSWD"
2018,"Point Pinos",NA,NA,NA,NA,NA,NA,16.61,NA,"Post-SSWD"
2019,"Point Pinos",2.33,0.21,0.34,0,0,0,15,NA,"Post-SSWD"
2020,"Point Pinos",5.5,0.5,0.81,0.5,0.04,0.06,NA,NA,"Post-SSWD"
