"Year","Site","Purple_Count","Purple_per_10m","Purple_relative_population","Orange_Count","Orange_per_10m","Orange_relative_population","Mussel_Abundance","Acorn_Barnacle_Abundance","Period"
2002,"San Simeon",8,1.4,0.89,4,0.7,1.33,NA,NA,"Pre-SSWD"
2003,"San Simeon",NA,NA,NA,NA,NA,NA,NA,NA,"Pre-SSWD"
2004,"San Simeon",NA,NA,NA,NA,NA,NA,NA,NA,"Pre-SSWD"
2005,"San Simeon",NA,NA,NA,NA,NA,NA,NA,NA,"Pre-SSWD"
2006,"San Simeon",NA,NA,NA,NA,NA,NA,NA,NA,"Pre-SSWD"
2007,"San Simeon",NA,NA,NA,NA,NA,NA,NA,NA,"Pre-SSWD"
2008,"San Simeon",NA,NA,NA,NA,NA,NA,NA,NA,"Pre-SSWD"
2009,"San Simeon",NA,NA,NA,NA,NA,NA,NA,NA,"Pre-SSWD"
2010,"San Simeon",NA,NA,NA,NA,NA,NA,NA,NA,"Pre-SSWD"
2011,"San Simeon",NA,NA,NA,NA,NA,NA,1.2,13.6,"Pre-SSWD"
2012,"San Simeon",10,1.75,1.11,2,0.35,0.67,6.75,22.75,"Pre-SSWD"
2013,"San Simeon",1.25,0.22,0.14,0.5,0.09,0.17,2.26,5.88,"Post-SSWD"
2014,"San Simeon",0,0,0,0,0,0,4.02,5.31,"Post-SSWD"
2015,"San Simeon",0,0,0,0,0,0,5.35,NA,"Post-SSWD"
2016,"San Simeon",2,0.35,0.22,0,0,0,9.26,NA,"Post-SSWD"
2017,"San Simeon",1,0.17,0.11,0.5,0.09,0.17,9.84,NA,"Post-SSWD"
2018,"San Simeon",0,0,0,0,0,0,11.69,NA,"Post-SSWD"
