Date,EventID,Site,School,Zone,Organism,Unit,"Count Mean","Sample Size","Standard Deviation","Standard Error","95% Confidence Interval","Collected Samples","Checked By"
04-16-1975,04-16-1975,"Almar Avenue","michelle sarah and habib doing old data entry"," --- ","Common acorn barnacle - Balanus/Chthamalus","Squares per ¼ m² (max 25)",17,26,5.78,1.13,"[14.78,19.22]","{25,10,17,10,14,18,19,19,16,19,25,23,16,13,14,12,25,25,5,7,11,21,16,23,25,14}",None
10-10-1976,10-10-1976,"Almar Avenue","michelle sarah and habib doing old data entry"," --- ","Common acorn barnacle - Balanus/Chthamalus","Squares per ¼ m² (max 25)",10.62,21,5.64,1.23,"[8.21,13.03]","{9,5,3,14,9,15,5,11,10,9,10,6,25,3,9,6,21,13,8,13,19}",None
11-01-1978,11-01-1978,"Almar Avenue","michelle sarah and habib doing old data entry"," --- ","Common acorn barnacle - Balanus/Chthamalus","Squares per ¼ m² (max 25)",17.45,20,6.34,1.42,"[14.67,20.23]","{21,22,23,25,0,13,23,22,11,13,24,21,13,11,12,21,23,23,15,13}",None
04-30-1983,04-30-1983,"Almar Avenue","michelle sarah and habib doing old data entry"," --- ","Common acorn barnacle - Balanus/Chthamalus","Squares per ¼ m² (max 25)",17.86,29,7.33,1.36,"[15.19,20.53]","{21,20,21,4,6,13,17,2,24,25,25,22,0,25,13,19,24,22,23,20,14,21,23,19,19,24,24,6,22}",None
05-12-1986,05-12-1986,"Almar Avenue","CSU Stanislas"," --- ","Common acorn barnacle - Balanus/Chthamalus","Squares per ¼ m² (max 25)",20,26,7.69,1.51,"[17.05,22.95]","{25,7,24,25,22,22,20,0,25,13,24,7,25,25,25,17,22,25,25,24,25,22,21,25,25,0}",None
05-10-1990,05-10-1990,"Almar Avenue",UCSC," --- ","Common acorn barnacle - Balanus/Chthamalus","Squares per ¼ m² (max 25)",19,1,0,0,"[19,19]",{19},None
05-20-1996,05-20-1996,"Almar Avenue","IMA admin."," --- ","Common acorn barnacle - Balanus/Chthamalus","Squares per ¼ m² (max 25)",22.7,10,2.97,0.94,"[20.86,24.54]","{21,19,25,25,25,25,25,23,23,16}",None
05-20-1996,05-20-1996,"Almar Avenue","CSU Stanislas"," --- ","Common acorn barnacle - Balanus/Chthamalus","Squares per ¼ m² (max 25)",22.79,14,2.93,0.78,"[21.25,24.32]","{24,23,24,22,22,25,23,23,25,14,19,25,25,25}",None
12-18-2005,12-18-2005,"Almar Avenue","michelle sarah and habib doing old data entry"," --- ","Common acorn barnacle - Balanus/Chthamalus","Squares per ¼ m² (max 25)",5,1,0,0,"[5,5]",{5},None
03-29-2006,03-29-2006,"Almar Avenue","CSU Stanislas"," --- ","Common acorn barnacle - Balanus/Chthamalus","Squares per ¼ m² (max 25)",15.5,2,9.5,6.72,"[2.33,28.67]","{6,25}",None
