Date,EventID,Site,School,Zone,Organism,Unit,"Count Mean","Sample Size","Standard Deviation","Standard Error","95% Confidence Interval","Collected Samples","Checked By"
04-16-1975,04-16-1975,"Almar Avenue","michelle sarah and habib doing old data entry"," --- ","Turban snails - Tegula brunnea/funebralis","Individuals per ¼ m²",3.54,26,5.51,1.08,"[1.42,5.66]","{3,7,4,8,0,0,10,1,0,0,0,25,0,0,9,4,8,1,0,0,0,0,0,3,9,0}",None
10-10-1976,10-10-1976,"Almar Avenue","michelle sarah and habib doing old data entry"," --- ","Turban snails - Tegula brunnea/funebralis","Individuals per ¼ m²",6.41,22,8.41,1.79,"[2.9,9.92]","{0,0,15,0,5,0,26,3,0,6,0,32,1,2,10,7,15,1,6,4,4,4}",None
11-01-1978,11-01-1978,"Almar Avenue","michelle sarah and habib doing old data entry"," --- ","Turban snails - Tegula brunnea/funebralis","Individuals per ¼ m²",1.5,14,2.32,0.62,"[0.28,2.72]","{0,9,0,3,2,2,0,0,2,2,0,0,1,0}",None
04-30-1983,04-30-1983,"Almar Avenue","michelle sarah and habib doing old data entry"," --- ","Turban snails - Tegula brunnea/funebralis","Individuals per ¼ m²",3.29,28,3.99,0.75,"[1.81,4.76]","{3,0,4,4,13,2,5,8,3,0,0,0,8,1,14,10,0,0,0,0,0,1,5,0,3,0,6,2}",None
05-12-1986,05-12-1986,"Almar Avenue","CSU Stanislas"," --- ","Turban snails - Tegula brunnea/funebralis","Individuals per ¼ m²",1.12,26,1.99,0.39,"[0.35,1.88]","{2,0,7,0,1,0,0,0,7,0,2,0,1,1,4,0,0,0,0,0,0,0,0,1,3,0}",None
05-10-1990,05-10-1990,"Almar Avenue",UCSC," --- ","Turban snails - Tegula brunnea/funebralis","Individuals per ¼ m²",22,1,0,0,"[22,22]",{22},None
05-20-1996,05-20-1996,"Almar Avenue","IMA admin."," --- ","Turban snails - Tegula brunnea/funebralis","Individuals per ¼ m²",9.5,10,9.55,3.02,"[3.58,15.42]","{1,5,12,7,21,0,25,23,1,0}",None
05-20-1996,05-20-1996,"Almar Avenue","CSU Stanislas"," --- ","Turban snails - Tegula brunnea/funebralis","Individuals per ¼ m²",13,13,15.29,4.24,"[4.69,21.31]","{1,0,3,3,2,0,9,14,25,50,3,24,35}",None
12-18-2005,12-18-2005,"Almar Avenue","michelle sarah and habib doing old data entry"," --- ","Turban snails - Tegula brunnea/funebralis","Individuals per ¼ m²",1,1,0,0,"[1,1]",{1},None
03-29-2006,03-29-2006,"Almar Avenue","CSU Stanislas"," --- ","Turban snails - Tegula brunnea/funebralis","Individuals per ¼ m²",24,1,0,0,"[24,24]",{24},None
05-27-2009,05-27-2009,"Almar Avenue",UCSC," --- ","Turban snails - Tegula brunnea/funebralis","Individuals per ¼ m²",21.8,10,21.07,6.66,"[8.74,34.86]","{3,51,53,43,0,14,40,1,2,11}",None
11-01-2009,11-01-2009,"Almar Avenue","Pacific Collegiate School"," --- ","Turban snails - Tegula brunnea/funebralis","Individuals per ¼ m²",25.67,6,27.08,11.05,"[4,47.33]","{9,65,0,1,18,61}",None
11-02-2009,11-02-2009,"Almar Avenue","Pacific Collegiate School"," --- ","Turban snails - Tegula brunnea/funebralis","Individuals per ¼ m²",31.33,6,66.51,27.15,"[-21.89,84.55]","{0,3,0,180,5,0}",None
11-03-2009,11-03-2009,"Almar Avenue","Pacific Collegiate School"," --- ","Turban snails - Tegula brunnea/funebralis","Individuals per ¼ m²",6,3,2.83,1.63,"[2.8,9.2]","{2,8,8}",None
03-16-2011,03-16-2011,"Almar Avenue","Spring Hill School"," --- ","Turban snails - Tegula brunnea/funebralis","Individuals per ¼ m²",5.8,5,6.11,2.73,"[0.44,11.16]","{4,17,1,7,0}",None
10-25-2011,10-25-2011,"Almar Avenue","Pacific Collegiate School"," --- ","Turban snails - Tegula brunnea/funebralis","Individuals per ¼ m²",3.71,7,6.8,2.57,"[-1.32,8.75]","{0,0,4,2,20,0,0}",None
02-06-2012,02-06-2012,"Almar Avenue","Pacific Collegiate School"," --- ","Turban snails - Tegula brunnea/funebralis","Individuals per ¼ m²",6,5,2.68,1.2,"[3.65,8.35]","{9,5,5,2,9}",None
04-30-2013,04-30-2013,"Almar Avenue","St. Mary's Gilroy"," --- ","Turban snails - Tegula brunnea/funebralis","Individuals per ¼ m²",7.13,16,21.82,5.45,"[-3.57,17.82]","{3,0,0,0,0,7,1,91,0,0,9,3,0,0,0,0}",None
08-08-2013,08-08-2013,"Almar Avenue","Camp SEA Lab"," --- ","Turban snails - Tegula brunnea/funebralis","Individuals per ¼ m²",4.08,13,5.34,1.48,"[1.17,6.98]","{0,0,8,0,0,19,8,8,0,1,1,4,4}",None
11-16-2013,11-16-2013,"Almar Avenue","MBNMS Exploration Center"," --- ","Turban snails - Tegula brunnea/funebralis","Individuals per ¼ m²",7.6,5,7.12,3.18,"[1.36,13.84]","{7,0,13,18,0}",None
03-25-2014,03-25-2014,"Almar Avenue","St. Mary's Gilroy"," --- ","Turban snails - Tegula brunnea/funebralis","Individuals per ¼ m²",9.29,7,7.28,2.75,"[3.89,14.68]","{2,4,9,26,10,7,7}","Only Coordinator"
04-03-2014,04-03-2014,"Almar Avenue","Santa Cruz Montessori School"," --- ","Turban snails - Tegula brunnea/funebralis","Individuals per ¼ m²",2.44,16,3.82,0.96,"[0.56,4.31]","{0,7,0,0,1,0,8,3,1,2,0,2,1,0,0,14}",None
