Date,EventID,Site,School,Zone,Organism,Unit,"0 Meters","2 Meters","4 Meters","6 Meters","8 Meters","10 Meters","12 Meters","14 Meters","16 Meters","18 Meters","Checked By"
02-05-2013,02-05-2013,"Asilomar State Park","Santa Catalina School"," --- ","Sea mussel - Mytilus spp.","Squares per ¼ m² (max 25)",0,1,0,7,25,9,6,2,0,0,None
05-02-2013,05-02-2013,"Asilomar State Park","Santa Catalina School"," --- ","Sea mussel - Mytilus spp.","Squares per ¼ m² (max 25)",0,0,4,15,18,10,10,2,0,,None
11-04-2013,11-04-2013,"Asilomar State Park","Santa Catalina School"," --- ","Sea mussel - Mytilus spp.","Squares per ¼ m² (max 25)",0,,0,,25,,7,,,,None
11-14-2013,11-14-2013,"Asilomar State Park","Santa Catalina School"," --- ","Sea mussel - Mytilus spp.","Squares per ¼ m² (max 25)",0,2,0,13,21,16,8,0,,,None
11-15-2013,11-15-2013,"Asilomar State Park","Santa Catalina School"," --- ","Sea mussel - Mytilus spp.","Squares per ¼ m² (max 25)",0,3,0,5,20,9,7,0,0,,None
01-08-2014,01-08-2014,"Asilomar State Park","Santa Catalina School"," --- ","Sea mussel - Mytilus spp.","Squares per ¼ m² (max 25)",0,4,0,6,25,1,,,,,None
01-25-2014,01-25-2014,"Asilomar State Park","James Logan High School"," --- ","Sea mussel - Mytilus spp.","Squares per ¼ m² (max 25)",0,9,0,6,25,10,0,,,,None
01-30-2014,01-30-2014,"Asilomar State Park","Santa Catalina School"," --- ","Sea mussel - Mytilus spp.","Squares per ¼ m² (max 25)",0,4,,3,25,18,9,0,,,None
02-07-2014,02-07-2014,"Asilomar State Park","Pacific Grove Museum of Natural History"," --- ","Sea mussel - Mytilus spp.","Squares per ¼ m² (max 25)",0,2,1,17,15,3,4,0,,,None
03-27-2014,03-27-2014,"Asilomar State Park","Santa Catalina School"," --- ","Sea mussel - Mytilus spp.","Squares per ¼ m² (max 25)",0,2,1,4,,3,10,0,,,None
06-11-2014,06-11-2014,"Asilomar State Park","Santa Catalina School"," --- ","Sea mussel - Mytilus spp.","Squares per ¼ m² (max 25)",0,7,,,22,6,,,,,None
07-15-2014,07-15-2014,"Asilomar State Park","Camp SEA Lab"," --- ","Sea mussel - Mytilus spp.","Squares per ¼ m² (max 25)",0,3,0,2,25,22,14,1,0,,None
11-05-2014,11-05-2014,"Asilomar State Park","Santa Catalina School"," --- ","Sea mussel - Mytilus spp.","Squares per ¼ m² (max 25)",0,7,4,7,25,5,19,0,,,None
11-06-2014,11-06-2014,"Asilomar State Park","Santa Catalina School"," --- ","Sea mussel - Mytilus spp.","Squares per ¼ m² (max 25)",0,7,0,8,22,6,,2,,,None
11-07-2014,11-07-2014,"Asilomar State Park","Santa Catalina School"," --- ","Sea mussel - Mytilus spp.","Squares per ¼ m² (max 25)",0,5,2,4,25,8,20,0,0,,None
02-16-2015,02-16-2015,"Asilomar State Park","Santa Catalina School"," --- ","Sea mussel - Mytilus spp.","Squares per ¼ m² (max 25)",0,,,15,24,,,,,,None
03-16-2015,03-16-2015,"Asilomar State Park","Santa Catalina School"," --- ","Sea mussel - Mytilus spp.","Squares per ¼ m² (max 25)",0,11,0,11,25,21,19,1,0,0,None
03-26-2015,03-26-2015,"Asilomar State Park","Santa Catalina School"," --- ","Sea mussel - Mytilus spp.","Squares per ¼ m² (max 25)",0,15,25,25,25,0,,,,,None
04-15-2015,04-15-2015,"Asilomar State Park","Pacific Grove Museum of Natural History"," --- ","Sea mussel - Mytilus spp.","Squares per ¼ m² (max 25)",0,6,2,11,23.5,10,18.5,,,,None
04-22-2015,04-22-2015,"Asilomar State Park","North Salinas High School"," --- ","Sea mussel - Mytilus spp.","Squares per ¼ m² (max 25)",0,0,0.33,4,3,,,,,,None
05-09-2015,05-09-2015,"Asilomar State Park","Pacific Grove Museum of Natural History"," --- ","Sea mussel - Mytilus spp.","Squares per ¼ m² (max 25)",0,5,3,12,22,19,20,4,0,,None
05-11-2015,05-11-2015,"Asilomar State Park","Pacific Grove High Schol"," --- ","Sea mussel - Mytilus spp.","Squares per ¼ m² (max 25)",0,1.5,0,20,6,9.5,11.5,0,,,None
06-18-2015,06-18-2015,"Asilomar State Park","Monterey Bay Aquarium Teacher Institute"," --- ","Sea mussel - Mytilus spp.","Squares per ¼ m² (max 25)",0,5,2,21,21,5,19,1,,,None
07-21-2015,07-21-2015,"Asilomar State Park","Girls Love Science Too"," --- ","Sea mussel - Mytilus spp.","Squares per ¼ m² (max 25)",0,3.5,1.5,10.5,19.33,7,22,,,,None
01-21-2016,01-21-2016,"Asilomar State Park","Monterey Bay Aquarium - Student Oceanography Club"," --- ","Sea mussel - Mytilus spp.","Squares per ¼ m² (max 25)",,,,,,,,4,0,0,None
02-05-2016,02-05-2016,"Asilomar State Park","Dual Language Academy of Monterey Peninsula"," --- ","Sea mussel - Mytilus spp.","Squares per ¼ m² (max 25)",0,2.5,4,25,16.5,3,,,,,None
02-19-2016,02-19-2016,"Asilomar State Park","Monterey Bay Aquarium - Student Oceanography Club"," --- ","Sea mussel - Mytilus spp.","Squares per ¼ m² (max 25)",2,,,0,,,2,,,,None
03-16-2016,03-16-2016,"Asilomar State Park","North Salinas High School"," --- ","Sea mussel - Mytilus spp.","Squares per ¼ m² (max 25)",0,9.5,2,14.5,22,15.5,6,,,,None
03-17-2016,03-17-2016,"Asilomar State Park","Monterey County Home Charter School"," --- ","Sea mussel - Mytilus spp.","Squares per ¼ m² (max 25)",,3,4,16,,1,,,,,None
05-10-2016,05-10-2016,"Asilomar State Park","Pacific Grove Museum of Natural History"," --- ","Sea mussel - Mytilus spp.","Squares per ¼ m² (max 25)",,1,1,16,11,0,18,2,0.5,,None
07-05-2016,07-05-2016,"Asilomar State Park","Camp SEA Lab"," --- ","Sea mussel - Mytilus spp.","Squares per ¼ m² (max 25)",,0,1,14,16,2,22,3,0,0,None
07-05-2016,07-05-2016,"Asilomar State Park","Camp SEA Lab"," --- ","Sea mussel - Mytilus spp.","Squares per ¼ m² (max 25)",0,0,1,14,16,2,22,3,0,0,"Only Coordinator"
12-13-2016,12-13-2016,"Asilomar State Park","Dual Language Academy of Monterey Peninsula"," --- ","Sea mussel - Mytilus spp.","Squares per ¼ m² (max 25)",1,2.5,0,18,16.5,0,12,4,0,0,"Both Teacher and Coordinator"
02-22-2017,02-22-2017,"Asilomar State Park","North Salinas High School"," --- ","Sea mussel - Mytilus spp.","Squares per ¼ m² (max 25)",0,7,5,13.5,17.5,7,17.5,,,,"Both Teacher and Coordinator"
02-24-2017,02-24-2017,"Asilomar State Park","Santa Catalina School"," --- ","Sea mussel - Mytilus spp.","Squares per ¼ m² (max 25)",0,18,4,10.5,16,0,25,,,,"Only Coordinator"
03-10-2017,03-10-2017,"Asilomar State Park","Santa Catalina School"," --- ","Sea mussel - Mytilus spp.","Squares per ¼ m² (max 25)",0,10,0,12,10,1.5,,,,,"Only Coordinator"
03-11-2017,03-11-2017,"Asilomar State Park","CSU Stanislaus"," --- ","Sea mussel - Mytilus spp.","Squares per ¼ m² (max 25)",0,7.5,2,10.33,14.5,5,,,,,"Both Teacher and Coordinator"
04-03-2017,04-03-2017,"Asilomar State Park","Monterey County Home Charter School"," --- ","Sea mussel - Mytilus spp.","Squares per ¼ m² (max 25)",,,4,,21,,,,,,None
04-05-2017,04-05-2017,"Asilomar State Park","North Salinas High School"," --- ","Sea mussel - Mytilus spp.","Squares per ¼ m² (max 25)",,,3,8,7,3,25,5,,,"Both Teacher and Coordinator"
05-13-2017,05-13-2017,"Asilomar State Park","Pacific Grove Museum of Natural History"," --- ","Sea mussel - Mytilus spp.","Squares per ¼ m² (max 25)",0,7,2,7,19,,24,,,,"Only Coordinator"
05-16-2017,05-16-2017,"Asilomar State Park","Pacific Grove High School"," --- ","Sea mussel - Mytilus spp.","Squares per ¼ m² (max 25)",,5,,13,11,1,25,2,11,,"Only Coordinator"
06-27-2017,06-27-2017,"Asilomar State Park","Camp SEA Lab"," --- ","Sea mussel - Mytilus spp.","Squares per ¼ m² (max 25)",4,0,0,7,25,22,24,18,0,0,None
07-12-2017,07-12-2017,"Asilomar State Park","Monterey Bay Aquarium Teacher Institute"," --- ","Sea mussel - Mytilus spp.","Squares per ¼ m² (max 25)",0,6,0,13,7,0,25,19,,,"Only Coordinator"
11-03-2017,11-03-2017,"Asilomar State Park","Santa Catalina School"," --- ","Sea mussel - Mytilus spp.","Squares per ¼ m² (max 25)",1,7,2,15,18,6,25,15,0,0,"Both Teacher and Coordinator"
12-02-2017,12-02-2017,"Asilomar State Park","Pacific Grove Museum of Natural History"," --- ","Sea mussel - Mytilus spp.","Squares per ¼ m² (max 25)",0,8,6,10,15,1,23,,,,None
12-15-2017,12-15-2017,"Asilomar State Park","Dual Language Academy of Monterey Peninsula"," --- ","Sea mussel - Mytilus spp.","Squares per ¼ m² (max 25)",0,6,4,2,25,1,24.5,,,,"Both Teacher and Coordinator"
01-12-2018,01-12-2018,"Asilomar State Park","Santa Catalina School"," --- ","Sea mussel - Mytilus spp.","Squares per ¼ m² (max 25)",0,6,7,8,18,,,,,,"Only Coordinator"
02-01-2018,02-01-2018,"Asilomar State Park","Stevenson School"," --- ","Sea mussel - Mytilus spp.","Squares per ¼ m² (max 25)",,,,7,10,9,24,3,1,,"Only Coordinator"
02-15-2018,02-15-2018,"Asilomar State Park","Seaside High School"," --- ","Sea mussel - Mytilus spp.","Squares per ¼ m² (max 25)",0,12,3,14,19,16,25,3,,,"Both Teacher and Coordinator"
02-16-2018,02-16-2018,"Asilomar State Park","Seaside High School"," --- ","Sea mussel - Mytilus spp.","Squares per ¼ m² (max 25)",,4,0,18,20,0,23,,,,"Only Coordinator"
02-26-2018,02-26-2018,"Asilomar State Park","North Salinas High School"," --- ","Sea mussel - Mytilus spp.","Squares per ¼ m² (max 25)",0,6,2,6,12,4,25,6,,,"Both Teacher and Coordinator"
04-19-2018,04-19-2018-A,"Asilomar State Park","Santa Catalina School"," --- ","Sea mussel - Mytilus spp.","Squares per ¼ m² (max 25)",,2,3,10,24,,25,,,,"Only Coordinator"
04-23-2018,04-23-2018,"Asilomar State Park","North Salinas High School"," --- ","Sea mussel - Mytilus spp.","Squares per ¼ m² (max 25)",,9,4.5,8,13.33,3.5,,,,,"Both Teacher and Coordinator"
05-19-2018,05-19-2018,"Asilomar State Park","Pacific Grove Museum of Natural History"," --- ","Sea mussel - Mytilus spp.","Squares per ¼ m² (max 25)",0,8,,8,17,0,25,15,0,0,"Only Coordinator"
11-05-2018,11-05-2018,"Asilomar State Park","Santa Catalina School"," --- ","Sea mussel - Mytilus spp.","Squares per ¼ m² (max 25)",0,0,5,9.5,13.5,4,,,,,None
01-30-2019,01-30-2019,"Asilomar State Park","North Salinas High School"," --- ","Sea mussel - Mytilus spp.","Squares per ¼ m² (max 25)",,4.5,2,17,24,4,24.5,,,,"Both Teacher and Coordinator"
02-18-2019,02-18-2019,"Asilomar State Park","Santa Catalina School"," --- ","Sea mussel - Mytilus spp.","Squares per ¼ m² (max 25)",1,4,12,20,20,7,25,0,0,,"Only Coordinator"
02-19-2019,02-19-2019,"Asilomar State Park","Santa Catalina School"," --- ","Sea mussel - Mytilus spp.","Squares per ¼ m² (max 25)",0,5,7,22,20,5,25,,,,"Only Coordinator"
05-18-2019,05-18-2019,"Asilomar State Park","Pacific Grove Museum of Natural History"," --- ","Sea mussel - Mytilus spp.","Squares per ¼ m² (max 25)",0,3,14,20,22,7,,17,0,,"Both Teacher and Coordinator"
05-21-2019,05-21-2019,"Asilomar State Park","Pacific Grove High School"," --- ","Sea mussel - Mytilus spp.","Squares per ¼ m² (max 25)",1,10,15,14,21,2,,,,,"Both Teacher and Coordinator"
10-28-2019,10-28-2019-RIM,"Asilomar State Park","Santa Catalina School"," --- ","Sea mussel - Mytilus spp.","Squares per ¼ m² (max 25)",0,11,8,19,23,3,25,12,,,"Both Teacher and Coordinator"
01-11-2020,01-11-2020-RIM,"Asilomar State Park","Pacific Grove Museum of Natural History"," --- ","Sea mussel - Mytilus spp.","Squares per ¼ m² (max 25)",1,12,11,18,25,4,25,23,0,0,"Both Teacher and Coordinator"
01-20-2020,01-20-2020,"Asilomar State Park","Santa Catalina School"," --- ","Sea mussel - Mytilus spp.","Squares per ¼ m² (max 25)",0,8,8,18,13,,,,,,"Only Coordinator"
11-16-2021,11-16-2021,"Asilomar State Park",CSUMB," --- ","Sea mussel - Mytilus spp.","Squares per ¼ m² (max 25)",1,4,11,23,23,12,,,,,"Both Teacher and Coordinator"
02-12-2022,02-12-2022,"Asilomar State Park","Pacific Grove Museum of Natural History"," --- ","Sea mussel - Mytilus spp.","Squares per ¼ m² (max 25)",0,,15,,,2,,,,0,"Both Teacher and Coordinator"
03-22-2022,03-22-2022,"Asilomar State Park","Santa Catalina School"," --- ","Sea mussel - Mytilus spp.","Squares per ¼ m² (max 25)",0,,15,17,21,7,,,,,"Both Teacher and Coordinator"
03-23-2022,"03-23-2022-Rotation 2","Asilomar State Park","Pinewood School"," --- ","Sea mussel - Mytilus spp.","Squares per ¼ m² (max 25)",0,10.33,9,14,21.33,9,25,,,,"Both Teacher and Coordinator"
05-04-2022,05-04-2022,"Asilomar State Park","Monterey Peninsula College"," --- ","Sea mussel - Mytilus spp.","Squares per ¼ m² (max 25)",0,8,17,,24,2,25,,,,"Both Teacher and Coordinator"
05-11-2022,05-11-2022,"Asilomar State Park","Monterey Peninsula College"," --- ","Sea mussel - Mytilus spp.","Squares per ¼ m² (max 25)",0,7,12,21,20,7,,,,,"Both Teacher and Coordinator"
02-16-2023,02-16-2023,"Asilomar State Park","Everett Alvarez High School"," --- ","Sea mussel - Mytilus spp.","Squares per ¼ m² (max 25)",,4.5,13,22,24.5,3.5,,13,,,"Both Teacher and Coordinator"
11-13-2024,11-13-2024,"Asilomar State Park","Santa Catalina School"," --- ","Sea mussel - Mytilus spp.","Squares per ¼ m² (max 25)",0,10,4,7,21,8,25,,,,None
11-15-2024,11-15-2024,"Asilomar State Park","Santa Catalina School"," --- ","Sea mussel - Mytilus spp.","Squares per ¼ m² (max 25)",0,10,5,17,23,,25,,,,None
