Date,EventID,Site,School,Zone,Organism,Unit,"0 Meters","4 Meters","8 Meters","9 Meters","11 Meters","18 Meters","24 Meters","29 Meters","33.5 Meters","35.5 Meters","39 Meters","41 Meters","Checked By"
05-19-2011,05-19-2011,"Carmel Point","Carmel High School"," --- ","Sea mussel - Mytilus spp.","Squares per ¼ m² (max 25)",7,13,0,,,0,12,22,,16.5,,,None
01-18-2012,01-18-2012,"Carmel Point","North Salinas High School"," --- ","Sea mussel - Mytilus spp.","Squares per ¼ m² (max 25)",12,,,,,0,,,,,,,None
05-10-2012,05-10-2012,"Carmel Point","Santa Catalina School"," --- ","Sea mussel - Mytilus spp.","Squares per ¼ m² (max 25)",0,4,,0,0,0,11,20,12,22,,,None
05-11-2012,05-11-2012,"Carmel Point","Santa Catalina School"," --- ","Sea mussel - Mytilus spp.","Squares per ¼ m² (max 25)",0,7,0,0,0,0,15,18,23,,,,None
06-07-2012,06-07-2012,"Carmel Point",CSUMB," --- ","Sea mussel - Mytilus spp.","Squares per ¼ m² (max 25)",0,5,0,0,0,0,10,19,16,23,,0,None
12-02-2013,12-02-2013,"Carmel Point","Pacific Grove Museum of Natural History"," --- ","Sea mussel - Mytilus spp.","Squares per ¼ m² (max 25)",0,8,2,0,0,0,16,25,11,25,0,0,None
02-11-2014,02-11-2014,"Carmel Point","Big Sur Charter School"," --- ","Sea mussel - Mytilus spp.","Squares per ¼ m² (max 25)",,7.5,,0,0,0,,5,10,,,0,None
02-12-2014,02-12-2014,"Carmel Point","Pacific Grove Museum of Natural History"," --- ","Sea mussel - Mytilus spp.","Squares per ¼ m² (max 25)",1,,,,0,0,16,6,10,22,0,0,None
02-13-2014,02-13-2014,"Carmel Point","Pacific Grove Museum of Natural History"," --- ","Sea mussel - Mytilus spp.","Squares per ¼ m² (max 25)",0,12,,2,,,13,,,,,,None
03-08-2014,03-08-2014,"Carmel Point","Pacific Grove Museum of Natural History"," --- ","Sea mussel - Mytilus spp.","Squares per ¼ m² (max 25)",0,6,2,2,0,,,,,,,,None
03-23-2014,03-23-2014,"Carmel Point","CSU Stanislaus"," --- ","Sea mussel - Mytilus spp.","Squares per ¼ m² (max 25)",0,10,4,1,0,,,,,,,,None
04-04-2014,04-04-2014,"Carmel Point","North Monterey County High School"," --- ","Sea mussel - Mytilus spp.","Squares per ¼ m² (max 25)",0,8,1,0,0,0,15,19,3,22,,,None
05-03-2014,05-03-2014,"Carmel Point","Pacific Grove Museum of Natural History"," --- ","Sea mussel - Mytilus spp.","Squares per ¼ m² (max 25)",,10,2,4,0,0,15,13,3,25,,,None
07-14-2014,07-14-2014,"Carmel Point","Camp SEA Lab"," --- ","Sea mussel - Mytilus spp.","Squares per ¼ m² (max 25)",0,7,0,0,3,0,10,25,,,,,None
10-08-2014,10-08-2014,"Carmel Point","California State University Monterey Bay"," --- ","Sea mussel - Mytilus spp.","Squares per ¼ m² (max 25)",0,8,1,4,0,,16,23,10,25,,,None
02-18-2015,02-18-2015,"Carmel Point",CSUMB," --- ","Sea mussel - Mytilus spp.","Squares per ¼ m² (max 25)",1,2,5,0,0,0,14,25,14,23,,,None
04-12-2016,04-12-2016,"Carmel Point",CSUMB," --- ","Sea mussel - Mytilus spp.","Squares per ¼ m² (max 25)",,,9,3,,0,17,,17,,,,None
07-06-2016,07-06-2016,"Carmel Point","Camp SEA Lab"," --- ","Sea mussel - Mytilus spp.","Squares per ¼ m² (max 25)",1,8,,0,,0,15,14,14,,,,None
06-28-2017,06-28-2017,"Carmel Point","Camp SEA Lab"," --- ","Sea mussel - Mytilus spp.","Squares per ¼ m² (max 25)",,0,8,0,0,,15,25,25,25,8,8,None
02-13-2018,02-13-2018,"Carmel Point","Stevenson School"," --- ","Sea mussel - Mytilus spp.","Squares per ¼ m² (max 25)",1,,,15,,2,16,25,,,,,"Only Coordinator"
