Date,EventID,Site,School,Zone,Organism,Unit,"Count Mean","Sample Size","Standard Deviation","Standard Error","95% Confidence Interval","Collected Samples","Checked By"
05-08-1974,05-08-1974,"Davenport Landing",UCSC,anemone,"Common acorn barnacle - Balanus/Chthamalus","Squares per ¼ m² (max 25)",12.1,20,7.03,1.57,"[9.02,15.18]","{1,12,0,16,4,10,10,25,6,14,2,15,12,7,22,14,19,23,16,14}",None
05-14-1975,05-14-1975,"Davenport Landing",UCSC,anemone,"Common acorn barnacle - Balanus/Chthamalus","Squares per ¼ m² (max 25)",16.46,24,8.46,1.73,"[13.07,19.84]","{20,18,20,0,23,1,16,25,18,18,17,20,25,25,25,25,25,20,16,6,0,13,0,19}",None
11-05-1976,11-05-1976,"Davenport Landing",UCSC,anemone,"Common acorn barnacle - Balanus/Chthamalus","Squares per ¼ m² (max 25)",8.9,40,6.32,1,"[6.94,10.86]","{16,19,10,15,12,23,18,7,13,5,3,0,1,12,7,1,0,5,0,3,15,16,11,9,24,2,5,11,2,13,13,3,7,10,6,12,8,13,1,5}",None
11-05-1976,11-05-1976,"Davenport Landing",UCSC,Mussel,"Common acorn barnacle - Balanus/Chthamalus","Squares per ¼ m² (max 25)",23,1,0,0,"[23,23]",{23},None
10-31-1978,10-31-1978,"Davenport Landing",UCSC,anemone,"Common acorn barnacle - Balanus/Chthamalus","Squares per ¼ m² (max 25)",10.11,18,8.09,1.91,"[6.37,13.85]","{8,15,6,9,0,9,9,16,2,21,6,19,1,25,25,1,10,0}",None
10-31-1978,10-31-1978,"Davenport Landing",UCSC,Mussel,"Common acorn barnacle - Balanus/Chthamalus","Squares per ¼ m² (max 25)",19,1,0,0,"[19,19]",{19},None
05-16-1983,05-16-1983,"Davenport Landing",UCSC,anemone,"Common acorn barnacle - Balanus/Chthamalus","Squares per ¼ m² (max 25)",7.23,22,7.02,1.5,"[4.29,10.16]","{14,10,4,1,6,2,0,14,6,1,0,14,13,0,17,1,2,1,17,23,0,13}",None
05-10-1986,05-10-1986,"Davenport Landing",UCSC,anemone,"Common acorn barnacle - Balanus/Chthamalus","Squares per ¼ m² (max 25)",18.88,24,6.89,1.41,"[16.12,21.63]","{24,23,24,19,7,25,17,19,4,3,20,23,22,25,20,25,25,25,10,23,17,25,9,19}",None
05-12-1994,05-12-1994,"Davenport Landing",UCSC,anemone,"Common acorn barnacle - Balanus/Chthamalus","Squares per ¼ m² (max 25)",5.03,34,7.13,1.22,"[2.63,7.43]","{0,14,0,0,5,2,25,0,0,22,3,0,0,7,1,8,4,1,0,0,19,0,11,10,9,20,0,0,0,0,0,5,0,5}",None
05-21-1996,05-21-1996,"Davenport Landing",UCSC,anemone,"Common acorn barnacle - Balanus/Chthamalus","Squares per ¼ m² (max 25)",13.54,28,9.85,1.86,"[9.89,17.18]","{25,25,23,0,7,14,0,22,25,0,9,22,20,5,23,6,6,25,25,0,14,17,25,0,15,0,23,3}",None
05-10-1997,05-10-1997,"Davenport Landing",UCSC,anemone,"Common acorn barnacle - Balanus/Chthamalus","Squares per ¼ m² (max 25)",10.27,26,8.86,1.74,"[6.86,13.68]","{13,1,25,0,8,24,11,15,11,9,22,0,0,22,25,7,3,2,6,0,0,0,9,16,24,14}",None
01-20-2008,01-20-2008,"Davenport Landing",UCSC,anemone,"Common acorn barnacle - Balanus/Chthamalus","Squares per ¼ m² (max 25)",0,2,0,0,"[0,0]","{0,0}",None
04-13-2008,04-13-2008,"Davenport Landing",UCSC,anemone,"Common acorn barnacle - Balanus/Chthamalus","Squares per ¼ m² (max 25)",14,3,7.35,4.24,"[5.68,22.32]","{14,5,23}",None
04-27-2008,04-27-2008,"Davenport Landing",UCSC,anemone,"Common acorn barnacle - Balanus/Chthamalus","Squares per ¼ m² (max 25)",6,5,7.16,3.2,"[-0.27,12.27]","{1,5,1,3,20}",None
05-25-2008,05-25-2008,"Davenport Landing",UCSC,anemone,"Common acorn barnacle - Balanus/Chthamalus","Squares per ¼ m² (max 25)",9.25,4,7.15,3.58,"[2.24,16.26]","{1,20,11,5}",None
06-10-2008,06-10-2008,"Davenport Landing",UCSC,anemone,"Common acorn barnacle - Balanus/Chthamalus","Squares per ¼ m² (max 25)",24,1,0,0,"[24,24]",{24},None
12-22-2011,12-22-2011,"Davenport Landing","San Lorenzo Valley High School",anemone,"Common acorn barnacle - Balanus/Chthamalus","Squares per ¼ m² (max 25)",0,4,0,0,"[0,0]","{0,0,0,0}",None
01-07-2012,01-07-2012,"Davenport Landing","San Lorenzo Valley High School",anemone,"Common acorn barnacle - Balanus/Chthamalus","Squares per ¼ m² (max 25)",3.67,3,4.5,2.6,"[-1.42,8.76]","{1,10,0}",None
04-22-2012,04-22-2012,"Davenport Landing","San Lorenzo Valley High School",anemone,"Common acorn barnacle - Balanus/Chthamalus","Squares per ¼ m² (max 25)",2.6,5,3.32,1.49,"[-0.31,5.51]","{8,0,0,5,0}",None
05-22-2012,05-22-2012,"Davenport Landing","San Lorenzo Valley High School",anemone,"Common acorn barnacle - Balanus/Chthamalus","Squares per ¼ m² (max 25)",10.33,3,7.59,4.38,"[1.75,18.92]","{0,13,18}",None
05-26-2012,05-26-2012,"Davenport Landing","San Lorenzo Valley High School",anemone,"Common acorn barnacle - Balanus/Chthamalus","Squares per ¼ m² (max 25)",0,5,0,0,"[0,0]","{0,0,0,0,0}",None
07-22-2012,07-22-2012,"Davenport Landing","San Lorenzo Valley High School",anemone,"Common acorn barnacle - Balanus/Chthamalus","Squares per ¼ m² (max 25)",4.17,6,4.95,2.02,"[0.21,8.13]","{2,2,3,0,15,3}",None
08-04-2012,08-04-2012,"Davenport Landing","San Lorenzo Valley High School",anemone,"Common acorn barnacle - Balanus/Chthamalus","Squares per ¼ m² (max 25)",4.4,5,1.36,0.61,"[3.21,5.59]","{4,3,4,4,7}",None
08-26-2012,08-26-2012,"Davenport Landing","San Lorenzo Valley High School",anemone,"Common acorn barnacle - Balanus/Chthamalus","Squares per ¼ m² (max 25)",11,6,7.9,3.22,"[4.68,17.32]","{11,16,25,7,0,7}",None
10-15-2012,10-15-2012,"Davenport Landing","San Lorenzo Valley High School",Mussel,"Common acorn barnacle - Balanus/Chthamalus","Squares per ¼ m² (max 25)",10.4,5,8.82,3.95,"[2.67,18.13]","{25,6,2,3,16}",None
10-16-2012,10-16-2012,"Davenport Landing","San Lorenzo Valley High School",anemone,"Common acorn barnacle - Balanus/Chthamalus","Squares per ¼ m² (max 25)",9.6,5,11.04,4.94,"[-0.08,19.28]","{0,0,21,2,25}",None
10-29-2012,10-29-2012,"Davenport Landing","San Lorenzo Valley High School",Mussel,"Common acorn barnacle - Balanus/Chthamalus","Squares per ¼ m² (max 25)",15,3,10.61,6.13,"[2.99,27.01]","{23,22,0}",None
10-30-2012,10-30-2012,"Davenport Landing","San Lorenzo Valley High School",anemone,"Common acorn barnacle - Balanus/Chthamalus","Squares per ¼ m² (max 25)",3.5,6,2.69,1.1,"[1.35,5.65]","{6,0,3,0,6,6}",None
11-13-2012,11-13-2012,"Davenport Landing","San Lorenzo Valley High School",Mussel,"Common acorn barnacle - Balanus/Chthamalus","Squares per ¼ m² (max 25)",7,2,7,4.95,"[-2.7,16.7]","{14,0}",None
11-26-2012,11-26-2012,"Davenport Landing","San Lorenzo Valley High School",anemone,"Common acorn barnacle - Balanus/Chthamalus","Squares per ¼ m² (max 25)",9.33,6,8.36,3.41,"[2.64,16.02]","{25,2,0,5,12,12}",None
12-01-2012,12-01-2012,"Davenport Landing","San Lorenzo Valley High School",anemone,"Common acorn barnacle - Balanus/Chthamalus","Squares per ¼ m² (max 25)",4.5,2,0.5,0.35,"[3.81,5.19]","{5,4}",None
12-14-2012,12-14-2012,"Davenport Landing","San Lorenzo Valley High School",Mussel,"Common acorn barnacle - Balanus/Chthamalus","Squares per ¼ m² (max 25)",20,4,5.74,2.87,"[14.37,25.63]","{25,25,11,19}",None
12-30-2012,12-30-2012,"Davenport Landing","San Lorenzo Valley High School",anemone,"Common acorn barnacle - Balanus/Chthamalus","Squares per ¼ m² (max 25)",16,5,11.14,4.98,"[6.24,25.76]","{0,25,25,5,25}",None
12-31-2012,12-31-2012,"Davenport Landing","San Lorenzo Valley High School",anemone,"Common acorn barnacle - Balanus/Chthamalus","Squares per ¼ m² (max 25)",8.8,5,10.03,4.48,"[0.01,17.59]","{25,16,3,0,0}",None
02-17-2013,02-17-2013,"Davenport Landing","San Lorenzo Valley High School",anemone,"Common acorn barnacle - Balanus/Chthamalus","Squares per ¼ m² (max 25)",9.25,4,9.42,4.71,"[0.02,18.48]","{0,21,16,0}",None
04-07-2013,04-07-2013,"Davenport Landing","San Lorenzo Valley High School",anemone,"Common acorn barnacle - Balanus/Chthamalus","Squares per ¼ m² (max 25)",2,3,1.41,0.82,"[0.4,3.6]","{3,3,0}",None
05-21-2013,05-21-2013,"Davenport Landing","San Lorenzo Valley High School",anemone,"Common acorn barnacle - Balanus/Chthamalus","Squares per ¼ m² (max 25)",2,3,2.83,1.63,"[-1.2,5.2]","{0,0,6}",None
07-27-2013,07-27-2013,"Davenport Landing","San Lorenzo Valley High School",anemone,"Common acorn barnacle - Balanus/Chthamalus","Squares per ¼ m² (max 25)",18,3,9.9,5.72,"[6.8,29.2]","{25,4,25}",None
08-07-2013,08-07-2013,"Davenport Landing","Camp SEA Lab",anemone,"Common acorn barnacle - Balanus/Chthamalus","Squares per ¼ m² (max 25)",21.64,14,4.56,1.22,"[19.25,24.03]","{25,25,25,25,25,15,25,15,25,15,25,15,25,18}",None
08-07-2013,08-07-2013,"Davenport Landing","Camp SEA Lab",Mussel,"Common acorn barnacle - Balanus/Chthamalus","Squares per ¼ m² (max 25)",22.83,6,3.58,1.46,"[19.97,25.7]","{25,23,25,15,25,24}",None
10-05-2013,10-05-2013,"Davenport Landing","San Lorenzo Valley High School",anemone,"Common acorn barnacle - Balanus/Chthamalus","Squares per ¼ m² (max 25)",4.5,2,0.5,0.35,"[3.81,5.19]","{5,4}",None
11-04-2013,11-04-2013,"Davenport Landing","San Lorenzo Valley High School",anemone,"Common acorn barnacle - Balanus/Chthamalus","Squares per ¼ m² (max 25)",11.33,3,10.34,5.97,"[-0.37,23.03]","{9,25,0}",None
12-14-2013,12-14-2013,"Davenport Landing","San Lorenzo Valley High School",anemone,"Common acorn barnacle - Balanus/Chthamalus","Squares per ¼ m² (max 25)",8,4,6.6,3.3,"[1.54,14.46]","{14,0,15,3}",None
12-31-2013,12-31-2013,"Davenport Landing","San Lorenzo Valley High School",anemone,"Common acorn barnacle - Balanus/Chthamalus","Squares per ¼ m² (max 25)",6.8,5,9.37,4.19,"[-1.41,15.01]","{0,25,6,3,0}",None
08-30-2015,08-30-2015,"Davenport Landing","San Lorenzo Valley High School",anemone,"Common acorn barnacle - Balanus/Chthamalus","Squares per ¼ m² (max 25)",8.33,3,11.79,6.8,"[-5,21.67]","{25,0,0}",None
10-26-2015,10-26-2015,"Davenport Landing","San Lorenzo Valley High School",Mussel,"Common acorn barnacle - Balanus/Chthamalus","Squares per ¼ m² (max 25)",9.5,4,7.5,3.75,"[2.15,16.85]","{2,17,2,17}",None
10-26-2015,10-26-2015,"Davenport Landing","San Lorenzo Valley High School",anemone,"Common acorn barnacle - Balanus/Chthamalus","Squares per ¼ m² (max 25)",2.33,6,2.21,0.9,"[0.56,4.1]","{0,6,4,1,3,0}",None
11-11-2015,11-11-2015,"Davenport Landing","San Lorenzo Valley High School",Mussel,"Common acorn barnacle - Balanus/Chthamalus","Squares per ¼ m² (max 25)",21.5,2,3.5,2.47,"[16.65,26.35]","{25,18}",None
01-09-2016,01-09-2016,"Davenport Landing","San Lorenzo Valley High School",Mussel,"Common acorn barnacle - Balanus/Chthamalus","Squares per ¼ m² (max 25)",24.5,4,0.87,0.43,"[23.65,25.35]","{25,25,25,23}",None
02-07-2016,02-07-2016,"Davenport Landing","San Lorenzo Valley High School",Mussel,"Common acorn barnacle - Balanus/Chthamalus","Squares per ¼ m² (max 25)",24.25,4,1.3,0.65,"[22.98,25.52]","{22,25,25,25}",None
02-07-2016,02-07-2016,"Davenport Landing","San Lorenzo Valley High School",anemone,"Common acorn barnacle - Balanus/Chthamalus","Squares per ¼ m² (max 25)",6.33,6,8.84,3.61,"[-0.74,13.41]","{6,7,0,0,0,25}",None
