Date,EventID,Site,School,Zone,Organism,Unit,"Count Mean","Sample Size","Standard Deviation","Standard Error","95% Confidence Interval","Collected Samples","Checked By"
05-08-1974,05-08-1974,"Davenport Landing",UCSC,anemone,"Sea mussel - Mytilus spp.","Squares per ¼ m² (max 25)",4.35,20,4.49,1,"[2.38,6.32]","{1,9,0,13,0,2,9,10,0,0,7,1,1,0,8,1,12,7,0,6}",None
05-14-1975,05-14-1975,"Davenport Landing",UCSC,anemone,"Sea mussel - Mytilus spp.","Squares per ¼ m² (max 25)",8.63,24,7.98,1.63,"[5.43,11.82]","{6,18,10,0,5,0,2,19,13,19,16,11,25,1,1,25,11,10,2,1,0,4,0,8}",None
11-05-1976,11-05-1976,"Davenport Landing",UCSC,anemone,"Sea mussel - Mytilus spp.","Squares per ¼ m² (max 25)",4.93,40,4.1,0.65,"[3.65,6.2]","{7,4,10,3,0,2,12,11,7,6,0,2,0,5,0,3,7,6,2,0,5,2,3,11,7,1,5,12,1,0,15,5,3,1,5,12,3,11,1,7}",None
11-05-1976,11-05-1976,"Davenport Landing",UCSC,Mussel,"Sea mussel - Mytilus spp.","Squares per ¼ m² (max 25)",21,1,0,0,"[21,21]",{21},None
10-31-1978,10-31-1978,"Davenport Landing",UCSC,anemone,"Sea mussel - Mytilus spp.","Squares per ¼ m² (max 25)",3.22,18,3.74,0.88,"[1.5,4.95]","{0,4,8,4,0,0,0,0,0,2,0,10,4,11,6,0,8,1}",None
10-31-1978,10-31-1978,"Davenport Landing",UCSC,Mussel,"Sea mussel - Mytilus spp.","Squares per ¼ m² (max 25)",17,1,0,0,"[17,17]",{17},None
05-16-1983,05-16-1983,"Davenport Landing",UCSC,anemone,"Sea mussel - Mytilus spp.","Squares per ¼ m² (max 25)",2.95,22,4.15,0.88,"[1.22,4.69]","{18,0,0,2,7,0,0,3,5,0,0,6,6,0,1,3,0,2,3,1,0,8}",None
05-16-1983,05-16-1983,"Davenport Landing","Pacific Grove Museum of Natural History",Mussel,"Sea mussel - Mytilus spp.","Squares per ¼ m² (max 25)",19.42,19,5.22,1.2,"[17.07,21.77]","{8,14,24,23,20,17,25,20,24,18,17,19,23,18,25,23,6,22,23}",None
05-10-1986,05-10-1986,"Davenport Landing",UCSC,anemone,"Sea mussel - Mytilus spp.","Squares per ¼ m² (max 25)",7.13,24,6.51,1.33,"[4.52,9.73]","{9,11,5,10,0,0,4,6,8,7,2,23,3,10,2,18,20,1,6,0,13,13,0,0}",None
05-03-1991,05-03-1991,"Davenport Landing","Pacific Grove Museum of Natural History",Mussel,"Sea mussel - Mytilus spp.","Squares per ¼ m² (max 25)",20.45,22,7.08,1.51,"[17.5,23.41]","{19,24,24,10,25,2,25,22,25,22,0,22,25,22,19,17,25,24,25,25,25,23}",None
05-12-1994,05-12-1994,"Davenport Landing",UCSC,anemone,"Sea mussel - Mytilus spp.","Squares per ¼ m² (max 25)",3.5,34,6.38,1.09,"[1.36,5.64]","{0,11,0,0,0,0,25,1,0,10,0,0,0,3,0,0,0,0,0,0,6,0,1,10,8,20,18,0,0,0,0,1,1,4}",None
05-12-1994,05-12-1994,"Davenport Landing","Pacific Grove Museum of Natural History",Mussel,"Sea mussel - Mytilus spp.","Squares per ¼ m² (max 25)",15.66,32,8.38,1.48,"[12.75,18.56]","{4,8,25,16,16,18,15,25,19,3,22,24,25,22,25,19,11,14,19,10,1,0,1,25,15,25,25,25,15,11,18,}",None
05-21-1996,05-21-1996,"Davenport Landing",UCSC,anemone,"Sea mussel - Mytilus spp.","Squares per ¼ m² (max 25)",4.21,28,5.73,1.08,"[2.09,6.34]","{3,12,22,1,1,2,0,1,0,0,2,2,2,4,21,0,2,11,8,0,3,1,5,1,7,2,5,0}",None
05-10-1997,05-10-1997,"Davenport Landing",UCSC,anemone,"Sea mussel - Mytilus spp.","Squares per ¼ m² (max 25)",7.04,26,6.65,1.3,"[4.48,9.6]","{2,2,9,0,2,24,11,3,13,1,3,0,0,3,7,9,0,1,10,13,4,8,10,10,24,14}",None
