Date,EventID,Site,School,Zone,Organism,Unit,"Count Mean","Sample Size","Standard Deviation","Standard Error","95% Confidence Interval","Collected Samples","Checked By"
11-01-2006,11-01-2006,"Fitzgerald Marine Reserve","Drew School","High Zone","Common acorn barnacle - Balanus/Chthamalus","Squares per ¼ m² (max 25)",8.4,10,8.6,2.72,"[3.07,13.73]","{17,19,8,0,1,0,0,9,25,5}",None
11-02-2006,11-02-2006,"Fitzgerald Marine Reserve","San Francisco State University","High Zone","Common acorn barnacle - Balanus/Chthamalus","Squares per ¼ m² (max 25)",16.5,8,9.85,3.48,"[9.68,23.32]","{0,25,3,25,25,21,23,10}",None
01-30-2007,01-30-2007,"Fitzgerald Marine Reserve","Farallones Marine Sanctuary Association","Mid Zone","Common acorn barnacle - Balanus/Chthamalus","Squares per ¼ m² (max 25)",1.86,7,2.23,0.84,"[0.2,3.51]","{0,5,3,0,0,5,0}",None
03-23-2007,03-23-2007,"Fitzgerald Marine Reserve","Saint Francis High School","High Zone","Common acorn barnacle - Balanus/Chthamalus","Squares per ¼ m² (max 25)",11.27,11,9.8,2.95,"[5.48,17.06]","{0,0,25,1,6,25,3,25,12,17,10}",None
03-28-2007,03-28-2007,"Fitzgerald Marine Reserve","Drew School","High Zone","Common acorn barnacle - Balanus/Chthamalus","Squares per ¼ m² (max 25)",12.25,8,8.77,3.1,"[6.17,18.33]","{0,0,11,16,25,7,18,21}",None
05-09-2007,05-09-2007,"Fitzgerald Marine Reserve","Clayton Valley High School","Mid Zone","Common acorn barnacle - Balanus/Chthamalus","Squares per ¼ m² (max 25)",0.38,8,0.99,0.35,"[-0.31,1.06]","{0,0,0,0,0,0,3,0}",None
06-06-2007,06-06-2007,"Fitzgerald Marine Reserve","Lick Wilmerding HS","Mid Zone","Common acorn barnacle - Balanus/Chthamalus","Squares per ¼ m² (max 25)",9.1,20,8.12,1.82,"[5.54,12.66]","{23,13,6,6,25,24,5,10,15,4,2,13,0,0,0,18,0,6,10,2}",None
06-07-2007,06-07-2007,"Fitzgerald Marine Reserve","Lick Wilmerding HS","High Zone","Common acorn barnacle - Balanus/Chthamalus","Squares per ¼ m² (max 25)",16.1,20,7.21,1.61,"[12.94,19.26]","{22,20,21,21,23,18,9,8,1,21,16,22,17,1,25,10,9,14,25,19}",None
07-03-2007,07-03-2007,"Fitzgerald Marine Reserve","Farallones Marine Sanctuary Association","High Zone","Common acorn barnacle - Balanus/Chthamalus","Squares per ¼ m² (max 25)",16.13,15,7.65,1.98,"[12.26,20]","{20,19,7,23,22,17,23,25,14,21,6,13,25,7,0}",None
01-18-2008,01-18-2008,"Fitzgerald Marine Reserve","Farallones Marine Sanctuary Association","Mid Zone","Common acorn barnacle - Balanus/Chthamalus","Squares per ¼ m² (max 25)",4.73,11,4.81,1.45,"[1.89,7.57]","{15,10,6,0,8,0,7,0,5,1,0}",None
02-04-2008,02-04-2008,"Fitzgerald Marine Reserve","San Francisco State University","High Zone","Common acorn barnacle - Balanus/Chthamalus","Squares per ¼ m² (max 25)",11.86,14,8.91,2.38,"[7.19,16.53]","{24,12,0,18,0,14,6,7,0,21,4,12,25,23}",None
02-13-2008,02-13-2008,"Fitzgerald Marine Reserve","Lick Wilmerding HS","High Zone","Common acorn barnacle - Balanus/Chthamalus","Squares per ¼ m² (max 25)",18.82,11,7.08,2.14,"[14.63,23]","{25,23,25,13,24,21,11,24,25,4,12}",None
02-14-2008,02-14-2008,"Fitzgerald Marine Reserve","Sacred Heart Cathedral Prep","High Zone","Common acorn barnacle - Balanus/Chthamalus","Squares per ¼ m² (max 25)",7,14,9.03,2.41,"[2.27,11.73]","{0,0,0,0,0,0,24,0,0,16,9,11,25,13}",None
04-24-2008,04-24-2008,"Fitzgerald Marine Reserve","Saint Francis High School","High Zone","Common acorn barnacle - Balanus/Chthamalus","Squares per ¼ m² (max 25)",6.58,24,7.8,1.59,"[3.46,9.71]","{2,3,0,0,24,24,3,9,1,2,13,0,0,10,20,0,0,14,9,0,10,0,0,14}",None
05-08-2008,05-08-2008,"Fitzgerald Marine Reserve","Fernando Rivera Intermediate","High Zone","Common acorn barnacle - Balanus/Chthamalus","Squares per ¼ m² (max 25)",2.33,12,3.82,1.1,"[0.17,4.49]","{0,12,0,4,0,0,0,0,0,0,4,8}",None
05-28-2008,05-28-2008,"Fitzgerald Marine Reserve","Lick Wilmerding HS","High Zone","Common acorn barnacle - Balanus/Chthamalus","Squares per ¼ m² (max 25)",4.81,16,8.27,2.07,"[0.76,8.87]","{20,0,0,0,9,0,0,22,0,4,0,0,0,0,0,22}",None
06-05-2008,06-05-2008,"Fitzgerald Marine Reserve","Crystal Springs Uplands School","High Zone","Common acorn barnacle - Balanus/Chthamalus","Squares per ¼ m² (max 25)",6,11,5.89,1.78,"[2.52,9.48]","{4,7,2,15,0,1,12,17,1,7,0}",None
01-21-2009,01-21-2009,"Fitzgerald Marine Reserve","Farallones Marine Sanctuary Association","Mid Zone","Common acorn barnacle - Balanus/Chthamalus","Squares per ¼ m² (max 25)",4.42,12,4.41,1.27,"[1.92,6.91]","{0,7,8,9,0,0,0,8,1,8,12,0}",None
02-04-2009,02-04-2009,"Fitzgerald Marine Reserve","Lick Wilmerding HS","Mid Zone","Common acorn barnacle - Balanus/Chthamalus","Squares per ¼ m² (max 25)",5.57,7,8.52,3.22,"[-0.74,11.88]","{0,0,0,6,8,0,25}",None
02-06-2009,02-06-2009,"Fitzgerald Marine Reserve","Lick Wilmerding HS","Mid Zone","Common acorn barnacle - Balanus/Chthamalus","Squares per ¼ m² (max 25)",1,6,2.24,0.91,"[-0.79,2.79]","{0,0,0,0,6,0}",None
02-18-2009,02-18-2009,"Fitzgerald Marine Reserve","Sacred Heart Cathedral Prep","High Zone","Common acorn barnacle - Balanus/Chthamalus","Squares per ¼ m² (max 25)",4.82,11,7.2,2.17,"[0.57,9.07]","{0,0,5,10,7,0,25,0,0,5,1}",None
03-04-2009,03-04-2009,"Fitzgerald Marine Reserve","El Camino HIgh School","High Zone","Common acorn barnacle - Balanus/Chthamalus","Squares per ¼ m² (max 25)",7.08,13,8.08,2.24,"[2.68,11.47]","{7,11,0,16,18,25,5,0,0,10,0,0,0}",None
03-05-2009,03-05-2009,"Fitzgerald Marine Reserve","El Camino HIgh School","Mid Zone","Common acorn barnacle - Balanus/Chthamalus","Squares per ¼ m² (max 25)",0.2,5,0.4,0.18,"[-0.15,0.55]","{0,0,1,0,0}",None
03-18-2009,03-18-2009,"Fitzgerald Marine Reserve","Drew School","High Zone","Common acorn barnacle - Balanus/Chthamalus","Squares per ¼ m² (max 25)",1.38,13,4.52,1.25,"[-1.07,3.84]","{0,0,0,1,0,0,0,0,0,0,17,0,0}",None
04-28-2009,04-28-2009,"Fitzgerald Marine Reserve","Saint Francis High School","Mid Zone","Common acorn barnacle - Balanus/Chthamalus","Squares per ¼ m² (max 25)",0.57,23,1.25,0.26,"[0.06,1.07]","{2,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,5,1,3}",None
04-29-2009,04-29-2009,"Fitzgerald Marine Reserve","Edna Brewer Middle School","Mid Zone","Common acorn barnacle - Balanus/Chthamalus","Squares per ¼ m² (max 25)",0.74,23,1.33,0.28,"[0.2,1.28]","{0,1,0,0,0,0,2,0,0,3,5,3,0,0,0,0,2,1,0,0,0,0,0}",None
05-01-2009,05-01-2009,"Fitzgerald Marine Reserve","Clayton Valley High School","Mid Zone","Common acorn barnacle - Balanus/Chthamalus","Squares per ¼ m² (max 25)",0.09,11,0.29,0.09,"[-0.08,0.26]","{0,0,0,0,0,0,0,1,0,0,0}",None
11-14-2009,11-14-2009,"Fitzgerald Marine Reserve","Farallones Marine Sanctuary Association","Mid Zone","Common acorn barnacle - Balanus/Chthamalus","Squares per ¼ m² (max 25)",0,4,0,0,"[0,0]","{0,0,0,0}",None
01-13-2010,01-13-2010,"Fitzgerald Marine Reserve","Farallones Marine Sanctuary Association","High Zone","Common acorn barnacle - Balanus/Chthamalus","Squares per ¼ m² (max 25)",6.75,12,4.88,1.41,"[3.99,9.51]","{11,4,4,5,3,3,6,10,4,17,14,0}",None
02-08-2010,02-08-2010,"Fitzgerald Marine Reserve","Terra Nova High School","High Zone","Common acorn barnacle - Balanus/Chthamalus","Squares per ¼ m² (max 25)",6.5,16,9.12,2.28,"[2.03,10.97]","{25,25,0,0,0,0,9,0,6,0,0,9,5,2,23,0}",None
03-22-2010,03-22-2010,"Fitzgerald Marine Reserve","Lick Wilmerding HS","High Zone","Common acorn barnacle - Balanus/Chthamalus","Squares per ¼ m² (max 25)",6.17,6,9.49,3.88,"[-1.43,13.76]","{0,25,0,12,0,0}",None
03-23-2010,03-23-2010,"Fitzgerald Marine Reserve","Burlingame High School","High Zone","Common acorn barnacle - Balanus/Chthamalus","Squares per ¼ m² (max 25)",3,4,2.74,1.37,"[0.32,5.68]","{4,7,1,0}",None
04-20-2010,04-20-2010,"Fitzgerald Marine Reserve","Piedmont High School","High Zone","Common acorn barnacle - Balanus/Chthamalus","Squares per ¼ m² (max 25)",5.85,13,8.12,2.25,"[1.43,10.26]","{21,0,10,2,0,0,4,0,0,4,0,10,25}",None
04-21-2010,04-21-2010,"Fitzgerald Marine Reserve","Piedmont High School","High Zone","Common acorn barnacle - Balanus/Chthamalus","Squares per ¼ m² (max 25)",1.85,13,3.16,0.88,"[0.13,3.56]","{10,3,0,0,0,0,0,7,0,0,0,0,4}",None
05-18-2010,05-18-2010,"Fitzgerald Marine Reserve","Stuart Hall High School","Mid Zone","Common acorn barnacle - Balanus/Chthamalus","Squares per ¼ m² (max 25)",0.33,12,0.75,0.22,"[-0.09,0.76]","{0,0,0,0,0,2,2,0,0,0,0,0}",None
05-19-2010,05-19-2010,"Fitzgerald Marine Reserve","Stuart Hall High School","Mid Zone","Common acorn barnacle - Balanus/Chthamalus","Squares per ¼ m² (max 25)",2,14,2.67,0.71,"[0.6,3.4]","{7,1,0,0,3,6,0,0,0,5,0,0,6,0}",None
05-19-2010,05-19-2010,"Fitzgerald Marine Reserve","Stuart Hall High School","High Zone","Common acorn barnacle - Balanus/Chthamalus","Squares per ¼ m² (max 25)",0,2,0,0,"[0,0]","{0,0}",None
06-02-2010,06-02-2010,"Fitzgerald Marine Reserve","Clayton Valley High School","High Zone","Common acorn barnacle - Balanus/Chthamalus","Squares per ¼ m² (max 25)",2.25,12,4.34,1.25,"[-0.21,4.71]","{0,0,0,0,6,15,1,5,0,0,0,0}",None
08-12-2010,08-12-2010,"Fitzgerald Marine Reserve","Farallones Marine Sanctuary Association","High Zone","Common acorn barnacle - Balanus/Chthamalus","Squares per ¼ m² (max 25)",7.59,17,6.32,1.53,"[4.59,10.59]","{13,8,7,0,0,4,12,18,15,1,4,4,6,8,22,7,0}",None
11-03-2010,11-03-2010,"Fitzgerald Marine Reserve","Farallones Marine Sanctuary Association","High Zone","Common acorn barnacle - Balanus/Chthamalus","Squares per ¼ m² (max 25)",5.63,8,3.77,1.33,"[3.01,8.24]","{3,10,9,0,2,6,11,4}",None
11-06-2010,11-06-2010,"Fitzgerald Marine Reserve","City College of San Francisco","High Zone","Common acorn barnacle - Balanus/Chthamalus","Squares per ¼ m² (max 25)",3.42,12,5.38,1.55,"[0.37,6.46]","{2,7,3,0,0,13,0,0,0,0,0,16}",None
12-06-2010,12-06-2010,"Fitzgerald Marine Reserve","Aragon High School","Mid Zone","Common acorn barnacle - Balanus/Chthamalus","Squares per ¼ m² (max 25)",1.63,8,4.3,1.52,"[-1.35,4.6]","{13,0,0,0,0,0,0,0}",None
01-19-2011,01-19-2011,"Fitzgerald Marine Reserve","Farallones Marine Sanctuary Association","High Zone","Common acorn barnacle - Balanus/Chthamalus","Squares per ¼ m² (max 25)",13.83,12,7.65,2.21,"[9.51,18.16]","{25,25,6,8,12,7,16,25,20,7,10,5}",None
01-20-2011,01-20-2011,"Fitzgerald Marine Reserve","Aragon High School","High Zone","Common acorn barnacle - Balanus/Chthamalus","Squares per ¼ m² (max 25)",0.78,9,2.2,0.73,"[-0.66,2.22]","{7,0,0,0,0,0,0,0,0}",None
04-07-2011,04-07-2011,"Fitzgerald Marine Reserve","Saint Francis High School","High Zone","Common acorn barnacle - Balanus/Chthamalus","Squares per ¼ m² (max 25)",6.16,32,6.23,1.1,"[4,8.31]","{25,3,13,10,3,12,16,7,19,3,2,2,2,10,0,3,10,2,0,12,10,11,3,0,3,1,0,0,0,2,10,3}",None
04-12-2011,04-12-2011,"Fitzgerald Marine Reserve","Burlingame High School","High Zone","Common acorn barnacle - Balanus/Chthamalus","Squares per ¼ m² (max 25)",4.7,23,6.27,1.31,"[2.14,7.26]","{0,0,0,0,1,0,2,9,4,3,0,25,12,3,1,5,15,14,4,3,7,0,0}",None
04-21-2011,04-21-2011,"Fitzgerald Marine Reserve","Crystal Springs Uplands School","Mid Zone","Common acorn barnacle - Balanus/Chthamalus","Squares per ¼ m² (max 25)",4.76,17,7.52,1.82,"[1.19,8.34]","{0,25,0,0,0,5,20,0,0,0,0,0,6,7,0,14,4}",None
05-07-2011,05-07-2011,"Fitzgerald Marine Reserve","Earth Team","High Zone","Common acorn barnacle - Balanus/Chthamalus","Squares per ¼ m² (max 25)",10.1,20,5.63,1.26,"[7.63,12.57]","{6,2,9,19,11,10,19,8,9,20,6,3,3,6,13,15,5,14,6,18}",None
06-07-2011,06-07-2011,"Fitzgerald Marine Reserve","Terra Nova High School","Mid Zone","Common acorn barnacle - Balanus/Chthamalus","Squares per ¼ m² (max 25)",3.38,13,7.02,1.95,"[-0.43,7.2]","{8,0,10,0,1,0,25,0,0,0,0,0,0}",None
