Date,EventID,Site,School,Zone,Organism,Unit,"Count Mean","Sample Size","Standard Deviation","Standard Error","95% Confidence Interval","Collected Samples","Checked By"
11-01-2006,11-01-2006,"Fitzgerald Marine Reserve","Drew School","High Zone","Sea mussel - Mytilus spp.","Squares per ¼ m² (max 25)",1.6,10,2.37,0.75,"[0.13,3.07]","{3,1,0,0,2,0,0,0,2,8}",None
11-02-2006,11-02-2006,"Fitzgerald Marine Reserve","San Francisco State University","High Zone","Sea mussel - Mytilus spp.","Squares per ¼ m² (max 25)",1.88,8,2.09,0.74,"[0.43,3.32]","{7,1,0,0,2,2,1,2}",None
01-30-2007,01-30-2007,"Fitzgerald Marine Reserve","Farallones Marine Sanctuary Association","Mid Zone","Sea mussel - Mytilus spp.","Squares per ¼ m² (max 25)",1.43,7,2.26,0.85,"[-0.24,3.1]","{0,0,0,0,0,5,5}",None
03-23-2007,03-23-2007,"Fitzgerald Marine Reserve","Saint Francis High School","High Zone","Sea mussel - Mytilus spp.","Squares per ¼ m² (max 25)",3.64,11,6.88,2.07,"[-0.43,7.7]","{5,1,25,1,2,1,2,2,1,0,0}",None
03-28-2007,03-28-2007,"Fitzgerald Marine Reserve","Drew School","High Zone","Sea mussel - Mytilus spp.","Squares per ¼ m² (max 25)",3,8,1.87,0.66,"[1.7,4.3]","{2,0,4,3,3,7,2,3}",None
05-09-2007,05-09-2007,"Fitzgerald Marine Reserve","Clayton Valley High School","Mid Zone","Sea mussel - Mytilus spp.","Squares per ¼ m² (max 25)",0,8,0,0,"[0,0]","{0,0,0,0,0,0,0,0}",None
06-06-2007,06-06-2007,"Fitzgerald Marine Reserve","Lick Wilmerding HS","Mid Zone","Sea mussel - Mytilus spp.","Squares per ¼ m² (max 25)",2.6,20,7,1.56,"[-0.47,5.67]","{1,0,1,1,0,22,0,0,0,0,0,0,1,0,0,1,25,0,0,0}",None
06-07-2007,06-07-2007,"Fitzgerald Marine Reserve","Lick Wilmerding HS","High Zone","Sea mussel - Mytilus spp.","Squares per ¼ m² (max 25)",1.95,20,1.94,0.43,"[1.1,2.8]","{0,0,7,2,0,1,3,1,1,2,2,3,2,0,0,3,4,0,2,6}",None
07-03-2007,07-03-2007,"Fitzgerald Marine Reserve","Farallones Marine Sanctuary Association","High Zone","Sea mussel - Mytilus spp.","Squares per ¼ m² (max 25)",3.27,15,2.08,0.54,"[2.21,4.32]","{2,3,5,7,2,1,1,4,6,2,0,5,5,1,5}",None
01-18-2008,01-18-2008,"Fitzgerald Marine Reserve","Farallones Marine Sanctuary Association","Mid Zone","Sea mussel - Mytilus spp.","Squares per ¼ m² (max 25)",1.45,11,2.5,0.75,"[-0.02,2.93]","{1,0,0,0,2,0,9,1,1,2,0}",None
02-04-2008,02-04-2008,"Fitzgerald Marine Reserve","San Francisco State University","High Zone","Sea mussel - Mytilus spp.","Squares per ¼ m² (max 25)",2.79,14,1.78,0.48,"[1.85,3.72]","{6,2,0,1,4,1,2,6,3,4,1,4,3,2}",None
02-13-2008,02-13-2008,"Fitzgerald Marine Reserve","Lick Wilmerding HS","High Zone","Sea mussel - Mytilus spp.","Squares per ¼ m² (max 25)",2.64,11,2.71,0.82,"[1.04,4.24]","{0,2,1,5,6,1,1,8,0,0,5}",None
02-14-2008,02-14-2008,"Fitzgerald Marine Reserve","Sacred Heart Cathedral Prep","High Zone","Sea mussel - Mytilus spp.","Squares per ¼ m² (max 25)",1.5,14,1.84,0.49,"[0.54,2.46]","{0,0,1,1,7,3,0,3,0,1,1,2,0,2}",None
04-24-2008,04-24-2008,"Fitzgerald Marine Reserve","Saint Francis High School","High Zone","Sea mussel - Mytilus spp.","Squares per ¼ m² (max 25)",1.67,24,1.72,0.35,"[0.98,2.36]","{2,2,0,0,0,0,3,0,2,0,3,0,2,6,3,0,0,2,5,3,1,4,2,0}",None
05-08-2008,05-08-2008,"Fitzgerald Marine Reserve","Fernando Rivera Intermediate","High Zone","Sea mussel - Mytilus spp.","Squares per ¼ m² (max 25)",0.92,12,1.44,0.42,"[0.1,1.73]","{1,1,0,0,0,0,0,2,0,0,5,2}",None
05-28-2008,05-28-2008,"Fitzgerald Marine Reserve","Lick Wilmerding HS","High Zone","Sea mussel - Mytilus spp.","Squares per ¼ m² (max 25)",2.31,16,3.51,0.88,"[0.59,4.03]","{1,1,8,7,12,0,0,0,0,4,0,2,0,2,0,0}",None
06-05-2008,06-05-2008,"Fitzgerald Marine Reserve","Crystal Springs Uplands School","High Zone","Sea mussel - Mytilus spp.","Squares per ¼ m² (max 25)",1,11,1.13,0.34,"[0.33,1.67]","{1,0,0,2,1,1,0,1,4,1,0}",None
01-21-2009,01-21-2009,"Fitzgerald Marine Reserve","Farallones Marine Sanctuary Association","Mid Zone","Sea mussel - Mytilus spp.","Squares per ¼ m² (max 25)",0.58,12,1.38,0.4,"[-0.2,1.37]","{0,0,0,0,1,0,0,0,1,0,5,0}",None
02-04-2009,02-04-2009,"Fitzgerald Marine Reserve","Lick Wilmerding HS","Mid Zone","Sea mussel - Mytilus spp.","Squares per ¼ m² (max 25)",0.71,7,1.39,0.52,"[-0.31,1.74]","{0,0,1,0,4,0,0}",None
02-06-2009,02-06-2009,"Fitzgerald Marine Reserve","Lick Wilmerding HS","Mid Zone","Sea mussel - Mytilus spp.","Squares per ¼ m² (max 25)",0,6,0,0,"[0,0]","{0,0,0,0,0,0}",None
