Date,EventID,Site,School,Zone,Organism,Unit,"Count Mean","Sample Size","Standard Deviation","Standard Error","95% Confidence Interval","Collected Samples","Checked By"
04-20-1973,04-20-1973,"Natural Bridges","CSU Stanislas","High Zone","Common acorn barnacle - Balanus/Chthamalus","Squares per ¼ m² (max 25)",2.86,22,5.37,1.15,"[0.62,5.11]","{0,0,4,0,0,0,0,0,0,2,0,23,0,4,2,14,5,1,2,2,0,4}",None
04-20-1973,04-20-1973,"Natural Bridges","CSU Stanislas","Mid Zone","Common acorn barnacle - Balanus/Chthamalus","Squares per ¼ m² (max 25)",19.5,22,5.42,1.15,"[17.24,21.76]","{25,13,24,18,10,21,19,25,18,23,18,25,24,25,8,14,19,25,12,25,14,24}",None
04-09-1974,04-09-1974,"Natural Bridges","CSU Stanislas","High Zone","Common acorn barnacle - Balanus/Chthamalus","Squares per ¼ m² (max 25)",6.75,8,7.43,2.63,"[1.6,11.9]","{14,0,0,0,12,21,3,4}",None
04-09-1974,04-09-1974,"Natural Bridges","CSU Stanislas","Mid Zone","Common acorn barnacle - Balanus/Chthamalus","Squares per ¼ m² (max 25)",21.73,15,6.1,1.58,"[18.64,24.82]","{24,25,22,22,24,23,24,0,25,21,23,25,25,18,25}",None
04-10-1974,04-10-1974,"Natural Bridges","CSU Stanislas","High Zone","Common acorn barnacle - Balanus/Chthamalus","Squares per ¼ m² (max 25)",9.71,7,8.45,3.19,"[3.46,15.97]","{10,1,8,21,23,5,0}",None
04-15-1975,04-15-1975,"Natural Bridges","CSU Stanislas","High Zone","Common acorn barnacle - Balanus/Chthamalus","Squares per ¼ m² (max 25)",8.25,24,9.48,1.93,"[4.46,12.04]","{20,0,2,2,0,15,12,24,1,4,1,4,25,25,25,3,21,0,8,0,3,0,2,1}",None
04-15-1975,04-15-1975,"Natural Bridges","CSU Stanislas","Mid Zone","Common acorn barnacle - Balanus/Chthamalus","Squares per ¼ m² (max 25)",22.04,26,6.17,1.21,"[19.67,24.41]","{23,20,25,25,25,25,25,25,20,0,8,25,24,10,25,25,25,25,25,25,21,25,25,25,22,25}",None
05-01-1976,05-01-1976,"Natural Bridges",UCSC,"Mid Zone","Common acorn barnacle - Balanus/Chthamalus","Squares per ¼ m² (max 25)",19,1,0,0,"[19,19]",{19},None
05-01-1976,05-01-1976,"Natural Bridges",UCSC,"High Zone","Common acorn barnacle - Balanus/Chthamalus","Squares per ¼ m² (max 25)",8,1,0,0,"[8,8]",{8},None
11-01-1978,11-01-1978,"Natural Bridges",UCSC,"Mid Zone","Common acorn barnacle - Balanus/Chthamalus","Squares per ¼ m² (max 25)",19,1,0,0,"[19,19]",{19},None
