Date,EventID,Site,School,Zone,Organism,Unit,"Count Mean","Sample Size","Standard Deviation","Standard Error","95% Confidence Interval","Collected Samples","Checked By"
04-20-1973,04-20-1973,"Natural Bridges","CSU Stanislas","High Zone","Sea mussel - Mytilus spp.","Squares per ¼ m² (max 25)",5.73,22,6.18,1.32,"[3.14,8.31]","{6,0,10,0,9,6,0,0,2,4,0,25,0,3,9,15,15,7,4,3,1,7}",None
04-20-1973,04-20-1973,"Natural Bridges","CSU Stanislas","Mid Zone","Sea mussel - Mytilus spp.","Squares per ¼ m² (max 25)",20.09,22,5.65,1.2,"[17.73,22.45]","{25,11,25,18,8,24,23,25,19,25,13,25,16,25,14,24,18,25,10,25,19,25}",None
04-09-1974,04-09-1974,"Natural Bridges","CSU Stanislas","High Zone","Sea mussel - Mytilus spp.","Squares per ¼ m² (max 25)",5,8,5.1,1.8,"[1.47,8.53]","{10,0,0,2,12,12,4,0}",None
04-09-1974,04-09-1974,"Natural Bridges","CSU Stanislas","Mid Zone","Sea mussel - Mytilus spp.","Squares per ¼ m² (max 25)",18.73,15,7.03,1.81,"[15.18,22.29]","{24,25,21,20,21,24,14,2,25,17,5,25,23,13,22}",None
04-10-1974,04-10-1974,"Natural Bridges","CSU Stanislas","High Zone","Sea mussel - Mytilus spp.","Squares per ¼ m² (max 25)",7.14,7,4.19,1.58,"[4.04,10.25]","{5,9,3,6,16,8,3}",None
04-15-1975,04-15-1975,"Natural Bridges","CSU Stanislas","High Zone","Sea mussel - Mytilus spp.","Squares per ¼ m² (max 25)",9.54,24,8.64,1.76,"[6.09,13]","{11,3,2,8,0,14,16,21,2,7,15,10,25,25,25,1,23,3,7,1,4,1,5,0}",None
04-15-1975,04-15-1975,"Natural Bridges","CSU Stanislas","Mid Zone","Sea mussel - Mytilus spp.","Squares per ¼ m² (max 25)",20.54,26,6.91,1.35,"[17.88,23.19]","{20,20,25,25,25,25,25,25,8,3,16,17,23,6,25,25,25,25,25,25,15,25,24,25,7,25}",None
05-01-1976,05-01-1976,"Natural Bridges",UCSC,"Mid Zone","Sea mussel - Mytilus spp.","Squares per ¼ m² (max 25)",20,1,0,0,"[20,20]",{20},None
05-01-1976,05-01-1976,"Natural Bridges",UCSC,"High Zone","Sea mussel - Mytilus spp.","Squares per ¼ m² (max 25)",8,1,0,0,"[8,8]",{8},None
11-01-1978,11-01-1978,"Natural Bridges",UCSC,"Mid Zone","Sea mussel - Mytilus spp.","Squares per ¼ m² (max 25)",19,1,0,0,"[19,19]",{19},None
11-01-1978,11-01-1978,"Natural Bridges",UCSC,"High Zone","Sea mussel - Mytilus spp.","Squares per ¼ m² (max 25)",8,1,0,0,"[8,8]",{8},None
