Date,EventID,Site,School,Zone,Organism,Unit,"Count Mean","Sample Size","Standard Deviation","Standard Error","95% Confidence Interval","Collected Samples","Checked By"
05-04-2006,05-04-2006,"Pigeon Point","Saint Francis High School"," --- ","Common acorn barnacle - Balanus/Chthamalus","Squares per ¼ m² (max 25)",1.56,9,2.41,0.8,"[-0.02,3.13]","{0,2,1,2,8,0,0,1,0}",None
11-16-2006,11-16-2006,"Pigeon Point","San Francisco State University"," --- ","Common acorn barnacle - Balanus/Chthamalus","Squares per ¼ m² (max 25)",5.8,10,6.63,2.1,"[1.69,9.91]","{6,0,8,20,1,0,1,15,7,0}",None
01-29-2007,01-29-2007,"Pigeon Point","Farallones Marine Sanctuary Association"," --- ","Common acorn barnacle - Balanus/Chthamalus","Squares per ¼ m² (max 25)",8.38,8,5.76,2.04,"[4.38,12.37]","{7,1,21,11,6,3,11,7}",None
03-25-2007,03-25-2007,"Pigeon Point","San Francisco State University"," --- ","Common acorn barnacle - Balanus/Chthamalus","Squares per ¼ m² (max 25)",7.55,11,10.55,3.18,"[1.31,13.78]","{24,2,25,4,0,0,0,0,25,1,2}",None
05-24-2007,05-24-2007,"Pigeon Point","Farallones Marine Sanctuary Association"," --- ","Common acorn barnacle - Balanus/Chthamalus","Squares per ¼ m² (max 25)",2.1,20,3.83,0.86,"[0.42,3.78]","{7,0,10,12,0,9,0,0,2,0,0,2,0,0,0,0,0,0,0,0}",None
07-04-2007,07-04-2007,"Pigeon Point","Farallones Marine Sanctuary Association"," --- ","Common acorn barnacle - Balanus/Chthamalus","Squares per ¼ m² (max 25)",7.75,12,7.25,2.09,"[3.65,11.85]","{15,14,21,1,0,13,7,1,2,3,0,16}",None
01-22-2008,01-22-2008,"Pigeon Point","Farallones Marine Sanctuary Association"," --- ","Common acorn barnacle - Balanus/Chthamalus","Squares per ¼ m² (max 25)",9.81,16,10.74,2.69,"[4.55,15.08]","{24,24,0,23,22,0,0,2,23,1,5,1,6,25,1,0}",None
03-13-2008,03-13-2008,"Pigeon Point","Pescadero HS"," --- ","Common acorn barnacle - Balanus/Chthamalus","Squares per ¼ m² (max 25)",12.43,7,11.12,4.2,"[4.19,20.67]","{16,25,21,0,0,25,0}",None
01-22-2009,01-22-2009,"Pigeon Point","Farallones Marine Sanctuary Association"," --- ","Common acorn barnacle - Balanus/Chthamalus","Squares per ¼ m² (max 25)",5.67,18,7.97,1.88,"[1.98,9.35]","{0,0,0,0,2,0,13,1,19,0,21,0,0,0,0,15,11,20}",None
03-06-2009,03-06-2009,"Pigeon Point","Pescadero HS"," --- ","Common acorn barnacle - Balanus/Chthamalus","Squares per ¼ m² (max 25)",0,4,0,0,"[0,0]","{0,0,0,0}",None
01-28-2010,01-28-2010,"Pigeon Point","Farallones Marine Sanctuary Association"," --- ","Common acorn barnacle - Balanus/Chthamalus","Squares per ¼ m² (max 25)",12,14,11.65,3.11,"[5.9,18.1]","{21,25,0,21,0,0,25,25,1,25,2,0,23,0}",None
02-24-2010,02-24-2010,"Pigeon Point","American High School"," --- ","Common acorn barnacle - Balanus/Chthamalus","Squares per ¼ m² (max 25)",4.76,17,5.79,1.4,"[2.01,7.52]","{0,15,0,0,0,0,6,5,0,12,16,8,13,0,0,0,6}",None
03-25-2010,03-25-2010,"Pigeon Point","Pescadero HS"," --- ","Common acorn barnacle - Balanus/Chthamalus","Squares per ¼ m² (max 25)",6,6,8.74,3.57,"[-0.99,12.99]","{23,1,12,0,0,0}",None
05-21-2010,05-21-2010,"Pigeon Point","International School of the Peninsula"," --- ","Common acorn barnacle - Balanus/Chthamalus","Squares per ¼ m² (max 25)",0.58,12,1.38,0.4,"[-0.2,1.37]","{0,0,5,1,0,0,1,0,0,0,0,0}",None
02-28-2011,02-28-2011,"Pigeon Point","American High School"," --- ","Common acorn barnacle - Balanus/Chthamalus","Squares per ¼ m² (max 25)",2.38,8,4.87,1.72,"[-1,5.75]","{0,0,15,0,0,3,1,0}",None
03-01-2011,03-01-2011,"Pigeon Point","American High School"," --- ","Common acorn barnacle - Balanus/Chthamalus","Squares per ¼ m² (max 25)",4.65,26,6.29,1.23,"[2.24,7.07]","{2,3,0,0,0,0,0,0,3,0,15,3,0,3,2,8,12,1,12,4,16,21,16,0,0,0}",None
03-02-2011,03-02-2011,"Pigeon Point","American High School"," --- ","Common acorn barnacle - Balanus/Chthamalus","Squares per ¼ m² (max 25)",6.94,16,8.41,2.1,"[2.82,11.06]","{22,0,25,13,0,0,15,2,0,2,3,0,2,0,16,11}",None
05-11-2011,05-11-2011,"Pigeon Point","International School of the Peninsula"," --- ","Common acorn barnacle - Balanus/Chthamalus","Squares per ¼ m² (max 25)",3.5,10,7.46,2.36,"[-1.12,8.12]","{0,1,0,0,25,2,0,0,7,0}",None
05-21-2011,05-21-2011,"Pigeon Point","James Logan High School"," --- ","Common acorn barnacle - Balanus/Chthamalus","Squares per ¼ m² (max 25)",2.64,14,3.18,0.85,"[0.98,4.31]","{0,0,6,0,5,5,9,8,0,0,2,0,0,2}",None
03-15-2012,03-15-2012,"Pigeon Point","American High School"," --- ","Common acorn barnacle - Balanus/Chthamalus","Squares per ¼ m² (max 25)",0,10,0,0,"[0,0]","{0,0,0,0,0,0,0,0,0,0}",None
