Date,EventID,Site,School,Zone,Organism,Unit,"Count Mean","Sample Size","Standard Deviation","Standard Error","95% Confidence Interval","Collected Samples","Checked By"
05-04-2006,05-04-2006,"Pigeon Point","Saint Francis High School"," --- ","Sea mussel - Mytilus spp.","Squares per ¼ m² (max 25)",0,9,0,0,"[0,0]","{0,0,0,0,0,0,0,0,0}",None
11-16-2006,11-16-2006,"Pigeon Point","San Francisco State University"," --- ","Sea mussel - Mytilus spp.","Squares per ¼ m² (max 25)",0,10,0,0,"[0,0]","{0,0,0,0,0,0,0,0,0,0}",None
01-29-2007,01-29-2007,"Pigeon Point","Farallones Marine Sanctuary Association"," --- ","Sea mussel - Mytilus spp.","Squares per ¼ m² (max 25)",0,8,0,0,"[0,0]","{0,0,0,0,0,0,0,0}",None
03-25-2007,03-25-2007,"Pigeon Point","San Francisco State University"," --- ","Sea mussel - Mytilus spp.","Squares per ¼ m² (max 25)",0,11,0,0,"[0,0]","{0,0,0,0,0,0,0,0,0,0,0}",None
05-24-2007,05-24-2007,"Pigeon Point","Farallones Marine Sanctuary Association"," --- ","Sea mussel - Mytilus spp.","Squares per ¼ m² (max 25)",0.05,20,0.22,0.05,"[-0.05,0.15]","{0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0}",None
07-04-2007,07-04-2007,"Pigeon Point","Farallones Marine Sanctuary Association"," --- ","Sea mussel - Mytilus spp.","Squares per ¼ m² (max 25)",0.67,12,1.18,0.34,"[-0,1.33]","{0,0,1,0,0,0,0,2,1,0,4,0}",None
01-22-2008,01-22-2008,"Pigeon Point","Farallones Marine Sanctuary Association"," --- ","Sea mussel - Mytilus spp.","Squares per ¼ m² (max 25)",0.88,16,1.36,0.34,"[0.21,1.54]","{2,1,0,4,0,0,0,0,0,0,1,0,2,4,0,0}",None
03-13-2008,03-13-2008,"Pigeon Point","Pescadero HS"," --- ","Sea mussel - Mytilus spp.","Squares per ¼ m² (max 25)",0.14,7,0.35,0.13,"[-0.12,0.4]","{1,0,0,0,0,0,0}",None
01-22-2009,01-22-2009,"Pigeon Point","Farallones Marine Sanctuary Association"," --- ","Sea mussel - Mytilus spp.","Squares per ¼ m² (max 25)",0.06,18,0.23,0.05,"[-0.05,0.16]","{0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0}",None
03-06-2009,03-06-2009,"Pigeon Point","Pescadero HS"," --- ","Sea mussel - Mytilus spp.","Squares per ¼ m² (max 25)",0,4,0,0,"[0,0]","{0,0,0,0}",None
01-28-2010,01-28-2010,"Pigeon Point","Farallones Marine Sanctuary Association"," --- ","Sea mussel - Mytilus spp.","Squares per ¼ m² (max 25)",0.07,14,0.26,0.07,"[-0.06,0.21]","{0,0,0,0,0,0,0,0,0,0,0,0,1,0}",None
02-24-2010,02-24-2010,"Pigeon Point","American High School"," --- ","Sea mussel - Mytilus spp.","Squares per ¼ m² (max 25)",0.18,17,0.51,0.12,"[-0.07,0.42]","{0,2,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0}",None
03-25-2010,03-25-2010,"Pigeon Point","Pescadero HS"," --- ","Sea mussel - Mytilus spp.","Squares per ¼ m² (max 25)",0,6,0,0,"[0,0]","{0,0,0,0,0,0}",None
05-21-2010,05-21-2010,"Pigeon Point","International School of the Peninsula"," --- ","Sea mussel - Mytilus spp.","Squares per ¼ m² (max 25)",0,12,0,0,"[0,0]","{0,0,0,0,0,0,0,0,0,0,0,0}",None
02-28-2011,02-28-2011,"Pigeon Point","American High School"," --- ","Sea mussel - Mytilus spp.","Squares per ¼ m² (max 25)",0,8,0,0,"[0,0]","{0,0,0,0,0,0,0,0}",None
03-01-2011,03-01-2011,"Pigeon Point","American High School"," --- ","Sea mussel - Mytilus spp.","Squares per ¼ m² (max 25)",0.08,26,0.38,0.08,"[-0.07,0.22]","{0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0}",None
03-02-2011,03-02-2011,"Pigeon Point","American High School"," --- ","Sea mussel - Mytilus spp.","Squares per ¼ m² (max 25)",0.06,16,0.24,0.06,"[-0.06,0.18]","{0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0}",None
05-11-2011,05-11-2011,"Pigeon Point","International School of the Peninsula"," --- ","Sea mussel - Mytilus spp.","Squares per ¼ m² (max 25)",1.3,10,3.58,1.13,"[-0.92,3.52]","{0,0,1,0,0,0,0,0,0,12}",None
05-21-2011,05-21-2011,"Pigeon Point","James Logan High School"," --- ","Sea mussel - Mytilus spp.","Squares per ¼ m² (max 25)",0,14,0,0,"[0,0]","{0,0,0,0,0,0,0,0,0,0,0,0,0,0}",None
03-15-2012,03-15-2012,"Pigeon Point","American High School"," --- ","Sea mussel - Mytilus spp.","Squares per ¼ m² (max 25)",0.2,10,0.6,0.19,"[-0.17,0.57]","{0,0,0,0,2,0,0,0,0,0}",None
05-12-2012,05-12-2012,"Pigeon Point","James Logan High School"," --- ","Sea mussel - Mytilus spp.","Squares per ¼ m² (max 25)",0.07,14,0.26,0.07,"[-0.06,0.21]","{0,0,0,0,0,0,0,0,0,0,0,1,0,0}",None
04-04-2013,04-04-2013,"Pigeon Point","Head Royce School"," --- ","Sea mussel - Mytilus spp.","Squares per ¼ m² (max 25)",0.14,14,0.35,0.09,"[-0.04,0.33]","{0,0,0,0,0,0,1,0,0,0,0,0,1,0}",None
02-25-2014,02-25-2014,"Pigeon Point","Head Royce School"," --- ","Sea mussel - Mytilus spp.","Squares per ¼ m² (max 25)",0.25,12,0.43,0.13,"[0.01,0.5]","{1,0,0,1,1,0,0,0,0,0,0,0}",None
05-21-2014,05-21-2014,"Pigeon Point","American High School"," --- ","Sea mussel - Mytilus spp.","Squares per ¼ m² (max 25)",0.38,16,1.45,0.36,"[-0.34,1.09]","{0,0,0,0,0,0,0,0,0,0,0,0,6,0,0,0}",None
06-02-2014,06-02-2014,"Pigeon Point","James Logan High School"," --- ","Sea mussel - Mytilus spp.","Squares per ¼ m² (max 25)",0.33,12,0.85,0.25,"[-0.15,0.81]","{0,0,0,1,0,0,0,3,0,0,0,0}",None
12-02-2014,12-02-2014,"Pigeon Point","Head Royce School"," --- ","Sea mussel - Mytilus spp.","Squares per ¼ m² (max 25)",0,5,0,0,"[0,0]","{0,0,0,0,0}",None
02-17-2015,02-17-2015,"Pigeon Point","James Logan High School"," --- ","Sea mussel - Mytilus spp.","Squares per ¼ m² (max 25)",0.22,18,0.63,0.15,"[-0.07,0.51]","{2,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0}",None
03-16-2015,03-16-2015,"Pigeon Point","American High School"," --- ","Sea mussel - Mytilus spp.","Squares per ¼ m² (max 25)",0,14,0,0,"[0,0]","{0,0,0,0,0,0,0,0,0,0,0,0,0,0}",None
03-25-2015,03-25-2015,"Pigeon Point","American High School"," --- ","Sea mussel - Mytilus spp.","Squares per ¼ m² (max 25)",0.08,12,0.28,0.08,"[-0.07,0.24]","{0,0,0,0,0,0,0,1,0,0,0,0}",None
04-15-2015,04-15-2015,"Pigeon Point","James Logan High School"," --- ","Sea mussel - Mytilus spp.","Squares per ¼ m² (max 25)",0.23,13,0.8,0.22,"[-0.2,0.67]","{0,0,0,0,0,0,0,0,0,0,3,0,0}",None
01-21-2016,01-21-2016,"Pigeon Point","Head Royce School"," --- ","Sea mussel - Mytilus spp.","Squares per ¼ m² (max 25)",0,10,0,0,"[0,0]","{0,0,0,0,0,0,0,0,0,0}",None
03-16-2016,03-16-2016,"Pigeon Point","American High School"," --- ","Sea mussel - Mytilus spp.","Squares per ¼ m² (max 25)",0.16,31,0.63,0.11,"[-0.06,0.38]","{0,0,0,0,0,0,0,0,2,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0}",None
04-11-2016,04-11-2016,"Pigeon Point","James Logan High School"," --- ","Sea mussel - Mytilus spp.","Squares per ¼ m² (max 25)",0.34,29,1.06,0.2,"[-0.04,0.73]","{0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,3,0,0,0,0,1,0,5,0}",None
05-25-2016,05-25-2016,"Pigeon Point","James Logan High School"," --- ","Sea mussel - Mytilus spp.","Squares per ¼ m² (max 25)",0.1,21,0.43,0.09,"[-0.09,0.28]","{0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0}",None
05-26-2016,05-26-2016,"Pigeon Point","American High School"," --- ","Sea mussel - Mytilus spp.","Squares per ¼ m² (max 25)",0.62,21,1.4,0.3,"[0.02,1.22]","{0,0,0,0,0,0,2,0,0,0,2,2,1,0,0,0,0,0,0,0,6}",None
11-14-2016,11-14-2016,"Pigeon Point","James Logan High School"," --- ","Sea mussel - Mytilus spp.","Squares per ¼ m² (max 25)",3.5,10,6.93,2.19,"[-0.8,7.8]","{5,0,0,0,0,0,0,0,7,23}",None
05-01-2017,05-01-2017,"Pigeon Point","James Logan High School"," --- ","Sea mussel - Mytilus spp.","Squares per ¼ m² (max 25)",2.14,14,6.37,1.7,"[-1.19,5.48]","{25,2,0,0,0,0,1,1,0,0,0,0,0,1}","Only Teacher"
05-30-2017,05-30-2017,"Pigeon Point","American High School"," --- ","Sea mussel - Mytilus spp.","Squares per ¼ m² (max 25)",0.36,14,1.04,0.28,"[-0.19,0.9]","{0,4,0,0,0,0,0,0,0,1,0,0,0,0}","Only Teacher"
05-31-2017,05-31-2017,"Pigeon Point","American High School"," --- ","Sea mussel - Mytilus spp.","Squares per ¼ m² (max 25)",3.78,18,5.78,1.36,"[1.11,6.45]","{0,0,0,0,0,0,17,0,4,18,11,3,9,4,0,1,0,1}","Only Teacher"
01-29-2018,01-29-2018,"Pigeon Point","James Logan High School"," --- ","Sea mussel - Mytilus spp.","Squares per ¼ m² (max 25)",1.12,17,4.23,1.03,"[-0.89,3.13]","{,,0,,0,,,0,0,0,18,1,0,0,0,,}","Both Teacher and Coordinator"
04-20-2018,04-20-2018,"Pigeon Point","James Logan High School"," --- ","Sea mussel - Mytilus spp.","Squares per ¼ m² (max 25)",0.53,15,1.09,0.28,"[-0.02,1.08]","{2,,,0,,,0,0,4,0,,,1,1,}","Both Teacher and Coordinator"
05-21-2018,05-21-2018,"Pigeon Point","American High School"," --- ","Sea mussel - Mytilus spp.","Squares per ¼ m² (max 25)",0.75,8,1.98,0.7,"[-0.63,2.13]","{0,0,0,0,6,0,0,0}","Both Teacher and Coordinator"
05-22-2018,05-22-2018,"Pigeon Point","American High School"," --- ","Sea mussel - Mytilus spp.","Squares per ¼ m² (max 25)",0.13,15,0.5,0.13,"[-0.12,0.39]","{0,2,0,0,0,0,0,0,0,0,0,0,0,0,0}","Both Teacher and Coordinator"
03-01-2019,03-01-2019-RIM,"Pigeon Point","Head Royce School"," --- ","Sea mussel - Mytilus spp.","Squares per ¼ m² (max 25)",0.63,8,0.86,0.3,"[0.03,1.22]","{0,2,0,0,0,1,0,2}","Both Teacher and Coordinator"
05-24-2019,05-24-2019-RIM,"Pigeon Point","American High School"," --- ","Sea mussel - Mytilus spp.","Squares per ¼ m² (max 25)",0.17,12,0.37,0.11,"[-0.04,0.38]","{0,0,0,0,0,1,0,0,0,0,1,0}","Both Teacher and Coordinator"
06-25-2020,06-25-2020,"Pigeon Point",GFA," --- ","Sea mussel - Mytilus spp.","Squares per ¼ m² (max 25)",0,4,0,0,"[0,0]","{,,,}","Both Teacher and Coordinator"
11-12-2023,11-12-2023,"Pigeon Point","Lynbrook High School"," --- ","Sea mussel - Mytilus spp.","Squares per ¼ m² (max 25)",0,3,0,0,"[0,0]","{0,0,0}","Both Teacher and Coordinator"
