Date,EventID,Site,School,Zone,Organism,Unit,"Count Mean","Sample Size","Standard Deviation","Standard Error","95% Confidence Interval","Collected Samples","Checked By"
08-11-2010,08-11-2010,"Pillar Point","Farallones Marine Sanctuary Association"," --- ","Common acorn barnacle - Balanus/Chthamalus","Squares per ¼ m² (max 25)",20.43,7,7.37,2.78,"[14.97,25.88]","{25,4,25,25,16,25,23}",None
08-13-2010,08-13-2010,"Pillar Point","Farallones Marine Sanctuary Association"," --- ","Common acorn barnacle - Balanus/Chthamalus","Squares per ¼ m² (max 25)",24.13,8,1.69,0.6,"[22.95,25.3]","{25,25,20,23,25,25,25,25}",None
11-04-2010,11-04-2010,"Pillar Point","The Urban School"," --- ","Common acorn barnacle - Balanus/Chthamalus","Squares per ¼ m² (max 25)",13.88,16,10.39,2.6,"[8.79,18.96]","{6,4,0,17,0,0,25,21,24,5,25,3,25,25,25,17}",None
01-15-2011,01-15-2011,"Pillar Point","Romberg Tiburon Center"," --- ","Common acorn barnacle - Balanus/Chthamalus","Squares per ¼ m² (max 25)",21.25,4,3.03,1.52,"[18.28,24.22]","{25,23,17,20}",None
01-28-2011,01-28-2011,"Pillar Point","Farallones Marine Sanctuary Association"," --- ","Common acorn barnacle - Balanus/Chthamalus","Squares per ¼ m² (max 25)",17,4,9.03,4.51,"[8.15,25.85]","{25,18,2,23}",None
01-28-2011,01-28-2011,"Pillar Point","Lick Wilmerding HS"," --- ","Common acorn barnacle - Balanus/Chthamalus","Squares per ¼ m² (max 25)",24,16,2.42,0.61,"[22.81,25.19]","{25,23,25,25,24,25,25,25,25,25,25,24,25,25,15,23}",None
05-23-2011,05-23-2011,"Pillar Point","Farallones Marine Sanctuary Association"," --- ","Common acorn barnacle - Balanus/Chthamalus","Squares per ¼ m² (max 25)",21.06,17,5.75,1.4,"[18.32,23.79]","{25,25,24,4,25,13,25,21,24,25,25,23,24,21,24,14,16}",None
10-26-2011,10-26-2011,"Pillar Point","The Urban School"," --- ","Common acorn barnacle - Balanus/Chthamalus","Squares per ¼ m² (max 25)",13.83,6,5.93,2.42,"[9.09,18.58]","{15,21,18,8,17,4}",None
11-09-2011,11-09-2011,"Pillar Point","Drew School"," --- ","Common acorn barnacle - Balanus/Chthamalus","Squares per ¼ m² (max 25)",18,3,9.9,5.72,"[6.8,29.2]","{25,4,25}",None
01-19-2012,01-19-2012,"Pillar Point","Farallones Marine Sanctuary Association"," --- ","Common acorn barnacle - Balanus/Chthamalus","Squares per ¼ m² (max 25)",18.17,12,6.93,2,"[14.25,22.09]","{4,23,25,17,19,7,24,10,21,25,21,22}",None
10-15-2012,10-15-2012,"Pillar Point","The Urban School"," --- ","Common acorn barnacle - Balanus/Chthamalus","Squares per ¼ m² (max 25)",9.13,8,10.01,3.54,"[2.19,16.06]","{0,0,19,20,0,0,25,9}",None
12-10-2012,12-10-2012,"Pillar Point","Berkeley High School"," --- ","Common acorn barnacle - Balanus/Chthamalus","Squares per ¼ m² (max 25)",5.8,5,8.8,3.93,"[-1.91,13.51]","{23,5,0,0,1}",None
12-11-2012,12-11-2012,"Pillar Point","Berkeley High School"," --- ","Common acorn barnacle - Balanus/Chthamalus","Squares per ¼ m² (max 25)",10.14,7,11.31,4.27,"[1.77,18.52]","{2,25,0,25,19,0,0}",None
12-12-2012,12-12-2012,"Pillar Point","Drew School"," --- ","Common acorn barnacle - Balanus/Chthamalus","Squares per ¼ m² (max 25)",12,4,7.04,3.52,"[5.11,18.89]","{15,18,0,15}",None
04-03-2013,04-03-2013,"Pillar Point","Piedmont High School"," --- ","Common acorn barnacle - Balanus/Chthamalus","Squares per ¼ m² (max 25)",11.88,8,7.88,2.79,"[6.41,17.34]","{10,17,17,9,24,1,0,17}",None
11-04-2013,11-04-2013,"Pillar Point","The Urban School"," --- ","Common acorn barnacle - Balanus/Chthamalus","Squares per ¼ m² (max 25)",15.31,16,11.3,2.82,"[9.78,20.85]","{25,25,25,25,25,25,0,8,0,2,25,25,0,25,0,10}",None
12-03-2013,12-03-2013,"Pillar Point","Drew School"," --- ","Common acorn barnacle - Balanus/Chthamalus","Squares per ¼ m² (max 25)",5,8,6.26,2.22,"[0.66,9.34]","{19,1,6,10,0,4,0,0}",None
11-04-2014,11-04-2014,"Pillar Point","San Francisco State University"," --- ","Common acorn barnacle - Balanus/Chthamalus","Squares per ¼ m² (max 25)",15.2,10,10.83,3.43,"[8.49,21.91]","{25,10,0,0,25,20,25,25,0,22}",None
03-17-2015,03-17-2015,"Pillar Point","Piedmont High School"," --- ","Common acorn barnacle - Balanus/Chthamalus","Squares per ¼ m² (max 25)",14.56,9,11.14,3.71,"[7.28,21.83]","{24,25,3,0,24,25,24,0,6}",None
04-23-2015,04-23-2015,"Pillar Point","Piedmont High School"," --- ","Common acorn barnacle - Balanus/Chthamalus","Squares per ¼ m² (max 25)",14.3,10,9.36,2.96,"[8.5,20.1]","{0,20,14,1,24,11,4,19,25,25}",None
02-05-2016,02-05-2016,"Pillar Point","Farallones Marine Sanctuary Association"," --- ","Common acorn barnacle - Balanus/Chthamalus","Squares per ¼ m² (max 25)",22.27,11,6.51,1.96,"[18.43,26.12]","{17,25,3,25,25,25,25,25,25,25,25}",None
05-11-2016,05-11-2016,"Pillar Point","The Urban School"," --- ","Common acorn barnacle - Balanus/Chthamalus","Squares per ¼ m² (max 25)",21.69,13,6.74,1.87,"[18.03,25.36]","{25,25,25,24,25,23,25,25,25,23,25,7,5}",None
