Date,EventID,Site,School,Zone,Organism,Unit,"Count Mean","Sample Size","Standard Deviation","Standard Error","95% Confidence Interval","Collected Samples","Checked By"
08-11-2010,08-11-2010,"Pillar Point","Farallones Marine Sanctuary Association"," --- ","Sea mussel - Mytilus spp.","Squares per ¼ m² (max 25)",18.57,7,8.75,3.31,"[12.09,25.05]","{24,8,24,25,2,23,24}",None
08-13-2010,08-13-2010,"Pillar Point","Farallones Marine Sanctuary Association"," --- ","Sea mussel - Mytilus spp.","Squares per ¼ m² (max 25)",22.88,8,2.93,1.04,"[20.84,24.91]","{25,25,17,19,23,25,24,25}",None
11-04-2010,11-04-2010,"Pillar Point","The Urban School"," --- ","Sea mussel - Mytilus spp.","Squares per ¼ m² (max 25)",17.39,18,8.62,2.03,"[13.41,21.37]","{7,19,0,23,6,25,22,22,25,4,25,3,24,23,25,20,22,18}",None
01-15-2011,01-15-2011,"Pillar Point","Romberg Tiburon Center"," --- ","Sea mussel - Mytilus spp.","Squares per ¼ m² (max 25)",22,4,3.67,1.84,"[18.4,25.6]","{25,16,22,25}",None
01-28-2011,01-28-2011,"Pillar Point","Farallones Marine Sanctuary Association"," --- ","Sea mussel - Mytilus spp.","Squares per ¼ m² (max 25)",13.75,4,6.14,3.07,"[7.73,19.77]","{19,13,4,19}",None
01-28-2011,01-28-2011,"Pillar Point","Lick Wilmerding HS"," --- ","Sea mussel - Mytilus spp.","Squares per ¼ m² (max 25)",22.31,16,3.42,0.86,"[20.64,23.99]","{20,14,18,22,25,25,25,24,25,25,25,25,20,25,17,22}",None
05-23-2011,05-23-2011,"Pillar Point","Farallones Marine Sanctuary Association"," --- ","Sea mussel - Mytilus spp.","Squares per ¼ m² (max 25)",18.29,17,9.32,2.26,"[13.86,22.73]","{25,25,25,1,24,0,24,24,25,25,25,20,23,7,25,6,7}",None
10-26-2011,10-26-2011,"Pillar Point","The Urban School"," --- ","Sea mussel - Mytilus spp.","Squares per ¼ m² (max 25)",15.83,6,7.73,3.16,"[9.65,22.02]","{0,23,22,15,15,20}",None
11-09-2011,11-09-2011,"Pillar Point","Drew School"," --- ","Sea mussel - Mytilus spp.","Squares per ¼ m² (max 25)",19.67,3,7.54,4.35,"[11.13,28.2]","{25,9,25}",None
01-19-2012,01-19-2012,"Pillar Point","Farallones Marine Sanctuary Association"," --- ","Sea mussel - Mytilus spp.","Squares per ¼ m² (max 25)",18.17,12,8.23,2.38,"[13.51,22.83]","{3,25,21,21,25,10,21,1,21,25,20,25}",None
10-15-2012,10-15-2012,"Pillar Point","The Urban School"," --- ","Sea mussel - Mytilus spp.","Squares per ¼ m² (max 25)",9.25,8,11.95,4.22,"[0.97,17.53]","{0,0,24,25,0,0,25,0}",None
12-10-2012,12-10-2012,"Pillar Point","Berkeley High School"," --- ","Sea mussel - Mytilus spp.","Squares per ¼ m² (max 25)",6.4,5,6.89,3.08,"[0.36,12.44]","{4,1,8,19,0}",None
12-11-2012,12-11-2012,"Pillar Point","Berkeley High School"," --- ","Sea mussel - Mytilus spp.","Squares per ¼ m² (max 25)",18.29,7,10.1,3.82,"[10.81,25.76]","{25,25,0,25,25,5,23}",None
12-12-2012,12-12-2012,"Pillar Point","Drew School"," --- ","Sea mussel - Mytilus spp.","Squares per ¼ m² (max 25)",22.5,4,4.33,2.17,"[18.26,26.74]","{25,25,15,25}",None
04-03-2013,04-03-2013,"Pillar Point","Piedmont High School"," --- ","Sea mussel - Mytilus spp.","Squares per ¼ m² (max 25)",16.38,8,10.36,3.66,"[9.2,23.55]","{8,24,25,25,2,25,0,22}",None
11-04-2013,11-04-2013,"Pillar Point","The Urban School"," --- ","Sea mussel - Mytilus spp.","Squares per ¼ m² (max 25)",19.06,16,8.73,2.18,"[14.79,23.34]","{25,2,0,25,25,25,22,16,25,21,24,25,24,24,3,19}",None
12-03-2013,12-03-2013,"Pillar Point","Drew School"," --- ","Sea mussel - Mytilus spp.","Squares per ¼ m² (max 25)",8.5,8,9.47,3.35,"[1.94,15.06]","{25,1,7,24,6,2,2,1}",None
11-04-2014,11-04-2014,"Pillar Point","San Francisco State University"," --- ","Sea mussel - Mytilus spp.","Squares per ¼ m² (max 25)",20.5,10,7.07,2.24,"[16.12,24.88]","{25,11,24,22,25,23,25,25,3,22}",None
03-17-2015,03-17-2015,"Pillar Point","Piedmont High School"," --- ","Sea mussel - Mytilus spp.","Squares per ¼ m² (max 25)",18.33,9,9.36,3.12,"[12.22,24.45]","{24,25,1,12,25,25,25,24,4}",None
04-23-2015,04-23-2015,"Pillar Point","Piedmont High School"," --- ","Sea mussel - Mytilus spp.","Squares per ¼ m² (max 25)",15.6,10,9.17,2.9,"[9.92,21.28]","{4,25,18,1,23,18,3,14,25,25}",None
02-05-2016,02-05-2016,"Pillar Point","Farallones Marine Sanctuary Association"," --- ","Sea mussel - Mytilus spp.","Squares per ¼ m² (max 25)",23,11,6.02,1.81,"[19.45,26.55]","{25,25,4,25,25,25,25,24,25,25,25}",None
05-11-2016,05-11-2016,"Pillar Point","The Urban School"," --- ","Sea mussel - Mytilus spp.","Squares per ¼ m² (max 25)",21.46,13,6.05,1.68,"[18.17,24.75]","{25,25,25,25,25,22,25,25,16,23,25,13,5}",None
11-28-2016,11-28-2016,"Pillar Point","The Nueva School - San Mateo Campus"," --- ","Sea mussel - Mytilus spp.","Squares per ¼ m² (max 25)",9.2,5,9.45,4.23,"[0.91,17.49]","{7,25,14,0,0}","Both Teacher and Coordinator"
04-28-2017,04-28-2017,"Pillar Point","The Urban School"," --- ","Sea mussel - Mytilus spp.","Squares per ¼ m² (max 25)",15.5,10,9.97,3.15,"[9.32,21.68]","{25,3,11,1,18,25,25,1,21,25}",None
04-19-2018,04-19-2018,"Pillar Point","Drew School"," --- ","Sea mussel - Mytilus spp.","Squares per ¼ m² (max 25)",19.2,20,8.8,1.97,"[15.35,23.05]","{25,25,25,25,0,14,4,25,25,5,21,6,25,25,25,9,25,25,25,25}","Both Teacher and Coordinator"
05-18-2018,05-18-2018,"Pillar Point","The Urban School"," --- ","Sea mussel - Mytilus spp.","Squares per ¼ m² (max 25)",18,10,8.63,2.73,"[12.65,23.35]","{25,17,5,6,25,25,25,25,5,22}","Both Teacher and Coordinator"
03-16-2019,03-16-2019-RIM,"Pillar Point","GFA LiMPETS Teacher Workshop"," --- ","Sea mussel - Mytilus spp.","Squares per ¼ m² (max 25)",25,3,0,0,"[25,25]","{25,25,25}","Both Teacher and Coordinator"
05-10-2019,05-10-2019-RIM,"Pillar Point","Jewish Community High School"," --- ","Sea mussel - Mytilus spp.","Squares per ¼ m² (max 25)",20.91,11,7.2,2.17,"[16.65,25.17]","{25,25,25,25,2,11,25,23,24,20,25}","Both Teacher and Coordinator"
02-06-2020,02-06-2020,"Pillar Point","Menlo-Atherton High School"," --- ","Sea mussel - Mytilus spp.","Squares per ¼ m² (max 25)",20.5,4,5.32,2.66,"[15.29,25.71]","{12,25,25,20}","Both Teacher and Coordinator"
04-07-2021,04-07-2021,"Pillar Point",GFA," --- ","Sea mussel - Mytilus spp.","Squares per ¼ m² (max 25)",24,5,0.89,0.4,"[23.22,24.78]","{23,24,25,25,23}","Both Teacher and Coordinator"
03-23-2022,03-23-2022,"Pillar Point","Menlo-Atherton High School"," --- ","Sea mussel - Mytilus spp.","Squares per ¼ m² (max 25)",15.13,8,10.19,3.6,"[8.06,22.19]","{24,22,24,,7,24,20,}","Both Teacher and Coordinator"
03-24-2022,03-24-2022,"Pillar Point","Menlo-Atherton High School"," --- ","Sea mussel - Mytilus spp.","Squares per ¼ m² (max 25)",22.65,20,4.11,0.92,"[20.85,24.45]","{25,21,25,25,10,24,13,25,25,25,25,25,24,25,21,24,22,25,25,19}","Both Teacher and Coordinator"
02-03-2023,02-03-2023,"Pillar Point","Half Moon Bay High School"," --- ","Sea mussel - Mytilus spp.","Squares per ¼ m² (max 25)",5.58,12,6.22,1.8,"[2.06,9.11]","{6,0,8,4,7,0,23,11,2,4,2,0}","Only Coordinator"
03-15-2023,03-15-2023,"Pillar Point","Menlo-Atherton High School"," --- ","Sea mussel - Mytilus spp.","Squares per ¼ m² (max 25)",18.69,16,8.41,2.1,"[14.57,22.81]","{25,12,17,25,25,25,24,25,8,3,25,0,25,25,14,21}",None
03-27-2023,03-27-2023,"Pillar Point","Menlo-Atherton High School"," --- ","Sea mussel - Mytilus spp.","Squares per ¼ m² (max 25)",25,8,0,0,"[25,25]","{25,25,25,25,25,25,25,25}",None
04-01-2024,04-01-2024,"Pillar Point","Menlo-Atherton High School"," --- ","Sea mussel - Mytilus spp.","Squares per ¼ m² (max 25)",18.76,17,8.13,1.97,"[14.9,22.63]","{24,6,,10,25,25,23,24,15,25,25,16,6,25,20,25,25}","Both Teacher and Coordinator"
04-02-2024,04-02-2024,"Pillar Point","Menlo-Atherton High School"," --- ","Sea mussel - Mytilus spp.","Squares per ¼ m² (max 25)",20.67,15,5.3,1.37,"[17.98,23.35]","{25,21,25,25,14,25,13,9,25,18,16,25,25,25,19}","Both Teacher and Coordinator"
