Date,EventID,Site,School,Zone,Organism,Unit,"0 Meters","1 Meters","2 Meters","3 Meters","4 Meters","5 Meters","6 Meters","7 Meters","8 Meters","9 Meters","10 Meters","11 Meters","12 Meters","Checked By"
04-24-2011,04-24-2011,"Point Pinos","California State University, Stanislaus"," --- ","Sea mussel - Mytilus spp.","Squares per ¼ m² (max 25)",0,,1,23,25,22.67,20,25,0,0,0,,0,None
05-10-2011,05-10-2011,"Point Pinos","Pacific Grove High School"," --- ","Sea mussel - Mytilus spp.","Squares per ¼ m² (max 25)",,20,1,,25,18,22,25,,,,,,None
05-11-2011,05-11-2011,"Point Pinos","Pacific Grove High School"," --- ","Sea mussel - Mytilus spp.","Squares per ¼ m² (max 25)",5,21,1,23,25,22,22,25,1,2,,,,None
01-21-2012,01-21-2012,"Point Pinos","Pacific Grove Museum of Natural History"," --- ","Sea mussel - Mytilus spp.","Squares per ¼ m² (max 25)",0,19,2,25,25,21,25,25,20,,,,,None
03-07-2012,03-07-2012,"Point Pinos","Monterey Peninsula College"," --- ","Sea mussel - Mytilus spp.","Squares per ¼ m² (max 25)",0,,,24,25,25,23,25,9,,1,,,None
03-09-2012,03-09-2012,"Point Pinos","Monterey Peninsula College"," --- ","Sea mussel - Mytilus spp.","Squares per ¼ m² (max 25)",0,22,0,14,23,24,21,25,14,1,0,0,,None
04-11-2012,04-11-2012,"Point Pinos","Marina High School"," --- ","Sea mussel - Mytilus spp.","Squares per ¼ m² (max 25)",0,21,0,23,23,,24,,17,1,0,0,0,None
05-10-2012,05-10-2012,"Point Pinos","St. Mary's Gilroy"," --- ","Sea mussel - Mytilus spp.","Squares per ¼ m² (max 25)",,23,0,18,22,20,20,23,8,1,0,0,0,None
06-06-2012,06-06-2012,"Point Pinos","Pacific Grove Museum of Natural History"," --- ","Sea mussel - Mytilus spp.","Squares per ¼ m² (max 25)",0,22,1,20,23,23,23,25,12,4,0,0,0,None
12-11-2012,12-11-2012,"Point Pinos","Pacific Grove Museum of Natural History"," --- ","Sea mussel - Mytilus spp.","Squares per ¼ m² (max 25)",0,,,23,25,24,25,,,0,,,,None
02-09-2013,02-09-2013,"Point Pinos","Pacific Grove Museum of Natural History"," --- ","Sea mussel - Mytilus spp.","Squares per ¼ m² (max 25)",0,19,3,24,25,24,23,25,11,0,0,0,0,None
03-07-2013,03-07-2013,"Point Pinos","Pacific Grove Museum of Natural History"," --- ","Sea mussel - Mytilus spp.","Squares per ¼ m² (max 25)",0,18,1,18,25,25,23,23,1,7,,0,,None
11-19-2013,11-19-2013,"Point Pinos","Santa Catalina School"," --- ","Sea mussel - Mytilus spp.","Squares per ¼ m² (max 25)",0,,0,,,22,,15,0,,0,,,None
01-11-2014,01-11-2014,"Point Pinos","Pacific Grove Museum of Natural History"," --- ","Sea mussel - Mytilus spp.","Squares per ¼ m² (max 25)",1,18,2,23,25,25,24,25,25,,,,,None
01-28-2014,01-28-2014,"Point Pinos","Big Sur Charter School"," --- ","Sea mussel - Mytilus spp.","Squares per ¼ m² (max 25)",0,22,,21,25,,0,25,,20,,,25,None
02-25-2014,02-25-2014,"Point Pinos","Big Sur Charter School"," --- ","Sea mussel - Mytilus spp.","Squares per ¼ m² (max 25)",2,,,23,25,,22,17,,0,,,0,None
04-22-2014,04-22-2014,"Point Pinos","Pacific Grove Museum of Natural History"," --- ","Sea mussel - Mytilus spp.","Squares per ¼ m² (max 25)",2,18,3,18,25,24,17,19,0,1,,,,None
04-24-2014,04-24-2014,"Point Pinos","Monterey County Home Charter School"," --- ","Sea mussel - Mytilus spp.","Squares per ¼ m² (max 25)",,,2,,25,25,21,,0,,0,,,None
05-19-2014,05-19-2014,"Point Pinos","Pacific Grove Museum of Natural History"," --- ","Sea mussel - Mytilus spp.","Squares per ¼ m² (max 25)",0,5,19,,25,22,24,25,17,0,3,,0,None
07-16-2014,07-16-2014,"Point Pinos","Camp SEA Lab"," --- ","Sea mussel - Mytilus spp.","Squares per ¼ m² (max 25)",0,17,0,22,25,22,25,,,6,0,0,,None
02-16-2015,02-16-2015,"Point Pinos","Glacier High School"," --- ","Sea mussel - Mytilus spp.","Squares per ¼ m² (max 25)",,24,2,24,25,,25,25,10,3,3,1,0,None
03-29-2015,03-29-2015,"Point Pinos","CSU Stanislaus"," --- ","Sea mussel - Mytilus spp.","Squares per ¼ m² (max 25)",0,,2,,25,,24,,18,,,,,None
07-20-2015,07-20-2015,"Point Pinos","Pacific Grove Museum of Natural History"," --- ","Sea mussel - Mytilus spp.","Squares per ¼ m² (max 25)",0,11,7,21,25,25,25,25,12.5,4,0,,,None
10-25-2015,10-25-2015,"Point Pinos","Pacific Grove Museum of Natural History"," --- ","Sea mussel - Mytilus spp.","Squares per ¼ m² (max 25)",0,6,4.5,16.67,25,25,25,25,,25,,,,None
02-06-2016,02-06-2016,"Point Pinos","PG Museum of Natural History"," --- ","Sea mussel - Mytilus spp.","Squares per ¼ m² (max 25)",,,,9,25,25,25,25,,,,,,None
03-19-2016,03-19-2016,"Point Pinos","California State University, Stanislaus"," --- ","Sea mussel - Mytilus spp.","Squares per ¼ m² (max 25)",1,,6,21,25,0,12,,,,,,,None
07-04-2016,07-04-2016-A,"Point Pinos","Camp SEA Lab"," --- ","Sea mussel - Mytilus spp.","Squares per ¼ m² (max 25)",,7,7,0,25,13,24,,18,25,1,5,8,None
06-26-2017,06-26-2017,"Point Pinos","Camp SEA Lab"," --- ","Sea mussel - Mytilus spp.","Squares per ¼ m² (max 25)",0,20,0,24,22,23,25,25,25,25,4,20,1,None
01-30-2018,01-30-2018,"Point Pinos","Seaside High School"," --- ","Sea mussel - Mytilus spp.","Squares per ¼ m² (max 25)",,,,,25,,,,,23,23,,2,"Both Teacher and Coordinator"
01-31-2018,01-31-2018,"Point Pinos","Stevenson School"," --- ","Sea mussel - Mytilus spp.","Squares per ¼ m² (max 25)",,,,,25,,,,,,20,3,1,"Only Coordinator"
03-25-2018,03-25-2018,"Point Pinos","CSU Stanislaus"," --- ","Sea mussel - Mytilus spp.","Squares per ¼ m² (max 25)",0,21,1,17,25,14,25,25,25,21,25,6,,"Only Coordinator"
07-04-2018,07-04-2018,"Point Pinos","Camp SEA Lab"," --- ","Sea mussel - Mytilus spp.","Squares per ¼ m² (max 25)",,,7,0,25,13,24,,18,25,1,5,8,None
07-04-2018,07-04-2018,"Point Pinos","Camp SEA Lab"," --- ","Sea mussel - Mytilus spp.","Squares per ¼ m² (max 25)",,7,,,,,,24,,,,,,None
11-06-2018,11-06-2018,"Point Pinos","Seaside High School"," --- ","Sea mussel - Mytilus spp.","Squares per ¼ m² (max 25)",0,,11,18,25,,25,,23,,25,,,"Only Coordinator"
01-31-2019,01-31-2019,"Point Pinos","Glacier High School"," --- ","Sea mussel - Mytilus spp.","Squares per ¼ m² (max 25)",0,19,2,23,25,6,,25,,,,,,"Only Coordinator"
03-29-2019,03-29-2019,"Point Pinos","Watsonville High School"," --- ","Sea mussel - Mytilus spp.","Squares per ¼ m² (max 25)",0,20,0,24,25,24,25,21,,,,,,"Both Teacher and Coordinator"
04-02-2019,04-02-2019,"Point Pinos","CSU Stanislaus"," --- ","Sea mussel - Mytilus spp.","Squares per ¼ m² (max 25)",0,11,20,0,25,25,24,21,20,15,22,,,"Only Coordinator"
03-10-2020,03-10-2020,"Point Pinos","CSU Stanislaus"," --- ","Sea mussel - Mytilus spp.","Squares per ¼ m² (max 25)",0,11,0,12,24,25,,24.5,13.5,,,,25,"Both Teacher and Coordinator"
