Date,EventID,Site,School,Zone,Organism,Unit,Area,"Start Time","Count Length",Count,"Count per 10 m²","Checked By"
04-11-2009,04-11-2009,"Almar Avenue",UCSC," --- ","Ochre sea star (Orange) - Pisaster ochraceus","Total individual count","Sea Star Area (250 m²)","7:40 AM",18,22,0.88,None
04-11-2009,04-11-2009,"Almar Avenue",UCSC," --- ","Ochre sea star (Orange) - Pisaster ochraceus","Total individual count","Sea Star Area (250 m²)","7:40 AM",18,25,1.00,None
04-11-2009,04-11-2009,"Almar Avenue",UCSC," --- ","Ochre sea star (Orange) - Pisaster ochraceus","Total individual count","Sea Star Area (250 m²)","7:40 AM",18,25,1.00,None
04-11-2009,04-11-2009,"Almar Avenue",UCSC," --- ","Ochre sea star (Orange) - Pisaster ochraceus","Total individual count","Sea Star Area (250 m²)","7:40 AM",20,18,0.72,None
11-01-2009,11-01-2009,"Almar Avenue","Pacific Collegiate School"," --- ","Ochre sea star (Orange) - Pisaster ochraceus","Total individual count","Sea Star Area (250 m²)","3:00 PM",20,21,0.84,None
11-02-2009,11-02-2009,"Almar Avenue","Pacific Collegiate School"," --- ","Ochre sea star (Orange) - Pisaster ochraceus","Total individual count","Sea Star Area (250 m²)","4:30 PM",30,19,0.76,None
11-03-2009,11-03-2009,"Almar Avenue","Pacific Collegiate School"," --- ","Ochre sea star (Orange) - Pisaster ochraceus","Total individual count","Sea Star Area (250 m²)","3:35 PM",145,29,1.16,None
11-14-2009,11-14-2009,"Almar Avenue",UCSC," --- ","Ochre sea star (Orange) - Pisaster ochraceus","Total individual count","Sea Star Area (250 m²)","3:45 PM",40,25,1.00,None
11-14-2009,11-14-2009,"Almar Avenue",UCSC," --- ","Ochre sea star (Orange) - Pisaster ochraceus","Total individual count","Sea Star Area (250 m²)","3:00 PM",30,18,0.72,None
10-25-2011,10-25-2011,"Almar Avenue","Pacific Collegiate School"," --- ","Ochre sea star (Orange) - Pisaster ochraceus","Total individual count","Sea Star Area (250 m²)","3:00 PM",15,11,0.44,None
02-06-2012,02-06-2012,"Almar Avenue","Pacific Collegiate School"," --- ","Ochre sea star (Orange) - Pisaster ochraceus","Total individual count","Sea Star Area (250 m²)","3:12 PM",18,6,0.24,None
03-12-2012,03-12-2012,"Almar Avenue","Pacific Collegiate School"," --- ","Ochre sea star (Orange) - Pisaster ochraceus","Total individual count","Sea Star Area (250 m²)","3:15 PM",15,5,0.20,None
06-22-2012,06-22-2012,"Almar Avenue","Pacific Grove Museum of Natural History"," --- ","Ochre sea star (Orange) - Pisaster ochraceus","Total individual count","Sea Star Area (250 m²)","7:40 AM",20,7,0.28,None
03-21-2013,03-21-2013,"Almar Avenue","Spring Hill School"," --- ","Ochre sea star (Orange) - Pisaster ochraceus","Total individual count","Sea Star Area (250 m²)","2:00 PM",30,3,0.12,None
04-30-2013,04-30-2013,"Almar Avenue",UCSC," --- ","Ochre sea star (Orange) - Pisaster ochraceus","Total individual count","Sea Star Area (250 m²)","10:05 AM",15,5,0.20,None
04-30-2013,04-30-2013,"Almar Avenue","St. Mary's Gilroy"," --- ","Ochre sea star (Orange) - Pisaster ochraceus","Total individual count","Sea Star Area (250 m²)","10:00 AM",45,15,0.60,None
08-08-2013,08-08-2013,"Almar Avenue","Camp SEA Lab"," --- ","Ochre sea star (Orange) - Pisaster ochraceus","Total individual count","Sea Star Area (250 m²)","6:00 AM",35,17,0.68,None
08-08-2013,08-08-2013,"Almar Avenue","Camp SEA Lab"," --- ","Ochre sea star (Orange) - Pisaster ochraceus","Total individual count","Sea Star Area (250 m²)","7:15 AM",36,14,0.56,None
01-27-2014,01-27-2014,"Almar Avenue",UCSC," --- ","Ochre sea star (Orange) - Pisaster ochraceus","Total individual count","Sea Star Area (250 m²)","4:00 PM",15,0,0.00,None
03-25-2014,03-25-2014,"Almar Avenue","St. Mary's Gilroy"," --- ","Ochre sea star (Orange) - Pisaster ochraceus","Total individual count","Sea Star Area (250 m²)","12:17 PM",38,0,0.00,"Only Coordinator"
04-03-2014,04-03-2014,"Almar Avenue","Santa Cruz Montessori School"," --- ","Ochre sea star (Orange) - Pisaster ochraceus","Total individual count","Sea Star Area (250 m²)","8:46 AM",15,0,0.00,None
04-22-2014,04-22-2014,"Almar Avenue","MBNMS Exploration Center"," --- ","Ochre sea star (Orange) - Pisaster ochraceus","Total individual count","Sea Star Area (250 m²)","11:20 AM",25,1,0.04,None
07-15-2014,07-15-2014,"Almar Avenue","MBNMS Exploration Center"," --- ","Ochre sea star (Orange) - Pisaster ochraceus","Total individual count","Sea Star Area (250 m²)","8:40 AM",20,0,0.00,None
12-05-2014,12-05-2014,"Almar Avenue","MBNMS Exploration Center"," --- ","Ochre sea star (Orange) - Pisaster ochraceus","Total individual count","Sea Star Area (250 m²)","3:40 PM",30,1,0.04,None
04-23-2015,04-23-2015,"Almar Avenue","St. Mary's Gilroy"," --- ","Ochre sea star (Orange) - Pisaster ochraceus","Total individual count","Sea Star Area (250 m²)","9:40 AM",120,0,0.00,None
06-07-2015,06-07-2015,"Almar Avenue","MBNMS Exploration Center"," --- ","Ochre sea star (Orange) - Pisaster ochraceus","Total individual count","Sea Star Area (250 m²)","9:20 AM",25,0,0.00,None
05-02-2016,05-02-2016,"Almar Avenue","Mission College"," --- ","Ochre sea star (Orange) - Pisaster ochraceus","Total individual count","Sea Star Area (250 m²)","3:00 PM",20,1,0.04,None
05-12-2016,05-12-2016,"Almar Avenue","St. Mary's Gilroy"," --- ","Ochre sea star (Orange) - Pisaster ochraceus","Total individual count","Sea Star Area (250 m²)","10:15 AM",120,5,0.20,None
04-24-2018,04-24-2018,"Almar Avenue","St. Mary's Gilroy"," --- ","Ochre sea star (Orange) - Pisaster ochraceus","Total individual count","Sea Star Area (250 m²)","12:00 AM",0,3,0.12,"Both Teacher and Coordinator"
05-21-2018,05-21-2018,"Almar Avenue","Menlo-Atherton High School"," --- ","Ochre sea star (Orange) - Pisaster ochraceus","Total individual count","Sea Star Area (250 m²)","12:00 AM",0,0,0.00,"Only Coordinator"
05-04-2019,05-04-2019,"Almar Avenue","UCSC Cal Nat"," --- ","Ochre sea star (Orange) - Pisaster ochraceus","Total individual count","Sea Star Area (250 m²)","7:07 AM",15,2,0.08,"Only Coordinator"
01-23-2020,01-23-2020,"Almar Avenue","Pacific Grove Museum of Natural History"," --- ","Ochre sea star (Orange) - Pisaster ochraceus","Total individual count","Sea Star Area (250 m²)","12:00 AM",30,11,0.44,"Both Teacher and Coordinator"
02-05-2020,02-05-2020,"Almar Avenue","Delta High School"," --- ","Ochre sea star (Orange) - Pisaster ochraceus","Total individual count","Sea Star Area (250 m²)","12:00 AM",10,0,0.00,"Both Teacher and Coordinator"
02-05-2020,02-05-2020,"Almar Avenue","Delta High School"," --- ","Ochre sea star (Orange) - Pisaster ochraceus","Total individual count","Sea Star Area (250 m²)","12:00 AM",10,0,0.00,"Both Teacher and Coordinator"
03-24-2021,03-24-2021,"Almar Avenue","Pacific Grove Museum of Natural History"," --- ","Ochre sea star (Orange) - Pisaster ochraceus","Total individual count","Sea Star Area (250 m²)","3:15 AM",30,1,0.04,"Both Teacher and Coordinator"
04-21-2022,04-21-2022,"Almar Avenue","Coast Redwood High School"," --- ","Ochre sea star (Orange) - Pisaster ochraceus","Total individual count","Sea Star Area (250 m²)","12:00 AM",0,1,0.04,"Both Teacher and Coordinator"
04-11-2009,04-11-2009,"Almar Avenue",UCSC," --- ","Ochre sea star (Purple/Brown) - Pisaster ochraceus","Total individual count","Sea Star Area (250 m²)","7:40 AM",18,67,2.68,None
04-11-2009,04-11-2009,"Almar Avenue",UCSC," --- ","Ochre sea star (Purple/Brown) - Pisaster ochraceus","Total individual count","Sea Star Area (250 m²)","7:40 AM",18,43,1.72,None
04-11-2009,04-11-2009,"Almar Avenue",UCSC," --- ","Ochre sea star (Purple/Brown) - Pisaster ochraceus","Total individual count","Sea Star Area (250 m²)","7:40 AM",18,24,0.96,None
04-11-2009,04-11-2009,"Almar Avenue",UCSC," --- ","Ochre sea star (Purple/Brown) - Pisaster ochraceus","Total individual count","Sea Star Area (250 m²)","7:40 AM",20,48,1.92,None
11-01-2009,11-01-2009,"Almar Avenue","Pacific Collegiate School"," --- ","Ochre sea star (Purple/Brown) - Pisaster ochraceus","Total individual count","Sea Star Area (250 m²)","3:00 PM",20,83,3.32,None
11-02-2009,11-02-2009,"Almar Avenue","Pacific Collegiate School"," --- ","Ochre sea star (Purple/Brown) - Pisaster ochraceus","Total individual count","Sea Star Area (250 m²)","4:30 PM",30,50,2.00,None
11-03-2009,11-03-2009,"Almar Avenue","Pacific Collegiate School"," --- ","Ochre sea star (Purple/Brown) - Pisaster ochraceus","Total individual count","Sea Star Area (250 m²)","3:35 PM",145,57,2.28,None
11-14-2009,11-14-2009,"Almar Avenue",UCSC," --- ","Ochre sea star (Purple/Brown) - Pisaster ochraceus","Total individual count","Sea Star Area (250 m²)","3:45 PM",40,81,3.24,None
11-14-2009,11-14-2009,"Almar Avenue",UCSC," --- ","Ochre sea star (Purple/Brown) - Pisaster ochraceus","Total individual count","Sea Star Area (250 m²)","3:00 PM",30,55,2.20,None
10-25-2011,10-25-2011,"Almar Avenue","Pacific Collegiate School"," --- ","Ochre sea star (Purple/Brown) - Pisaster ochraceus","Total individual count","Sea Star Area (250 m²)","3:00 PM",15,46,1.84,None
02-06-2012,02-06-2012,"Almar Avenue","Pacific Collegiate School"," --- ","Ochre sea star (Purple/Brown) - Pisaster ochraceus","Total individual count","Sea Star Area (250 m²)","3:12 PM",18,10,0.40,None
03-12-2012,03-12-2012,"Almar Avenue","Pacific Collegiate School"," --- ","Ochre sea star (Purple/Brown) - Pisaster ochraceus","Total individual count","Sea Star Area (250 m²)","3:15 PM",15,36,1.44,None
06-22-2012,06-22-2012,"Almar Avenue","Pacific Grove Museum of Natural History"," --- ","Ochre sea star (Purple/Brown) - Pisaster ochraceus","Total individual count","Sea Star Area (250 m²)","7:40 AM",20,24,0.96,None
03-21-2013,03-21-2013,"Almar Avenue","Spring Hill School"," --- ","Ochre sea star (Purple/Brown) - Pisaster ochraceus","Total individual count","Sea Star Area (250 m²)","2:00 PM",30,20,0.80,None
