Date,EventID,Site,School,Zone,Organism,Unit,Area,"Start Time","Count Length",Count,"Count per 10 m²","Checked By"
05-10-2012,05-10-2012,"Carmel Point","Santa Catalina School"," --- ","Ochre sea star (Purple/Brown) - Pisaster ochraceus","Total individual count","Delineated area 1 (65 m²)","10:00 AM",25,4,0.62,None
05-11-2012,05-11-2012,"Carmel Point","Santa Catalina School"," --- ","Ochre sea star (Purple/Brown) - Pisaster ochraceus","Total individual count","Delineated area 1 (65 m²)","8:45 AM",15,2,0.31,None
12-02-2013,12-02-2013,"Carmel Point","Pacific Grove Museum of Natural History"," --- ","Ochre sea star (Purple/Brown) - Pisaster ochraceus","Total individual count","Delineated area 1 (65 m²)","3:30 PM",20,4,0.62,None
02-12-2014,02-12-2014,"Carmel Point","Pacific Grove Museum of Natural History"," --- ","Ochre sea star (Purple/Brown) - Pisaster ochraceus","Total individual count","Delineated area 1 (65 m²)","4:12 PM",12,0,0.00,None
04-04-2014,04-04-2014,"Carmel Point","North Monterey County High School"," --- ","Ochre sea star (Purple/Brown) - Pisaster ochraceus","Total individual count","Delineated area 1 (65 m²)","10:00 AM",20,1,0.15,None
07-14-2014,07-14-2014,"Carmel Point","Camp SEA Lab"," --- ","Ochre sea star (Purple/Brown) - Pisaster ochraceus","Total individual count","Delineated area 1 (65 m²)","7:42 AM",10,0,0.00,None
09-06-2017,09-06-2017,"Carmel Point",CSUMB," --- ","Ochre sea star (Purple/Brown) - Pisaster ochraceus","Total individual count","Delineated area 1 (65 m²)","7:15 AM",13,0,0.00,"Both Teacher and Coordinator"
01-09-2020,01-09-2020,"Carmel Point","Pacific Grove Museum of Natural History"," --- ","Ochre sea star (Purple/Brown) - Pisaster ochraceus","Total individual count","Delineated area 1 (65 m²)","12:00 AM",25,0,0.00,"Both Teacher and Coordinator"
01-09-2020,01-09-2020,"Carmel Point","Pacific Grove Museum of Natural History"," --- ","Ochre sea star (Purple/Brown) - Pisaster ochraceus","Total individual count","Delineated area 1 (65 m²)","12:00 AM",25,0,0.00,"Both Teacher and Coordinator"
08-04-2020,08-04-2020,"Carmel Point","Pacific Grove Museum of Natural History"," --- ","Ochre sea star (Purple/Brown) - Pisaster ochraceus","Total individual count","Delineated area 1 (65 m²)","7:00 AM",20,1,0.15,"Both Teacher and Coordinator"
08-04-2020,08-04-2020,"Carmel Point","Pacific Grove Museum of Natural History"," --- ","Ochre sea star (Purple/Brown) - Pisaster ochraceus","Total individual count","Delineated area 1 (65 m²)","7:00 AM",20,1,0.15,"Both Teacher and Coordinator"
03-26-2021,03-26-2021,"Carmel Point","Pacific Grove Museum of Natural History"," --- ","Ochre sea star (Purple/Brown) - Pisaster ochraceus","Total individual count","Delineated area 1 (65 m²)","4:45 AM",20,1,0.15,"Both Teacher and Coordinator"
03-26-2021,03-26-2021,"Carmel Point","Pacific Grove Museum of Natural History"," --- ","Ochre sea star (Purple/Brown) - Pisaster ochraceus","Total individual count","Delineated area 1 (65 m²)","4:20 AM",20,0,0.00,"Both Teacher and Coordinator"
05-10-2012,05-10-2012,"Carmel Point","Santa Catalina School"," --- ","Ochre sea star (Orange) - Pisaster ochraceus","Total individual count","Delineated area 1 (65 m²)","10:00 AM",25,10,1.54,None
05-11-2012,05-11-2012,"Carmel Point","Santa Catalina School"," --- ","Ochre sea star (Orange) - Pisaster ochraceus","Total individual count","Delineated area 1 (65 m²)","8:45 AM",15,4,0.62,None
12-02-2013,12-02-2013,"Carmel Point","Pacific Grove Museum of Natural History"," --- ","Ochre sea star (Orange) - Pisaster ochraceus","Total individual count","Delineated area 1 (65 m²)","3:30 PM",20,2,0.31,None
02-12-2014,02-12-2014,"Carmel Point","Pacific Grove Museum of Natural History"," --- ","Ochre sea star (Orange) - Pisaster ochraceus","Total individual count","Delineated area 1 (65 m²)","4:12 PM",12,0,0.00,None
04-04-2014,04-04-2014,"Carmel Point","North Monterey County High School"," --- ","Ochre sea star (Orange) - Pisaster ochraceus","Total individual count","Delineated area 1 (65 m²)","10:00 AM",20,0,0.00,None
07-14-2014,07-14-2014,"Carmel Point","Camp SEA Lab"," --- ","Ochre sea star (Orange) - Pisaster ochraceus","Total individual count","Delineated area 1 (65 m²)","7:42 AM",10,0,0.00,None
09-06-2017,09-06-2017,"Carmel Point",CSUMB," --- ","Ochre sea star (Orange) - Pisaster ochraceus","Total individual count","Delineated area 1 (65 m²)","7:15 AM",13,0,0.00,"Both Teacher and Coordinator"
01-09-2020,01-09-2020,"Carmel Point","Pacific Grove Museum of Natural History"," --- ","Ochre sea star (Orange) - Pisaster ochraceus","Total individual count","Delineated area 1 (65 m²)","12:00 AM",25,2,0.31,"Both Teacher and Coordinator"
01-09-2020,01-09-2020,"Carmel Point","Pacific Grove Museum of Natural History"," --- ","Ochre sea star (Orange) - Pisaster ochraceus","Total individual count","Delineated area 1 (65 m²)","12:00 AM",25,0,0.00,"Both Teacher and Coordinator"
08-04-2020,08-04-2020,"Carmel Point","Pacific Grove Museum of Natural History"," --- ","Ochre sea star (Orange) - Pisaster ochraceus","Total individual count","Delineated area 1 (65 m²)","7:00 AM",20,0,0.00,"Both Teacher and Coordinator"
08-04-2020,08-04-2020,"Carmel Point","Pacific Grove Museum of Natural History"," --- ","Ochre sea star (Orange) - Pisaster ochraceus","Total individual count","Delineated area 1 (65 m²)","7:00 AM",20,0,0.00,"Both Teacher and Coordinator"
03-26-2021,03-26-2021,"Carmel Point","Pacific Grove Museum of Natural History"," --- ","Ochre sea star (Orange) - Pisaster ochraceus","Total individual count","Delineated area 1 (65 m²)","4:45 AM",20,0,0.00,"Both Teacher and Coordinator"
03-26-2021,03-26-2021,"Carmel Point","Pacific Grove Museum of Natural History"," --- ","Ochre sea star (Orange) - Pisaster ochraceus","Total individual count","Delineated area 1 (65 m²)","4:20 AM",20,0,0.00,"Both Teacher and Coordinator"
