Date,EventID,Site,School,Zone,Organism,Unit,Area,"Start Time","Count Length",Count,"Count per 10 m²","Checked By"
12-12-2012,12-12-2012,"Coal Oil Point","Channel Islands National Marine Sanctuary"," --- ","Ochre sea star (Purple/Brown) - Pisaster ochraceus","Total individual count","Sea Star Area (1000 m²)","3:45 PM",30,30,0.30,None
06-27-2013,06-27-2013,"Coal Oil Point","Channel Islands National Marine Sanctuary"," --- ","Ochre sea star (Purple/Brown) - Pisaster ochraceus","Total individual count","Sea Star Area (1000 m²)","8:15 AM",30,63,0.63,None
06-27-2013,06-27-2013,"Coal Oil Point","Channel Islands National Marine Sanctuary"," --- ","Ochre sea star (Purple/Brown) - Pisaster ochraceus","Total individual count","Sea Star Area (1000 m²)","9:30 AM",30,40,0.40,None
11-19-2013,11-19-2013,"Coal Oil Point","Channel Islands National Marine Sanctuary"," --- ","Ochre sea star (Purple/Brown) - Pisaster ochraceus","Total individual count","Sea Star Area (1000 m²)","4:00 PM",30,67,0.67,None
01-31-2014,01-31-2014,"Coal Oil Point","Channel Islands National Marine Sanctuary"," --- ","Ochre sea star (Purple/Brown) - Pisaster ochraceus","Total individual count","Sea Star Area (1000 m²)","5:00 PM",25,0,0.00,None
12-11-2016,12-11-2016,"Coal Oil Point","Channel Islands National Marine Sanctuary"," --- ","Ochre sea star (Purple/Brown) - Pisaster ochraceus","Total individual count","Sea Star Area (1000 m²)","12:00 AM",0,1,0.01,None
05-12-2019,05-12-2019,"Coal Oil Point","Dos Pueblos High School"," --- ","Ochre sea star (Purple/Brown) - Pisaster ochraceus","Total individual count","Sea Star Area (1000 m²)","11:10 AM",20,0,0.00,None
12-12-2012,12-12-2012,"Coal Oil Point","Channel Islands National Marine Sanctuary"," --- ","Ochre sea star (Orange) - Pisaster ochraceus","Total individual count","Sea Star Area (1000 m²)","3:45 PM",30,15,0.15,None
06-27-2013,06-27-2013,"Coal Oil Point","Channel Islands National Marine Sanctuary"," --- ","Ochre sea star (Orange) - Pisaster ochraceus","Total individual count","Sea Star Area (1000 m²)","8:15 AM",30,29,0.29,None
06-27-2013,06-27-2013,"Coal Oil Point","Channel Islands National Marine Sanctuary"," --- ","Ochre sea star (Orange) - Pisaster ochraceus","Total individual count","Sea Star Area (1000 m²)","9:30 AM",30,12,0.12,None
11-19-2013,11-19-2013,"Coal Oil Point","Channel Islands National Marine Sanctuary"," --- ","Ochre sea star (Orange) - Pisaster ochraceus","Total individual count","Sea Star Area (1000 m²)","4:00 PM",30,16,0.16,None
01-31-2014,01-31-2014,"Coal Oil Point","Channel Islands National Marine Sanctuary"," --- ","Ochre sea star (Orange) - Pisaster ochraceus","Total individual count","Sea Star Area (1000 m²)","5:00 PM",25,0,0.00,None
12-11-2016,12-11-2016,"Coal Oil Point","Channel Islands National Marine Sanctuary"," --- ","Ochre sea star (Orange) - Pisaster ochraceus","Total individual count","Sea Star Area (1000 m²)","12:00 AM",0,0,0.00,None
05-12-2019,05-12-2019,"Coal Oil Point","Dos Pueblos High School"," --- ","Ochre sea star (Orange) - Pisaster ochraceus","Total individual count","Sea Star Area (1000 m²)","11:10 AM",20,0,0.00,None
