Date,EventID,Site,School,Zone,Organism,Unit,Area,"Start Time","Count Length",Count,"Count per 10 m²","Checked By"
06-26-2009,06-26-2009,"Davenport Landing",UCSC," --- ","Ochre sea star (Orange) - Pisaster ochraceus","Total individual count","Sea Star Count Area (100 m²)","8:10 AM",0,11,1.10,None
07-27-2010,07-27-2010,"Davenport Landing",UCSC," --- ","Ochre sea star (Orange) - Pisaster ochraceus","Total individual count","Sea Star Count Area (100 m²)","7:00 AM",5,3,0.30,None
08-03-2010,08-03-2010,"Davenport Landing",UCSC," --- ","Ochre sea star (Orange) - Pisaster ochraceus","Total individual count","Sea Star Count Area (100 m²)","7:00 PM",5,6,0.60,None
08-11-2010,08-11-2010,"Davenport Landing",UCSC," --- ","Ochre sea star (Orange) - Pisaster ochraceus","Total individual count","Sea Star Count Area (100 m²)","5:00 AM",5,14,1.40,None
09-10-2010,09-10-2010,"Davenport Landing",UCSC," --- ","Ochre sea star (Orange) - Pisaster ochraceus","Total individual count","Sea Star Count Area (100 m²)","3:00 PM",5,6,0.60,None
10-07-2010,10-07-2010,"Davenport Landing",UCSC," --- ","Ochre sea star (Orange) - Pisaster ochraceus","Total individual count","Sea Star Count Area (100 m²)","5:00 PM",10,11,1.10,None
10-30-2010,10-30-2010,"Davenport Landing",UCSC," --- ","Ochre sea star (Orange) - Pisaster ochraceus","Total individual count","Sea Star Count Area (100 m²)","5:30 AM",15,8,0.80,None
12-03-2010,12-03-2010,"Davenport Landing",UCSC," --- ","Ochre sea star (Orange) - Pisaster ochraceus","Total individual count","Sea Star Count Area (100 m²)","3:15 PM",15,9,0.90,None
12-22-2011,12-22-2011,"Davenport Landing",UCSC," --- ","Ochre sea star (Orange) - Pisaster ochraceus","Total individual count","Sea Star Count Area (100 m²)","3:30 PM",20,2,0.20,None
10-15-2012,10-15-2012,"Davenport Landing",UCSC," --- ","Ochre sea star (Orange) - Pisaster ochraceus","Total individual count","Sea Star Count Area (100 m²)","4:30 PM",30,0,0.00,None
12-14-2012,12-14-2012,"Davenport Landing",UCSC," --- ","Ochre sea star (Orange) - Pisaster ochraceus","Total individual count","Sea Star Count Area (100 m²)","4:30 PM",10,2,0.20,None
08-07-2013,08-07-2013,"Davenport Landing",UCSC," --- ","Ochre sea star (Orange) - Pisaster ochraceus","Total individual count","Sea Star Count Area (100 m²)","8:00 AM",5,1,0.10,None
10-20-2013,10-20-2013,"Davenport Landing",UCSC," --- ","Ochre sea star (Orange) - Pisaster ochraceus","Total individual count","Sea Star Count Area (100 m²)","6:00 PM",15,0,0.00,None
01-27-2014,01-27-2014,"Davenport Landing",UCSC," --- ","Ochre sea star (Orange) - Pisaster ochraceus","Total individual count","Sea Star Count Area (100 m²)","2:20 AM",15,0,0.00,None
01-27-2014,01-27-2014,"Davenport Landing","Pacific Grove Museum of Natural History"," --- ","Ochre sea star (Orange) - Pisaster ochraceus","Total individual count","Sea Star Count Area (100 m²)","12:00 PM",15,0,0.00,None
01-04-2015,01-04-2015,"Davenport Landing",UCSC," --- ","Ochre sea star (Orange) - Pisaster ochraceus","Total individual count","Sea Star Count Area (100 m²)","3:30 PM",20,0,0.00,None
10-26-2015,10-26-2015,"Davenport Landing",UCSC," --- ","Ochre sea star (Orange) - Pisaster ochraceus","Total individual count","Sea Star Count Area (100 m²)","5:15 AM",10,0,0.00,None
04-29-2016,04-29-2016,"Davenport Landing","Pacific Grove Museum of Natural History"," --- ","Ochre sea star (Orange) - Pisaster ochraceus","Total individual count","Sea Star Count Area (100 m²)","10:30 AM",15,0,0.00,"Only Coordinator"
11-26-2016,11-26-2016,"Davenport Landing","Pacific Grove Museum of Natural History"," --- ","Ochre sea star (Orange) - Pisaster ochraceus","Total individual count","Sea Star Count Area (100 m²)","12:00 AM",0,5,0.50,"Only Coordinator"
12-28-2016,12-28-2016,"Davenport Landing","Pacific Grove Museum of Natural History"," --- ","Ochre sea star (Orange) - Pisaster ochraceus","Total individual count","Sea Star Count Area (100 m²)","12:00 AM",0,7,0.70,"Only Coordinator"
05-04-2018,05-04-2018,"Davenport Landing","Cabrillo College"," --- ","Ochre sea star (Orange) - Pisaster ochraceus","Total individual count","Sea Star Count Area (100 m²)","12:09 AM",20,8,0.80,None
05-10-2019,05-10-2019,"Davenport Landing","Cabrillo College"," --- ","Ochre sea star (Orange) - Pisaster ochraceus","Total individual count","Sea Star Count Area (100 m²)","12:00 AM",0,11,1.10,"Only Coordinator"
05-11-2019,05-11-2019,"Davenport Landing",UCSC," --- ","Ochre sea star (Orange) - Pisaster ochraceus","Total individual count","Sea Star Count Area (100 m²)","12:00 AM",0,3,0.30,"Both Teacher and Coordinator"
11-12-2019,11-12-2019,"Davenport Landing","San Lorenzo Valley High School"," --- ","Ochre sea star (Orange) - Pisaster ochraceus","Total individual count","Sea Star Count Area (100 m²)","12:00 AM",25,10,1.00,"Both Teacher and Coordinator"
01-10-2020,01-10-2020,"Davenport Landing","San Lorenzo Valley High School"," --- ","Ochre sea star (Orange) - Pisaster ochraceus","Total individual count","Sea Star Count Area (100 m²)","4:15 PM",30,23,2.30,"Both Teacher and Coordinator"
02-20-2020,02-20-2020,"Davenport Landing","San Lorenzo Valley High School"," --- ","Ochre sea star (Orange) - Pisaster ochraceus","Total individual count","Sea Star Count Area (100 m²)","12:00 AM",20,11,1.10,"Both Teacher and Coordinator"
02-09-2021,02-09-2021,"Davenport Landing","Pacific Grove Museum of Natural History"," --- ","Ochre sea star (Orange) - Pisaster ochraceus","Total individual count","Sea Star Count Area (100 m²)","12:00 AM",30,13,1.30,"Both Teacher and Coordinator"
05-07-2022,05-07-2022,"Davenport Landing","Pacific Grove Museum of Natural History"," --- ","Ochre sea star (Orange) - Pisaster ochraceus","Total individual count","Sea Star Count Area (100 m²)","12:00 AM",20,5,0.50,"Both Teacher and Coordinator"
03-18-2023,03-18-2023,"Davenport Landing","Lynbrook High School"," --- ","Ochre sea star (Orange) - Pisaster ochraceus","Total individual count","Sea Star Count Area (100 m²)","12:14 AM",27,5,0.50,"Both Teacher and Coordinator"
05-12-2023,05-12-2023,"Davenport Landing","Cabrillo College"," --- ","Ochre sea star (Orange) - Pisaster ochraceus","Total individual count","Sea Star Count Area (100 m²)","12:00 AM",0,3,0.30,"Both Teacher and Coordinator"
06-26-2009,06-26-2009,"Davenport Landing",UCSC," --- ","Ochre sea star (Purple/Brown) - Pisaster ochraceus","Total individual count","Sea Star Count Area (100 m²)","8:10 AM",0,29,2.90,None
07-27-2010,07-27-2010,"Davenport Landing",UCSC," --- ","Ochre sea star (Purple/Brown) - Pisaster ochraceus","Total individual count","Sea Star Count Area (100 m²)","7:00 AM",5,11,1.10,None
08-03-2010,08-03-2010,"Davenport Landing",UCSC," --- ","Ochre sea star (Purple/Brown) - Pisaster ochraceus","Total individual count","Sea Star Count Area (100 m²)","7:00 PM",5,21,2.10,None
08-11-2010,08-11-2010,"Davenport Landing",UCSC," --- ","Ochre sea star (Purple/Brown) - Pisaster ochraceus","Total individual count","Sea Star Count Area (100 m²)","5:00 AM",5,29,2.90,None
09-10-2010,09-10-2010,"Davenport Landing",UCSC," --- ","Ochre sea star (Purple/Brown) - Pisaster ochraceus","Total individual count","Sea Star Count Area (100 m²)","3:00 PM",5,21,2.10,None
10-07-2010,10-07-2010,"Davenport Landing",UCSC," --- ","Ochre sea star (Purple/Brown) - Pisaster ochraceus","Total individual count","Sea Star Count Area (100 m²)","5:00 PM",10,19,1.90,None
10-30-2010,10-30-2010,"Davenport Landing",UCSC," --- ","Ochre sea star (Purple/Brown) - Pisaster ochraceus","Total individual count","Sea Star Count Area (100 m²)","5:30 AM",15,21,2.10,None
12-03-2010,12-03-2010,"Davenport Landing",UCSC," --- ","Ochre sea star (Purple/Brown) - Pisaster ochraceus","Total individual count","Sea Star Count Area (100 m²)","3:15 PM",15,23,2.30,None
12-22-2011,12-22-2011,"Davenport Landing",UCSC," --- ","Ochre sea star (Purple/Brown) - Pisaster ochraceus","Total individual count","Sea Star Count Area (100 m²)","3:30 PM",20,15,1.50,None
10-15-2012,10-15-2012,"Davenport Landing",UCSC," --- ","Ochre sea star (Purple/Brown) - Pisaster ochraceus","Total individual count","Sea Star Count Area (100 m²)","4:30 PM",30,11,1.10,None
12-14-2012,12-14-2012,"Davenport Landing",UCSC," --- ","Ochre sea star (Purple/Brown) - Pisaster ochraceus","Total individual count","Sea Star Count Area (100 m²)","4:30 PM",10,7,0.70,None
08-07-2013,08-07-2013,"Davenport Landing",UCSC," --- ","Ochre sea star (Purple/Brown) - Pisaster ochraceus","Total individual count","Sea Star Count Area (100 m²)","8:00 AM",5,10,1.00,None
10-20-2013,10-20-2013,"Davenport Landing",UCSC," --- ","Ochre sea star (Purple/Brown) - Pisaster ochraceus","Total individual count","Sea Star Count Area (100 m²)","6:00 PM",15,0,0.00,None
01-27-2014,01-27-2014,"Davenport Landing",UCSC," --- ","Ochre sea star (Purple/Brown) - Pisaster ochraceus","Total individual count","Sea Star Count Area (100 m²)","2:20 AM",15,0,0.00,None
01-27-2014,01-27-2014,"Davenport Landing","Pacific Grove Museum of Natural History"," --- ","Ochre sea star (Purple/Brown) - Pisaster ochraceus","Total individual count","Sea Star Count Area (100 m²)","12:00 PM",15,0,0.00,None
01-04-2015,01-04-2015,"Davenport Landing",UCSC," --- ","Ochre sea star (Purple/Brown) - Pisaster ochraceus","Total individual count","Sea Star Count Area (100 m²)","3:30 PM",20,0,0.00,None
