Date,EventID,Site,School,Zone,Organism,Unit,Area,"Start Time","Count Length",Count,"Count per 10 m²","Checked By"
11-01-2006,11-01-2006,"Fitzgerald Marine Reserve","Drew School"," --- ","Ochre sea star (Orange) - Pisaster ochraceus","Total individual count","Seastar Area - Total Count (150 m²)","2:45 PM",15,0,0.00,None
01-30-2007,01-30-2007,"Fitzgerald Marine Reserve","Farallones Marine Sanctuary Association"," --- ","Ochre sea star (Orange) - Pisaster ochraceus","Total individual count","Seastar Area - Total Count (150 m²)","5:15 AM",20,3,0.20,None
02-23-2007,02-23-2007,"Fitzgerald Marine Reserve","El Camino HIgh School"," --- ","Ochre sea star (Orange) - Pisaster ochraceus","Total individual count","Seastar Area - Total Count (150 m²)","4:00 PM",15,1,0.07,None
02-26-2007,02-26-2007,"Fitzgerald Marine Reserve","Sacred Heart Cathedral Prep"," --- ","Ochre sea star (Orange) - Pisaster ochraceus","Total individual count","Seastar Area - Total Count (150 m²)","1:30 PM",15,1,0.07,None
02-28-2007,02-28-2007,"Fitzgerald Marine Reserve","Sacred Heart Cathedral Prep"," --- ","Ochre sea star (Orange) - Pisaster ochraceus","Total individual count","Seastar Area - Total Count (150 m²)","1:00 PM",15,2,0.13,None
02-28-2007,02-28-2007,"Fitzgerald Marine Reserve","Sacred Heart Cathedral Prep"," --- ","Ochre sea star (Orange) - Pisaster ochraceus","Total individual count","Seastar Area - Total Count (150 m²)","1:20 PM",20,2,0.13,None
03-23-2007,03-23-2007,"Fitzgerald Marine Reserve","Saint Francis High School"," --- ","Ochre sea star (Orange) - Pisaster ochraceus","Total individual count","Seastar Area - Total Count (150 m²)","10:25 AM",15,0,0.00,None
03-28-2007,03-28-2007,"Fitzgerald Marine Reserve","Drew School"," --- ","Ochre sea star (Orange) - Pisaster ochraceus","Total individual count","Seastar Area - Total Count (150 m²)","2:35 PM",8,0,0.00,None
05-09-2007,05-09-2007,"Fitzgerald Marine Reserve","Clayton Valley High School"," --- ","Ochre sea star (Orange) - Pisaster ochraceus","Total individual count","Seastar Area - Total Count (150 m²)","11:50 AM",20,0,0.00,None
06-07-2007,06-07-2007,"Fitzgerald Marine Reserve","Lick Wilmerding HS"," --- ","Ochre sea star (Orange) - Pisaster ochraceus","Total individual count","Seastar Area - Total Count (150 m²)","10:56 AM",13,1,0.07,None
06-07-2007,06-07-2007,"Fitzgerald Marine Reserve","Lick Wilmerding HS"," --- ","Ochre sea star (Orange) - Pisaster ochraceus","Total individual count","Seastar Area - Total Count (150 m²)","9:50 AM",10,1,0.07,None
06-07-2007,06-07-2007,"Fitzgerald Marine Reserve","Lick Wilmerding HS"," --- ","Ochre sea star (Orange) - Pisaster ochraceus","Total individual count","Seastar Area - Total Count (150 m²)","10:35 AM",20,1,0.07,None
07-03-2007,07-03-2007,"Fitzgerald Marine Reserve","Farallones Marine Sanctuary Association"," --- ","Ochre sea star (Orange) - Pisaster ochraceus","Total individual count","Seastar Area - Total Count (150 m²)","8:00 AM",20,1,0.07,None
12-08-2007,12-08-2007,"Fitzgerald Marine Reserve","Farallones Marine Sanctuary Association"," --- ","Ochre sea star (Orange) - Pisaster ochraceus","Total individual count","Seastar Area - Total Count (150 m²)","4:08 PM",11,0,0.00,None
01-18-2008,01-18-2008,"Fitzgerald Marine Reserve","Farallones Marine Sanctuary Association"," --- ","Ochre sea star (Orange) - Pisaster ochraceus","Total individual count","Seastar Area - Total Count (150 m²)","2:50 PM",9,0,0.00,None
