Date,EventID,Site,School,Zone,Organism,Unit,Area,"Start Time","Count Length",Count,"Count per 10 m²","Checked By"
03-24-2007,03-24-2007,"Natural Bridges","Center for Advanced Research and Technology (CART)"," --- ","Ochre sea star (Orange) - Pisaster ochraceus","Total individual count","Sea Stars (540 m²)","11:00 AM",15,20,0.37,None
03-24-2007,03-24-2007,"Natural Bridges","Center for Advanced Research and Technology (CART)"," --- ","Ochre sea star (Orange) - Pisaster ochraceus","Total individual count","Sea Stars (540 m²)","11:00 AM",15,18,0.33,None
03-24-2007,03-24-2007,"Natural Bridges","Center for Advanced Research and Technology (CART)"," --- ","Ochre sea star (Orange) - Pisaster ochraceus","Total individual count","Sea Stars (540 m²)","11:00 AM",15,6,0.11,None
03-24-2007,03-24-2007,"Natural Bridges","Center for Advanced Research and Technology (CART)"," --- ","Ochre sea star (Orange) - Pisaster ochraceus","Total individual count","Sea Stars (540 m²)","11:00 AM",15,12,0.22,None
03-07-2009,03-07-2009,"Natural Bridges","Center for Advanced Research and Technology (CART)"," --- ","Ochre sea star (Orange) - Pisaster ochraceus","Total individual count","Sea Stars (540 m²)","2:10 PM",153,8,0.15,None
03-07-2009,03-07-2009,"Natural Bridges","Center for Advanced Research and Technology (CART)"," --- ","Ochre sea star (Orange) - Pisaster ochraceus","Total individual count","Sea Stars (540 m²)","2:40 PM",180,5,0.09,None
03-07-2009,03-07-2009,"Natural Bridges","Center for Advanced Research and Technology (CART)"," --- ","Ochre sea star (Orange) - Pisaster ochraceus","Total individual count","Sea Stars (540 m²)","2:10 PM",147,34,0.63,None
03-07-2009,03-07-2009,"Natural Bridges","Center for Advanced Research and Technology (CART)"," --- ","Ochre sea star (Orange) - Pisaster ochraceus","Total individual count","Sea Stars (540 m²)","2:10 PM",150,19,0.35,None
04-04-2009,04-04-2009,"Natural Bridges",UCSC," --- ","Ochre sea star (Orange) - Pisaster ochraceus","Total individual count","Sea Stars (540 m²)","3:06 PM",45,62,1.15,None
12-02-2009,12-02-2009,"Natural Bridges","Pacific Collegiate School"," --- ","Ochre sea star (Orange) - Pisaster ochraceus","Total individual count","Sea Stars (540 m²)","3:30 PM",30,89,1.65,None
12-05-2009,12-05-2009,"Natural Bridges","Pacific Collegiate School"," --- ","Ochre sea star (Orange) - Pisaster ochraceus","Total individual count","Sea Stars (540 m²)","3:30 PM",19,55,1.02,None
03-20-2010,03-20-2010,"Natural Bridges","Center for Advanced Research and Technology (CART)"," --- ","Ochre sea star (Orange) - Pisaster ochraceus","Total individual count","Sea Stars (540 m²)","9:00 AM",60,30,0.56,None
04-23-2010,04-23-2010,"Natural Bridges",UCSC," --- ","Ochre sea star (Orange) - Pisaster ochraceus","Total individual count","Sea Stars (540 m²)","9:10 AM",30,29,0.54,None
08-03-2011,08-03-2011,"Natural Bridges","GFA LiMPETS Teacher Workshop"," --- ","Ochre sea star (Orange) - Pisaster ochraceus","Total individual count","Sea Stars (540 m²)","8:20 AM",15,18,0.33,None
08-03-2011,08-03-2011,"Natural Bridges","GFA LiMPETS Teacher Workshop"," --- ","Ochre sea star (Orange) - Pisaster ochraceus","Total individual count","Sea Stars (540 m²)","8:45 AM",20,11,0.20,None
08-03-2011,08-03-2011,"Natural Bridges","GFA LiMPETS Teacher Workshop"," --- ","Ochre sea star (Orange) - Pisaster ochraceus","Total individual count","Sea Stars (540 m²)","8:58 AM",14,13,0.24,None
10-26-2011,10-26-2011,"Natural Bridges","Aptos High School"," --- ","Ochre sea star (Orange) - Pisaster ochraceus","Total individual count","Sea Stars (540 m²)","5:00 PM",60,27,0.50,None
10-26-2011,10-26-2011,"Natural Bridges","Aptos High School"," --- ","Ochre sea star (Orange) - Pisaster ochraceus","Total individual count","Sea Stars (540 m²)","5:00 PM",60,30,0.56,None
08-06-2013,08-06-2013,"Natural Bridges","Camp SEA Lab"," --- ","Ochre sea star (Orange) - Pisaster ochraceus","Total individual count","Sea Stars (540 m²)","6:15 AM",45,19,0.35,None
10-18-2013,10-18-2013,"Natural Bridges",UCSC," --- ","Ochre sea star (Orange) - Pisaster ochraceus","Total individual count","Sea Stars (540 m²)","5:45 PM",75,1,0.02,None
10-18-2013,10-18-2013,"Natural Bridges",UCSC," --- ","Ochre sea star (Orange) - Pisaster ochraceus","Total individual count","Sea Stars (540 m²)","5:45 PM",60,2,0.04,None
04-22-2014,04-22-2014,"Natural Bridges","Skyline High School"," --- ","Ochre sea star (Orange) - Pisaster ochraceus","Total individual count","Sea Stars (540 m²)","11:41 AM",12,1,0.02,None
05-20-2014,05-20-2014,"Natural Bridges","Pacific Grove Museum of Natural History"," --- ","Ochre sea star (Orange) - Pisaster ochraceus","Total individual count","Sea Stars (540 m²)","11:07 AM",13,0,0.00,None
05-21-2014,05-21-2014,"Natural Bridges","Pacific Grove Museum of Natural History"," --- ","Ochre sea star (Orange) - Pisaster ochraceus","Total individual count","Sea Stars (540 m²)","11:30 AM",21,0,0.00,None
06-01-2014,06-01-2014,"Natural Bridges","Pacific Grove Museum of Natural History"," --- ","Ochre sea star (Orange) - Pisaster ochraceus","Total individual count","Sea Stars (540 m²)","8:16 AM",20,11,0.20,None
11-22-2014,11-22-2014,"Natural Bridges","Glacier High School"," --- ","Ochre sea star (Orange) - Pisaster ochraceus","Total individual count","Sea Stars (540 m²)","4:24 PM",5,6,0.11,None
12-04-2014,12-04-2014,"Natural Bridges","Lincoln High School"," --- ","Ochre sea star (Orange) - Pisaster ochraceus","Total individual count","Sea Stars (540 m²)","3:00 PM",60,5,0.09,None
02-27-2015,02-27-2015,"Natural Bridges","Pacific Grove Museum of Natural History"," --- ","Ochre sea star (Orange) - Pisaster ochraceus","Total individual count","Sea Stars (540 m²)","1:25 PM",15,6,0.11,None
