Date,EventID,Site,School,Zone,Organism,Unit,Area,"Start Time","Count Length",Count,"Count per 10 m²","Checked By"
06-11-2005,06-11-2005,"Pigeon Point","Farallones Marine Sanctuary Association"," --- ","Ochre sea star (Orange) - Pisaster ochraceus","Total individual count","Anemone Count Area (166 m²)","9:35 AM",15,0,0.00,None
01-29-2007,01-29-2007,"Pigeon Point","Farallones Marine Sanctuary Association"," --- ","Ochre sea star (Orange) - Pisaster ochraceus","Total individual count","Anemone Count Area (166 m²)","3:47 PM",30,10,0.60,None
03-17-2007,03-17-2007,"Pigeon Point","Farallones Marine Sanctuary Association"," --- ","Ochre sea star (Orange) - Pisaster ochraceus","Total individual count","Anemone Count Area (166 m²)","4:00 PM",30,10,0.60,None
05-24-2007,05-24-2007,"Pigeon Point","Farallones Marine Sanctuary Association"," --- ","Ochre sea star (Orange) - Pisaster ochraceus","Total individual count","Anemone Count Area (166 m²)","11:10 AM",20,6,0.36,None
07-04-2007,07-04-2007,"Pigeon Point","Farallones Marine Sanctuary Association"," --- ","Ochre sea star (Orange) - Pisaster ochraceus","Total individual count","Anemone Count Area (166 m²)","7:45 AM",73,8,0.48,None
12-10-2007,12-10-2007,"Pigeon Point","Pescadero HS"," --- ","Ochre sea star (Orange) - Pisaster ochraceus","Total individual count","Anemone Count Area (166 m²)","4:00 PM",20,9,0.54,None
01-22-2008,01-22-2008,"Pigeon Point","Farallones Marine Sanctuary Association"," --- ","Ochre sea star (Orange) - Pisaster ochraceus","Total individual count","Anemone Count Area (166 m²)","4:30 PM",30,9,0.54,None
03-13-2008,03-13-2008,"Pigeon Point","Pescadero HS"," --- ","Ochre sea star (Orange) - Pisaster ochraceus","Total individual count","Anemone Count Area (166 m²)","10:15 AM",25,10,0.60,None
01-22-2009,01-22-2009,"Pigeon Point","Farallones Marine Sanctuary Association"," --- ","Ochre sea star (Orange) - Pisaster ochraceus","Total individual count","Anemone Count Area (166 m²)","3:50 PM",30,7,0.42,None
03-06-2009,03-06-2009,"Pigeon Point","Pescadero HS"," --- ","Ochre sea star (Orange) - Pisaster ochraceus","Total individual count","Anemone Count Area (166 m²)","1:25 PM",20,4,0.24,None
01-28-2010,01-28-2010,"Pigeon Point","Farallones Marine Sanctuary Association"," --- ","Ochre sea star (Orange) - Pisaster ochraceus","Total individual count","Anemone Count Area (166 m²)","2:40 PM",20,9,0.54,None
03-25-2010,03-25-2010,"Pigeon Point","Pescadero HS"," --- ","Ochre sea star (Orange) - Pisaster ochraceus","Total individual count","Anemone Count Area (166 m²)","1:25 PM",15,7,0.42,None
05-21-2010,05-21-2010,"Pigeon Point","International School of the Peninsula"," --- ","Ochre sea star (Orange) - Pisaster ochraceus","Total individual count","Anemone Count Area (166 m²)","11:45 AM",30,1,0.06,None
06-12-2010,06-12-2010,"Pigeon Point","James Logan High School"," --- ","Ochre sea star (Orange) - Pisaster ochraceus","Total individual count","Anemone Count Area (166 m²)","7:53 AM",20,2,0.12,None
02-28-2011,02-28-2011,"Pigeon Point","American High School"," --- ","Ochre sea star (Orange) - Pisaster ochraceus","Total individual count","Anemone Count Area (166 m²)","1:17 PM",15,3,0.18,None
05-11-2011,05-11-2011,"Pigeon Point","International School of the Peninsula"," --- ","Ochre sea star (Orange) - Pisaster ochraceus","Total individual count","Anemone Count Area (166 m²)","11:08 AM",30,3,0.18,None
05-21-2011,05-21-2011,"Pigeon Point","James Logan High School"," --- ","Ochre sea star (Orange) - Pisaster ochraceus","Total individual count","Anemone Count Area (166 m²)","8:20 AM",30,6,0.36,None
06-20-2011,06-20-2011,"Pigeon Point","Farallones Marine Sanctuary Association"," --- ","Ochre sea star (Orange) - Pisaster ochraceus","Total individual count","Anemone Count Area (166 m²)","9:10 AM",55,5,0.30,None
05-12-2012,05-12-2012,"Pigeon Point","James Logan High School"," --- ","Ochre sea star (Orange) - Pisaster ochraceus","Total individual count","Anemone Count Area (166 m²)","10:23 AM",20,5,0.30,None
05-12-2012,05-12-2012,"Pigeon Point","James Logan High School"," --- ","Ochre sea star (Orange) - Pisaster ochraceus","Total individual count","Anemone Count Area (166 m²)","10:27 AM",15,3,0.18,None
02-24-2014,02-24-2014,"Pigeon Point","GFA LiMPETS Teacher Workshop"," --- ","Ochre sea star (Orange) - Pisaster ochraceus","Total individual count","Anemone Count Area (166 m²)","12:48 PM",7,0,0.00,None
02-24-2014,02-24-2014,"Pigeon Point","Farallones Marine Sanctuary Association"," --- ","Ochre sea star (Orange) - Pisaster ochraceus","Total individual count","Anemone Count Area (166 m²)","12:48 PM",7,0,0.00,None
05-21-2014,05-21-2014,"Pigeon Point","American High School"," --- ","Ochre sea star (Orange) - Pisaster ochraceus","Total individual count","Anemone Count Area (166 m²)","11:23 AM",12,0,0.00,None
02-17-2015,02-17-2015,"Pigeon Point","James Logan High School"," --- ","Ochre sea star (Orange) - Pisaster ochraceus","Total individual count","Anemone Count Area (166 m²)","2:40 PM",20,2,0.12,None
03-16-2015,03-16-2015,"Pigeon Point","American High School"," --- ","Ochre sea star (Orange) - Pisaster ochraceus","Total individual count","Anemone Count Area (166 m²)","2:20 PM",30,1,0.06,None
03-25-2015,03-25-2015,"Pigeon Point","American High School"," --- ","Ochre sea star (Orange) - Pisaster ochraceus","Total individual count","Anemone Count Area (166 m²)","9:42 AM",21,1,0.06,None
04-11-2016,04-11-2016,"Pigeon Point","James Logan High School"," --- ","Ochre sea star (Orange) - Pisaster ochraceus","Total individual count","Anemone Count Area (166 m²)","9:22 AM",8,1,0.06,None
12-12-2016,12-12-2016,"Pigeon Point","Head Royce School"," --- ","Ochre sea star (Orange) - Pisaster ochraceus","Total individual count","Anemone Count Area (166 m²)","2:56 PM",20,4,0.24,"Both Teacher and Coordinator"
05-01-2017,05-01-2017,"Pigeon Point","James Logan High School"," --- ","Ochre sea star (Orange) - Pisaster ochraceus","Total individual count","Anemone Count Area (166 m²)","9:58 AM",20,1,0.06,"Only Teacher"
05-31-2017,05-31-2017,"Pigeon Point","American High School"," --- ","Ochre sea star (Orange) - Pisaster ochraceus","Total individual count","Anemone Count Area (166 m²)","11:11 AM",10,1,0.06,"Only Teacher"
04-20-2018,04-20-2018,"Pigeon Point","James Logan High School"," --- ","Ochre sea star (Orange) - Pisaster ochraceus","Total individual count","Anemone Count Area (166 m²)","9:00 AM",39,5,0.30,"Both Teacher and Coordinator"
