Date,EventID,Site,School,Zone,Organism,Unit,Area,"Start Time","Count Length",Count,"Count per 10 m²","Checked By"
12-09-2008,12-09-2008,"Pillar Point","Farallones Marine Sanctuary Association"," --- ","Ochre sea star (Orange) - Pisaster ochraceus","Total individual count","Seastar Area (131 m²)","1:00 PM",30,9,0.69,None
05-26-2009,05-26-2009,"Pillar Point","Lick Wilmerding HS"," --- ","Ochre sea star (Orange) - Pisaster ochraceus","Total individual count","Seastar Area (131 m²)","10:10 AM",7,7,0.53,None
01-27-2010,01-27-2010,"Pillar Point","Farallones Marine Sanctuary Association"," --- ","Ochre sea star (Orange) - Pisaster ochraceus","Total individual count","Seastar Area (131 m²)","3:30 PM",30,21,1.60,None
05-20-2010,05-20-2010,"Pillar Point","The Urban School"," --- ","Ochre sea star (Orange) - Pisaster ochraceus","Total individual count","Seastar Area (131 m²)","9:35 AM",50,10,0.76,None
08-11-2010,08-11-2010,"Pillar Point","Farallones Marine Sanctuary Association"," --- ","Ochre sea star (Orange) - Pisaster ochraceus","Total individual count","Seastar Area (131 m²)","6:55 AM",65,7,0.53,None
11-04-2010,11-04-2010,"Pillar Point","The Urban School"," --- ","Ochre sea star (Orange) - Pisaster ochraceus","Total individual count","Seastar Area (131 m²)","4:30 PM",60,17,1.30,None
12-04-2010,12-04-2010,"Pillar Point","California Academy of Sciences"," --- ","Ochre sea star (Orange) - Pisaster ochraceus","Total individual count","Seastar Area (131 m²)","1:00 PM",30,14,1.07,None
12-04-2010,12-04-2010,"Pillar Point","California Academy of Sciences"," --- ","Ochre sea star (Orange) - Pisaster ochraceus","Total individual count","Seastar Area (131 m²)","1:00 PM",30,14,1.07,None
01-15-2011,01-15-2011,"Pillar Point","Romberg Tiburon Center"," --- ","Ochre sea star (Orange) - Pisaster ochraceus","Total individual count","Seastar Area (131 m²)","1:10 PM",50,20,1.53,None
01-28-2011,01-28-2011,"Pillar Point","Lick Wilmerding HS"," --- ","Ochre sea star (Orange) - Pisaster ochraceus","Total individual count","Seastar Area (131 m²)","1:42 PM",30,17,1.30,None
05-23-2011,05-23-2011,"Pillar Point","Farallones Marine Sanctuary Association"," --- ","Ochre sea star (Orange) - Pisaster ochraceus","Total individual count","Seastar Area (131 m²)","10:40 AM",20,9,0.69,None
06-08-2011,06-08-2011,"Pillar Point","The Urban School"," --- ","Ochre sea star (Orange) - Pisaster ochraceus","Total individual count","Seastar Area (131 m²)","10:00 AM",15,3,0.23,None
08-30-2011,08-30-2011,"Pillar Point","Farallones Marine Sanctuary Association"," --- ","Ochre sea star (Orange) - Pisaster ochraceus","Total individual count","Seastar Area (131 m²)","6:30 AM",40,8,0.61,None
10-26-2011,10-26-2011,"Pillar Point","The Urban School"," --- ","Ochre sea star (Orange) - Pisaster ochraceus","Total individual count","Seastar Area (131 m²)","4:40 AM",30,10,0.76,None
11-09-2011,11-09-2011,"Pillar Point","Drew School"," --- ","Ochre sea star (Orange) - Pisaster ochraceus","Total individual count","Seastar Area (131 m²)","3:02 PM",20,11,0.84,None
01-19-2012,01-19-2012,"Pillar Point","Farallones Marine Sanctuary Association"," --- ","Ochre sea star (Orange) - Pisaster ochraceus","Total individual count","Seastar Area (131 m²)","1:02 PM",36,22,1.68,None
02-16-2012,02-16-2012,"Pillar Point","June Jordan School for Equity"," --- ","Ochre sea star (Orange) - Pisaster ochraceus","Total individual count","Seastar Area (131 m²)","12:37 PM",13,9,0.69,None
05-11-2012,05-11-2012,"Pillar Point","San Francisco State University"," --- ","Ochre sea star (Orange) - Pisaster ochraceus","Total individual count","Seastar Area (131 m²)","8:50 AM",9,10,0.76,None
05-11-2012,05-11-2012,"Pillar Point","San Francisco State University"," --- ","Ochre sea star (Orange) - Pisaster ochraceus","Total individual count","Seastar Area (131 m²)","9:15 AM",15,7,0.53,None
05-11-2012,05-11-2012,"Pillar Point","The Urban School"," --- ","Ochre sea star (Orange) - Pisaster ochraceus","Total individual count","Seastar Area (131 m²)","9:40 AM",22,6,0.46,None
10-15-2012,10-15-2012,"Pillar Point","The Urban School"," --- ","Ochre sea star (Orange) - Pisaster ochraceus","Total individual count","Seastar Area (131 m²)","4:30 PM",17,4,0.31,None
12-10-2012,12-10-2012,"Pillar Point","Berkeley High School"," --- ","Ochre sea star (Orange) - Pisaster ochraceus","Total individual count","Seastar Area (131 m²)","2:23 PM",17,19,1.45,None
12-10-2012,12-10-2012,"Pillar Point","Berkeley High School"," --- ","Ochre sea star (Orange) - Pisaster ochraceus","Total individual count","Seastar Area (131 m²)","2:00 PM",15,15,1.15,None
12-11-2012,12-11-2012,"Pillar Point","Berkeley High School"," --- ","Ochre sea star (Orange) - Pisaster ochraceus","Total individual count","Seastar Area (131 m²)","3:03 PM",13,36,2.75,None
12-11-2012,12-11-2012,"Pillar Point","Berkeley High School"," --- ","Ochre sea star (Orange) - Pisaster ochraceus","Total individual count","Seastar Area (131 m²)","2:22 PM",20,23,1.76,None
