Date,EventID,Site,School,Zone,Organism,Unit,Area,"Start Time","Count Length",Count,"Count per 10 m²","Checked By"
10-26-2011,10-26-2011,"Wilder Ranch","Pacific Collegiate School"," --- ","Ochre sea star (Purple/Brown) - Pisaster ochraceus","Total individual count","Delineated area 1 (150 m²)","4:05 AM",10,28,1.87,None
12-30-2013,12-30-2013,"Wilder Ranch","MBNMS Exploration Center"," --- ","Ochre sea star (Purple/Brown) - Pisaster ochraceus","Total individual count","Delineated area 1 (150 m²)","3:35 PM",5,1,0.07,None
04-21-2014,04-21-2014,"Wilder Ranch","MBNMS Exploration Center"," --- ","Ochre sea star (Purple/Brown) - Pisaster ochraceus","Total individual count","Delineated area 1 (150 m²)","10:30 AM",20,0,0.00,None
07-16-2014,07-16-2014,"Wilder Ranch","MBNMS Exploration Center"," --- ","Ochre sea star (Purple/Brown) - Pisaster ochraceus","Total individual count","Delineated area 1 (150 m²)","9:14 AM",15,0,0.00,None
03-17-2015,03-17-2015,"Wilder Ranch","MBNMS Exploration Center"," --- ","Ochre sea star (Purple/Brown) - Pisaster ochraceus","Total individual count","Delineated area 1 (150 m²)","3:30 PM",15,12,0.80,None
06-06-2015,06-06-2015,"Wilder Ranch","MBNMS Exploration Center"," --- ","Ochre sea star (Purple/Brown) - Pisaster ochraceus","Total individual count","Delineated area 1 (150 m²)","7:30 AM",30,5,0.33,None
10-26-2011,10-26-2011,"Wilder Ranch","Pacific Collegiate School"," --- ","Ochre sea star (Orange) - Pisaster ochraceus","Total individual count","Delineated area 1 (150 m²)","4:05 AM",10,17,1.13,None
12-30-2013,12-30-2013,"Wilder Ranch","MBNMS Exploration Center"," --- ","Ochre sea star (Orange) - Pisaster ochraceus","Total individual count","Delineated area 1 (150 m²)","3:35 PM",5,0,0.00,None
01-28-2014,01-28-2014,"Wilder Ranch","MBNMS Exploration Center"," --- ","Ochre sea star (Orange) - Pisaster ochraceus","Total individual count","Delineated area 1 (150 m²)","3:05 PM",5,2,0.13,None
04-21-2014,04-21-2014,"Wilder Ranch","MBNMS Exploration Center"," --- ","Ochre sea star (Orange) - Pisaster ochraceus","Total individual count","Delineated area 1 (150 m²)","10:30 AM",20,0,0.00,None
07-16-2014,07-16-2014,"Wilder Ranch","MBNMS Exploration Center"," --- ","Ochre sea star (Orange) - Pisaster ochraceus","Total individual count","Delineated area 1 (150 m²)","9:14 AM",15,0,0.00,None
06-06-2015,06-06-2015,"Wilder Ranch","MBNMS Exploration Center"," --- ","Ochre sea star (Orange) - Pisaster ochraceus","Total individual count","Delineated area 1 (150 m²)","7:30 AM",30,2,0.13,None
