Date,SSWD,Site,Purple,Orange
03-24-2007,Pre-SSWD,Natural Bridges,40.5,14
03-07-2009,Pre-SSWD,Natural Bridges,34,16.5
04-04-2009,Pre-SSWD,Natural Bridges,122,62
12-02-2009,Pre-SSWD,Natural Bridges,269,89
12-05-2009,Pre-SSWD,Natural Bridges,218,55
03-20-2010,Pre-SSWD,Natural Bridges,96,30
04-23-2010,Pre-SSWD,Natural Bridges,105,29
08-03-2011,Pre-SSWD,Natural Bridges,40,14
10-26-2011,Pre-SSWD,Natural Bridges,51.5,28.5
08-06-2013,Pre-SSWD,Natural Bridges,100,19
10-18-2013,Post-SSWD,Natural Bridges,3.5,1.5
04-22-2014,Post-SSWD,Natural Bridges,0,1
05-20-2014,Post-SSWD,Natural Bridges,0,0
05-21-2014,Post-SSWD,Natural Bridges,0,0
06-01-2014,Post-SSWD,Natural Bridges,44,11
11-22-2014,Post-SSWD,Natural Bridges,14,6
12-04-2014,Post-SSWD,Natural Bridges,0,5
02-27-2015,Post-SSWD,Natural Bridges,1,6
03-16-2015,Post-SSWD,Natural Bridges,8,3
03-24-2015,Post-SSWD,Natural Bridges,7,2
05-09-2015,Post-SSWD,Natural Bridges,26,5
12-24-2015,Post-SSWD,Natural Bridges,17,3
02-18-2016,Post-SSWD,Natural Bridges,1,2
02-19-2016,Post-SSWD,Natural Bridges,1,2
04-16-2016,Post-SSWD,Natural Bridges,5.5,5
02-06-2017,Post-SSWD,Natural Bridges,6.5,5.5
03-07-2017,Post-SSWD,Natural Bridges,16,6
03-12-2017,Post-SSWD,Natural Bridges,10,2
04-15-2017,Post-SSWD,Natural Bridges,33,9
05-27-2017,Post-SSWD,Natural Bridges,76,16
03-26-2018,Post-SSWD,Natural Bridges,7,4
04-11-2018,Post-SSWD,Natural Bridges,8,2
05-05-2018,Post-SSWD,Natural Bridges,10,8
05-22-2018,Post-SSWD,Natural Bridges,3,5
01-23-2020,Post-SSWD,Natural Bridges,36,18
03-06-2020,Post-SSWD,Natural Bridges,52,20
08-20-2020,Post-SSWD,Natural Bridges,16,8
02-08-2021,Post-SSWD,Natural Bridges,28,10
03-25-2022,Post-SSWD,Natural Bridges,19,1
06-11-2005,Pre-SSWD,Pigeon Point,5,0
01-29-2007,Pre-SSWD,Pigeon Point,73,10
03-17-2007,Pre-SSWD,Pigeon Point,25,10
05-24-2007,Pre-SSWD,Pigeon Point,23,6
07-04-2007,Pre-SSWD,Pigeon Point,54,8
12-10-2007,Pre-SSWD,Pigeon Point,43,9
01-22-2008,Pre-SSWD,Pigeon Point,27,9
03-13-2008,Pre-SSWD,Pigeon Point,21,10
01-22-2009,Pre-SSWD,Pigeon Point,21,7
03-06-2009,Pre-SSWD,Pigeon Point,33,4
01-28-2010,Pre-SSWD,Pigeon Point,45,9
03-25-2010,Pre-SSWD,Pigeon Point,25,7
05-21-2010,Pre-SSWD,Pigeon Point,18,1
06-12-2010,Pre-SSWD,Pigeon Point,15,2
02-28-2011,Pre-SSWD,Pigeon Point,7,3
05-11-2011,Pre-SSWD,Pigeon Point,22,3
05-21-2011,Pre-SSWD,Pigeon Point,15,6
06-20-2011,Pre-SSWD,Pigeon Point,29,5
05-12-2012,Pre-SSWD,Pigeon Point,16,4
02-24-2014,Post-SSWD,Pigeon Point,0,0
05-21-2014,Post-SSWD,Pigeon Point,0,0
02-17-2015,Post-SSWD,Pigeon Point,2,2
03-16-2015,Post-SSWD,Pigeon Point,2,1
03-25-2015,Post-SSWD,Pigeon Point,1,1
04-11-2016,Post-SSWD,Pigeon Point,2,1
12-12-2016,Post-SSWD,Pigeon Point,12,4
05-01-2017,Post-SSWD,Pigeon Point,13,1
05-31-2017,Post-SSWD,Pigeon Point,8,1
04-20-2018,Post-SSWD,Pigeon Point,20,5
04-25-2019,Post-SSWD,Pigeon Point,11,12
11-13-2019,Post-SSWD,Pigeon Point,19,9
02-07-2020,Post-SSWD,Pigeon Point,36,16
02-20-2020,Post-SSWD,Pigeon Point,32,12
06-25-2020,Post-SSWD,Pigeon Point,40,13
11-13-2020,Post-SSWD,Pigeon Point,21,3
02-25-2021,Post-SSWD,Pigeon Point,26,10
03-26-2021,Post-SSWD,Pigeon Point,35,14
07-12-2021,Post-SSWD,Pigeon Point,33,11
11-03-2021,Post-SSWD,Pigeon Point,41,15
12-05-2022,Post-SSWD,Pigeon Point,41,14
04-13-2023,Post-SSWD,Pigeon Point,29,18
